Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35;Column36;Column37;Column38;Column39;Column40
order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
121;120;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];0.9884601002559066;11.481.542.997.062.200;1.340.603.600.256.140;14.525.976.004.078.900;1.788.692.300.207.910;1.883916700258851];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;granja;darkblue;nontarget;1;NT;2;Stim5_Set2;6,82E+15;1,97E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.52.115.wav;6,85E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9884601002559066, 1.1481542997062206, 1.340603600256145, 1.4525976004078984, 1.788692300207913, 1.883916700258851]
122;121;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'backspace', 'n', 'backspace', 'n'];0.8804497988894582;1.056.441.099.382.930;124.991.209.898.144;1.328.460.599.295.790;18.245.965.987.443.900;22.886.371.994.391.000;26.082.575.991.749.700;2.9602533988654613];NA;NA;NA;NA;NA;NA;NA;;;gran;darkblue;repeat;1;T;2;Stim5_Set2;6,86E+14;1,94E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h38.56.671.wav;6,89E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8804497988894582, 1.056441099382937, 1.24991209898144, 1.328460599295795, 1.8245965987443924, 2.2886371994391084, 2.6082575991749763, 2.9602533988654613]
124;123;REPSWITCH1/PICTURE_264.png;mano;type;['m', 'a', 'n', 'o'];12.875.030.990.689.900;14.475.906.994.193.700;15.435.333.997.011.100;1.9109489992260933];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;mano;darkblue;nontarget;1;NT;2;Stim3_Set2;6,95E+15;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.05.946.wav;6,98E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2875030990689993, 1.4475906994193792, 1.5435333997011185, 1.9109489992260933]
125;124;REPSWITCH1/PICTURE_264.png;mano;type;['m', 'a', 'n', 'o'];0.85491699911654;0.9828696986660361;10.468.642.991.036.100;1.1428691986948252];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;mano;darkblue;repeat;1;T;2;Stim3_Set2;7,00E+15;1,37E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.10.567.wav;7,03E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.85491699911654, 0.9828696986660361, 1.0468642991036177, 1.1428691986948252]
126;125;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'i', 'n', 't', 'o', 'r'];10.238.270.992.413.100;12.485.092.990.100.300;1.359.727.798.961.100;15.199.112.994.596.300;16.168.692.987.412.200;1.96808709949255];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pintor;darkblue;nontarget;1;NT;2;Stim1_Set2;7,05E+15;1,39E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.15.170.wav;7,08E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0238270992413163, 1.2485092990100384, 1.359727798961103, 1.5199112994596362, 1.6168692987412214, 1.96808709949255]
130;129;REPSWITCH1/PICTURE_446.png;cerdo;type;['c', 'e', 'r', 'd', 'o'];0.9640328995883465;11.560.188.997.536.800;13.159.868.996.590.300;1.459.990.699.775.510;1.5239808997139335];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;cerdo;darkblue;switch;1;T;2;Stim7_Set2;7,23E+15;1,38E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.33.741.wav;7,26E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9640328995883465, 1.1560188997536898, 1.3159868996590376, 1.459990699775517, 1.5239808997139335]
131;130;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];0.9322478994727135;11.717.647.993.937.100;139.527.059.905.231;1.555.601.299.740.370;17.478.922.996.670.000;18.278.893.996.030.000;1.971451299265027];NA;NA;NA;NA;NA;NA;NA;NA;;;caracol;darkblue;nontarget;1;NT;2;Stim2_Set2;7,28E+15;1,54E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.38.469.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9322478994727135, 1.1717647993937135, 1.39527059905231, 1.555601299740374, 1.7478922996670008, 1.8278893996030092, 1.971451299265027]
133;132;REPSWITCH1/PICTURE_16.png;cazador;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];0.9034115998074412;11.428.578.002.378.300;13.668.432.999.402.200;15.268.489.001.318.800;17.824.489.995.837.200;19.741.952.000.185.800;2.1511913994327188];NA;NA;NA;NA;NA;NA;NA;NA;;;cazador;darkblue;filler;1;F;2;Stim6_Set1;7,37E+15;1,49E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.47.601.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9034115998074412, 1.1428578002378345, 1.3668432999402285, 1.5268489001318812, 1.7824489995837212, 1.9741952000185847, 2.1511913994327188]
134;133;REPSWITCH1/PICTURE_142.png;vaso;type;['v', 'a', 's', 'o'];0.9195909993723035;11.276.714.988.052.800;13.033.351.991.325.600;1.3835334992036223];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;vaso;darkblue;filler;1;F;2;Stim2_Set1;7,42E+15;1,22E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h39.52.251.wav;7,45E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9195909993723035, 1.1276714988052845, 1.3033351991325617, 1.3835334992036223]
137;136;REPSWITCH1/PICTURE_178.png;puente;type;['p', 'u', 'n', 't', 'e'];0.8981515998020768;11.059.293.998.405.300;1.233.924.999.833.100;13.789.045.996.963.900;1.537911699153483];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;punte;darkblue;filler;1;F;2;Stim1_Set1;7,55E+15;1,32E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.06.016.wav;7,58E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8981515998020768, 1.1059293998405337, 1.233924999833107, 1.3789045996963978, 1.537911699153483]
141;140;REPSWITCH1/PICTURE_19.png;pavo;type;['p', 'a', 'v', 'o'];0.9083779994398355;0.9886004002764821;1.259.680.399.671.190;1.371676200069487];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pavo;darkblue;filler;1;F;2;Stim5_Set1;7,74E+15;1,76E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.24.678.wav;7,77E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9083779994398355, 0.9886004002764821, 1.259680399671197, 1.371676200069487]
144;143;REPSWITCH1/PICTURE_552.png;manzana;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.9450004994869232;1.056.988.699.361.680;11.529.793.990.775.900;12.649.781.992.658.900;14.251.083.992.421.600;15.848.669.996.485.100;1.6487880991771817];NA;NA;NA;NA;NA;NA;NA;NA;;;manzana;darkblue;switch;1;T;2;Stim6_Set2;7,88E+15;1,48E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.38.513.wav;7,91E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9450004994869232, 1.056988699361682, 1.1529793990775943, 1.2649781992658973, 1.4251083992421627, 1.5848669996485114, 1.6487880991771817]
146;145;REPSWITCH1/PICTURE_464.png;goma;type;['g', 'o', 'm', 'a'];13.427.527.993.917.400;14.697.183.994.576.300;1.533.713.499.084.110;1.6617351993918419];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;goma;darkblue;nontarget;1;NT;3;Stim6_Set3;7,97E+15;1,19E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h40.47.649.wav;8,00E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3427527993917465, 1.4697183994576335, 1.533713499084115, 1.6617351993918419]
150;149;REPSWITCH1/PICTURE_235.png;aguja;type;['a', 'g', 'u', 'j', 'a'];10.521.737.998.351.400;15.164.067.996.665.800;17.077.936.995.774.500;20.445.278.994.739.000;2.268407599069178];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;aguja;darkblue;switch;1;T;3;Stim4_Set3;8,16E+15;1,23E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.06.295.wav;8,19E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0521737998351455, 1.5164067996665835, 1.7077936995774508, 2.0445278994739056, 2.268407599069178]
151;150;REPSWITCH1/PICTURE_320.png;iglesia;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];11.471.536.997.705.600;14.668.032.992.631.100;1.563.744.899.816.810;17.388.172.997.161.700;19.150.095.991.790.200;19.790.114.993.229.500;2.0750652998685837];NA;NA;NA;NA;NA;NA;NA;NA;;;iglesia;darkblue;nontarget;1;NT;3;Stim8_Set3;8,20E+15;1,52E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.10.871.wav;8,23E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1471536997705698, 1.4668032992631197, 1.563744899816811, 1.7388172997161746, 1.9150095991790295, 1.9790114993229508, 2.0750652998685837]
153;152;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'i', 'n', 't', 'o', 'r'];13.183.651.994.913.800;15.420.413.995.161.600;1.638.553.999.364.370;17.824.075.995.013.100;1.894.676.499.068.730;1.9747324995696545];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pintor;darkblue;filler;1;F;3;Stim1_Set2;8,30E+15;1,41E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.20.059.wav;8,33E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3183651994913816, 1.5420413995161653, 1.638553999364376, 1.7824075995013118, 1.894676499068737, 1.9747324995696545]
156;155;REPSWITCH1/PICTURE_446.png;cerdo;type;['v', 'backspace', 'c', 'e', 'r', 'd', 'o'];11.014.934.992.417.600;16.457.853.997.126.200;17.733.556.991.443.000;19.498.116.988.688.700;2.079.180.099.070.070;2.237.736.599.519.840;2.3172280993312597];NA;NA;NA;NA;NA;NA;NA;NA;;;cerdo;darkblue;filler;1;F;3;Stim7_Set2;8,43E+15;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.33.908.wav;8,46E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1014934992417693, 1.6457853997126222, 1.7733556991443038, 1.9498116988688707, 2.079180099070072, 2.237736599519849, 2.3172280993312597]
157;156;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];0.8957428997382522;10.874.557.998.031.300;1.311.452.099.122.100;1.471.879.999.153.310;16.478.167.995.810.500;17.598.114.991.560.500;1.8881663996726274];NA;NA;NA;NA;NA;NA;NA;NA;;;caracol;darkblue;filler;1;F;3;Stim2_Set2;8,48E+14;1,50E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.38.496.wav;8,51E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8957428997382522, 1.0874557998031378, 1.311452099122107, 1.471879999153316, 1.6478167995810509, 1.7598114991560578, 1.8881663996726274]
161;160;REPSWITCH1/PICTURE_242.png;cartero;type;['c', 'a', 'r', 't', 'e', 'r', 'o'];0.8856735993176699;10.936.750.993.132.500;13.329.370.990.395.500;14.930.283.995.345.200;16.529.270.997.270.900;1.813.273.198.902.600;1.877587298862636];NA;NA;NA;NA;NA;NA;NA;NA;;;cartero;darkblue;switch;1;T;3;Stim3_Set3;8,67E+14;1,39E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.57.084.wav;8,70E+14;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8856735993176699, 1.0936750993132591, 1.3329370990395546, 1.4930283995345235, 1.6529270997270942, 1.813273198902607, 1.877587298862636]
163;162;REPSWITCH1/PICTURE_35.png;oreja;type;['o', 'r', 'e', 'j', 'a'];13.901.394.996.792.000;15.021.428.996.697.000;16.461.348.002.776.500;18.540.989.002.212.800;1.9661328997462988];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;oreja;darkblue;nontarget;1;NT;3;Stim5_Set3;8,76E+15;1,35E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.06.307.wav;8,79E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.3901394996792078, 1.5021428996697068, 1.6461348002776504, 1.8540989002212882, 1.9661328997462988]
164;163;REPSWITCH1/PICTURE_35.png;oreja;type;['i', 'backspace', 'o', 'r', 'e', 'j', 'a'];0.9847430000081658;1.288.863.799.534.730;14.809.515.001.252.200;15.768.657.997.250.500;17.208.615.997.806.100;21.368.626.998.737.400;2.2328972993418574];NA;NA;NA;NA;NA;NA;NA;NA;;;oreja;darkblue;repeat;1;T;3;Stim5_Set3;8,80E+15;1,34E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.11.016.wav;8,83E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9847430000081658, 1.288863799534738, 1.4809515001252294, 1.5768657997250557, 1.7208615997806191, 2.1368626998737454, 2.2328972993418574]
166;165;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];10.592.565.992.847.000;12.189.539.996.907.100;1.347.833.899.781.100;1.4598856000229716];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;miel;darkblue;nontarget;1;NT;3;Stim2_Set3;8,90E+15;1,40E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.20.302.wav;8,93E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0592565992847085, 1.2189539996907115, 1.347833899781108, 1.4598856000229716]
167;166;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];1.083.616.099.320.350;12.105.366.988.107.500;13.225.085.996.091.300;1.4185090996325016];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;miel;darkblue;repeat;1;T;3;Stim2_Set3;8,94E+15;1,37E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.24.925.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.083616099320352, 1.2105366988107562, 1.3225085996091366, 1.4185090996325016]
168;167;REPSWITCH1/PICTURE_552.png;manzana;type;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0.9666713001206517;1.078.948.799.520.730;11.901.813.000.440.500;13.198.902.001.604.400;1.494.893.199.764.190;16.062.626.000.493.700;1.6702629998326302];NA;NA;NA;NA;NA;NA;NA;NA;;;manzana;darkblue;filler;1;F;3;Stim6_Set2;8,99E+15;1,50E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.29.595.wav;9,02E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9666713001206517, 1.078948799520731, 1.1901813000440598, 1.3198902001604438, 1.494893199764192, 1.6062626000493765, 1.6702629998326302]
170;169;REPSWITCH1/PICTURE_8.png;pierna;type;['p', 'i', 'e', 'r', 'n', 'a'];0.8971710996702313;11.051.663.998.514.400;12.491.657.994.687.500;14.091.275.995.597.200;15.211.667.995.899.900;1.6651615994051099];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pierna;darkblue;nontarget;1;NT;4;Stim3_Set4;9,08E+15;1,15E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.38.880.wav;9,11E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8971710996702313, 1.1051663998514414, 1.2491657994687557, 1.4091275995597243, 1.5211667995899916, 1.6651615994051099]
171;170;REPSWITCH1/PICTURE_8.png;pierna;type;['p', 'i', 'e', 'r', 'n', 'a'];0.7960628997534513;0.9720205990597606;10.996.470.991.522.000;12.438.664.995.133.800;13.078.649.993.985.800;1.4681393997743726];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pierna;darkblue;repeat;1;T;4;Stim3_Set4;9,13E+15;1,17E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.43.475.wav;9,16E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.7960628997534513, 0.9720205990597606, 1.0996470991522074, 1.2438664995133877, 1.3078649993985891, 1.4681393997743726]
172;171;REPSWITCH1/PICTURE_728.png;pulpo;type;['p', 'u', 'l', 'p', 'o'];0.792574998922646;0.9997206991538405;12.237.218.990.921.900;14.957.180.991.768.800;1.6557166995480657];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;pulpo;darkblue;nontarget;1;NT;4;Stim8_Set4;9,17E+15;1,31E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.48.032.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.792574998922646, 0.9997206991538405, 1.2237218990921974, 1.4957180991768837, 1.6557166995480657]
174;173;REPSWITCH1/PICTURE_235.png;aguja;type;['a', 'g', 'u', 'j', 'a'];1.093.836.199.492.210;13.658.451.000.228.500;14.618.322.001.770.100;17.019.493.002.444.500;1.813875099644065];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;aguja;darkblue;filler;1;F;4;Stim4_Set3;9,27E+15;1,28E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.57.393.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.093836199492216, 1.3658451000228524, 1.4618322001770139, 1.7019493002444506, 1.813875099644065]
178;177;REPSWITCH1/PICTURE_719.png;baño;type;['b', 'a', 'ñ', 'o'];11.405.891.990.289.000;13.969.557.993.113.900;2.180.197.099.223.730;2.4364515990018845];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;baño;darkblue;switch;1;T;4;Stim2_Set4;9,45E+15;1,55E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.15.885.wav;9,48E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1405891990289092, 1.3969557993113995, 2.180197099223733, 2.4364515990018845]
180;179;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'j', 'o'];0.8200455000624061;0.9000407997518778;10.920.422.999.188.300;12.680.357.992.649.000;13.960.405.997.931.900;1.5240431996062398];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;conejo;darkblue;filler;1;F;4;Stim7_Set3;9,55E+15;1,57E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.25.102.wav;9,58E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8200455000624061, 0.9000407997518778, 1.0920422999188304, 1.2680357992649078, 1.3960405997931957, 1.5240431996062398]
182;181;REPSWITCH1/PICTURE_48.png;bombero;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];11.576.769.994.571.800;12.376.955.999.061.400;13.496.685.000.136.400;14.456.963.995.471.500;16.537.096.993.997.600;18.137.047.998.607.100;1.8627185998484492];NA;NA;NA;NA;NA;NA;NA;NA;;;bombero;darkblue;nontarget;1;NT;4;Stim7_Set4;9,64E+15;1,42E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.34.321.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1576769994571805, 1.2376955999061465, 1.3496685000136495, 1.4456963995471597, 1.6537096993997693, 1.8137047998607159, 1.8627185998484492]
186;185;REPSWITCH1/PICTURE_242.png;cartero;type;['c', 'a', 'r', 't', 'e', 'r', 'o'];1.125.421.498.902.140;1.333.900.699.391.960;1.589.253.899.641.330;17.492.414.992.302.600;19.085.691.990.330.800;205.256.599.932.909;2.164621399715543];NA;NA;NA;NA;NA;NA;NA;NA;;;cartero;darkblue;filler;1;F;4;Stim3_Set3;9,82E+15;1,34E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.52.605.wav;9,85E+14;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.125421498902142, 1.333900699391961, 1.589253899641335, 1.7492414992302656, 1.9085691990330815, 2.05256599932909, 2.164621399715543]
188;187;REPSWITCH1/PICTURE_338.png;regalo;type;['r', 'e', 'g', 'a', 'l', 'o'];0.7931556990370154;0.9528808994218707;1.128.778.699.785.470;1.336.787.199.601.530;1.432.783.999.480.300;1.5607827994972467];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;regalo;darkblue;switch;1;T;4;Stim6_Set4;9,91E+15;1,38E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h44.01.782.wav;9,94E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.7931556990370154, 0.9528808994218707, 1.128778699785471, 1.336787199601531, 1.432783999480307, 1.5607827994972467]
189;188;REPSWITCH1/PICTURE_687.png;camisa;type;['c', 'a', 'm', 'i', 's', 'a'];11.813.703.989.610.000;13.733.608.992.770.300;14.533.594.995.737.000;15.493.632.992.729.500;1.629.764.499.142.760;1.7737535992637277];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;camisa;darkblue;nontarget;1;NT;4;Stim5_Set4;9,96E+15;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h44.06.401.wav;9,99E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1813703989610076, 1.3733608992770314, 1.4533594995737076, 1.5493632992729545, 1.629764499142766, 1.7737535992637277]
190;189;REPSWITCH1/PICTURE_687.png;camisa;type;['c', 'a', 'm', 'i', 's', 'a'];0.8331865994259715;10.093.255.992.978.800;1.057.226.199.656.720;11.850.696.001.201.800;12.499.650.996.178.300;1.377220599912107];NA;NA;NA;NA;NA;NA;NA;NA;NA;;;camisa;darkblue;repeat;1;T;4;Stim5_Set4;1,00E+16;1,27E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h44.11.072.wav;1,00E+14;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.8331865994259715, 1.0093255992978811, 1.057226199656725, 1.1850696001201868, 1.2499650996178389, 1.377220599912107]
192;191;REPSWITCH1/PICTURE_610.png;miel;type;['m', 'i', 'e', 'l'];0.899817799217999;10.272.142.998.874.100;11.242.660.991.847.500;1.2355366991832852];NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;;;miel;darkblue;filler;1;F;4;Stim2_Set3;1,01E+16;1,37E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h44.20.301.wav;1,01E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.899817799217999, 1.0272142998874187, 1.1242660991847515, 1.2355366991832852]
