order;psychopy_order;image;correctAns;respModal;keyResp_keys;keyResp_rt;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion
159;158;REPSWITCH1/PICTURE_576.png;guante;speak;None;;;gold;repeat;2;T;3;Stim1_Set3;8,57E+15;1,32E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.47.788.wav;8,60E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
160;159;REPSWITCH1/PICTURE_242.png;cartero;speak;None;;;gold;nontarget;2;NT;3;Stim3_Set3;8,62E+15;1,34E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h41.52.365.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
162;161;REPSWITCH1/PICTURE_517.png;cuerda;speak;None;;;gold;filler;2;F;3;Stim4_Set2;8,71E+15;1,45E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.01.693.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
165;164;REPSWITCH1/PICTURE_199.png;falda;speak;None;;;gold;filler;2;F;3;Stim8_Set2;8,85E+15;1,51E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.15.652.wav;8,88E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
169;168;REPSWITCH1/PICTURE_464.png;goma;speak;None;;;gold;filler;2;F;4;Stim6_Set3;9,04E+15;1,29E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.34.218.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
173;172;REPSWITCH1/PICTURE_728.png;pulpo;speak;None;;;gold;switch;2;T;4;Stim8_Set4;9,22E+15;1,30E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h42.52.713.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
175;174;REPSWITCH1/PICTURE_498.png;taza;speak;None;;;gold;nontarget;2;NT;4;Stim4_Set4;9,31E+15;1,25E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.01.939.wav;9,34E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
176;175;REPSWITCH1/PICTURE_498.png;taza;speak;None;;;gold;repeat;2;T;4;Stim4_Set4;9,36E+15;1,22E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.06.603.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
177;176;REPSWITCH1/PICTURE_719.png;baño;speak;None;;;gold;nontarget;2;NT;4;Stim2_Set4;9,41E+15;1,58E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.11.270.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
179;178;REPSWITCH1/PICTURE_320.png;iglesia;speak;None;;;gold;filler;2;F;4;Stim8_Set3;9,50E+13;1,51E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h43.20.466.wav;9,53E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224
