"","Trial_no","CorrectAns","SubjResponse","Backspace","Item_correct","RespModal","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","RepSwitch","FrameColor","sequence","Target","set","block","list","exp_version","stimulus","baseline","baseline_condition","fixationITI.started","fixationITI.stopped","polygonColour.started","polygonWhite.started","imageObject.started","polygonType.started","textInput.started","keyResp.started","micRespv2l1.started","participant","session","date","psychopyVersion"
"24",24,"pulpo","pulpo","0","1","type","['p', 'u', 'l', 'p', 'o']",0.947495100088418,1.21882799989544,1.55548249999993,1.68309410009533,1.8270966000855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","gold",1,"F",1,1,1,2,"Stim8_Set4",1,"switch",185.793395200046,187.05833460018,187.05833460018,187.05833460018,187.05833460018,187.05833460018,187.05833460018,187.05833460018,187.05833460018,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"25",25,"espalda","espalda","0","1","type","['e', 's', 'p', 'a', 'l', 'd', 'a']",1.2649395999033,1.37692290008999,1.47289759991691,1.55291999992914,1.64890579995699,1.77693319995888,1.95293230004609,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",1,1,1,2,"Stim8_Set1",1,"repeat",190.585715800058,191.684112200048,191.684112200048,191.684112200048,191.684112200048,191.684112200048,191.684112200048,191.684112200048,191.684112200048,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"26",26,"espalda","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"switch","darkblue",2,"T",1,1,1,2,"Stim8_Set1",0,"None",195.205270300154,196.309615600156,196.309615600156,196.309615600156,196.309615600156,196.309615600156,196.309615600156,196.309615600156,196.309615600156,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"27",27,"puente","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",2,1,1,2,"Stim1_Set1",0,"None",199.84454760002,200.893501400016,200.893501400016,200.893501400016,200.893501400016,200.893501400016,200.893501400016,200.893501400016,200.893501400016,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"28",28,"pintor","pintor","0","1","type","['p', 'i', 'n', 't', 'o', 'r']",0.630009099841118,0.933856199961156,1.06169889983721,1.25369229982607,1.33366329991259,1.43071029987186,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",2,1,1,2,"Stim1_Set2",1,"switch",204.421571500134,205.56769070006,205.56769070006,205.56769070006,205.56769070006,205.56769070006,205.56769070006,205.56769070006,205.56769070006,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"29",29,"pintor","pintor","0","1","type","['p', 'i', 'n', 't', 'o', 'r']",1.0031407000497,1.21075720014051,1.37075550016016,1.48274540016428,1.5947583001107,1.69076370005496,NA,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","gold",1,"T",2,1,1,2,"Stim1_Set2",0,"None",209.088721700013,210.186350299977,210.186350299977,210.186350299977,210.186350299977,210.186350299977,210.186350299977,210.186350299977,210.186350299977,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"30",30,"fresa","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",2,1,1,2,"Stim2_Set1",0,"None",213.707371999975,214.777273999993,214.777273999993,214.777273999993,214.777273999993,214.777273999993,214.777273999993,214.777273999993,214.777273999993,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"31",31,"caracol","caracol","0","1","type","['c', 'a', 'r', 'a', 'c', 'o', 'l']",0.796713700052351,0.924744799965993,0.988700799876824,1.11669629998505,1.14870289992541,1.43655960005708,1.56449160003103,NA,NA,NA,NA,NA,NA,NA,NA,"nontarget","gold",1,"NT",2,1,1,2,"Stim2_Set2",1,"switch",218.305624600034,219.416673900094,219.416673900094,219.416673900094,219.416673900094,219.416673900094,219.416673900094,219.416673900094,219.416673900094,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"32",32,"caracol","carcaol","0","0","type","['c', 'a', 'r', 'c', 'a', 'o', 'l']",0.734171399846673,0.862113399896771,0.878154499921948,1.05415099998936,1.07021789997816,1.4383445000276,1.58233279990964,NA,NA,NA,NA,NA,NA,NA,NA,"repeat","gold",1,"T",2,1,1,2,"Stim2_Set2",0,"None",222.951149800094,224.006821600022,224.006821600022,224.006821600022,224.006821600022,224.006821600022,224.006821600022,224.006821600022,224.006821600022,201,1,"2023-10-06_09h41.18.571","2022.2.4"
"33",33,"muneca","","0","0","speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"filler","darkblue",2,"F",2,1,1,2,"Stim4_Set1",0,"None",227.535866100108,228.695988400141,228.695988400141,228.695988400141,228.695988400141,228.695988400141,228.695988400141,228.695988400141,228.695988400141,201,1,"2023-10-06_09h41.18.571","2022.2.4"
