image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv2l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv2l1.clip;textBlankLoop.started;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textBlankLoop.stopped;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column2
REPSWITCH1/PICTURE_48.png;bombero;type;gold;filler;1;F;1;4;1;2;Stim7_Set4;0;None;322;321;16;0;321;321;321;;;;;;;;;;;;;;;;;;;;;;;1611.35453770007;1612.3615655000322;1612.3615655000322;1612.3615655000322;1612.3615655000322;1612.3615655000322;1612.3615655000322;1612.3615655000322;1612.3615655000322;['b', 'o', 'm', 'b', 'e', 'r', 'o'];0;[0.8584259999915957, 1.1944128999020904, 1.370719200000167, 1.5946140999440104, 1.6905491000507027, 1.8345196000300348, 1.9145426999311894];bombero;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.05.873.wav;1615.3903886000626;None;1615.3903886000626;1615.3903886000626;1615.3903886000626;1615.3903886000626;1615.3903886000626;1615.3903886000626;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_687.png;camisa;speak;darkblue;filler;2;F;1;4;1;2;Stim5_Set4;0;None;323;322;17;0;322;322;322;;;;;;;;;;;;;;;;;;;;;;;1615.8905427001882;1617.0089706000872;1617.0089706000872;1617.0089706000872;1617.0089706000872;1617.0089706000872;1617.0089706000872;1617.0089706000872;1617.0089706000872;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.10.524.wav;1620.0439530001022;None;1620.0439530001022;1620.0439530001022;1620.0439530001022;1620.0439530001022;1620.0439530001022;1620.0439530001022;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_128.png;muñeca;type;gold;nontarget;1;NT;1;4;1;2;Stim4_Set1;0;None;324;323;18;0;323;323;323;;;;;;;;;;;;;;;;;;;;;;;1620.5441253001336;1621.6275933999568;1621.6275933999568;1621.6275933999568;1621.6275933999568;1621.6275933999568;1621.6275933999568;1621.6275933999568;1621.6275933999568;['m', 'u', 'ñ', 'e', 'c', 'a'];0;[0.8081561999861151, 0.9839027998968959, 1.2879421999678016, 1.415940900100395, 1.6399008000735193, 1.719909500097856];muñeca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.15.132.wav;1624.6485374001786;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_128.png;muñeca;type;gold;repeat;1;T;1;4;1;2;Stim4_Set1;0;None;325;324;19;0;324;324;324;;;;;;;;;;;;;;;;;;;;;;;1625.1486921999604;1626.2322379001416;1626.2322379001416;1626.2322379001416;1626.2322379001416;1626.2322379001416;1626.2322379001416;1626.2322379001416;1626.2322379001416;['m', 'u', 'ñ', 'e', 'c', 'a'];0;[0.9393998000305146, 1.0993932001292706, 1.4034198001027107, 1.4673912001308054, 1.6753970000427216, 1.8194190000649542];muñeca;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.19.747.wav;1629.2673325000796;None;1629.2673325000796;1629.2673325000796;1629.2673325000796;1629.2673325000796;1629.2673325000796;1629.2673325000796;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_719.png;baño;speak;darkblue;filler;2;F;1;4;1;2;Stim2_Set4;1;switch;326;325;20;0;325;325;325;;;;;;;;;;;;;;;;;;;;;;;1629.7671443000436;1630.8996298001148;1630.8996298001148;1630.8996298001148;1630.8996298001148;1630.8996298001148;1630.8996298001148;1630.8996298001148;1630.8996298001148;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.24.404.wav;1633.9205807000399;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_178.png;puente;type;gold;nontarget;1;NT;1;4;1;2;Stim1_Set1;1;switch;327;326;21;0;326;326;326;;;;;;;;;;;;;;;;;;;;;;;1634.4206578000449;1635.4695374001749;1635.4695374001749;1635.4695374001749;1635.4695374001749;1635.4695374001749;1635.4695374001749;1635.4695374001749;1635.4695374001749;['p', 'u', 'e', 'n', 't', 'e'];0;[0.9661282999441028, 1.2220910999458283, 1.4789978000335395, 1.5263302000239491, 1.7339989999309182, 1.8139655000995845];puente;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.28.984.wav;1638.4967239999678;None;1638.4967239999678;1638.4967239999678;1638.4967239999678;1638.4967239999678;1638.4967239999678;1638.4967239999678;1638.99751500017;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_178.png;puente;type;gold;repeat;1;T;1;4;1;2;Stim1_Set1;0;None;328;327;22;0;327;327;327;;;;;;;;;;;;;;;;;;;;;;;1638.99751500017;1640.0743124999572;1640.0743124999572;1640.0743124999572;1640.0743124999572;1640.0743124999572;1640.0743124999572;1640.0743124999572;1640.0743124999572;['p', 'u', 'e', 'n', 't', 'e'];0;[0.7937484001740813, 1.0811646000947803, 1.2577123001683503, 1.3217056000139564, 1.529342400142923, 1.5932907999958843];puente;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.33.578.wav;1643.0956906999927;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_16.png;cazador;type;gold;nontarget;1;NT;1;4;1;2;Stim6_Set1;1;repeat;329;328;23;0;328;328;328;;;;;;;;;;;;;;;;;;;;;;;1643.595631300006;1644.8180257000495;1644.8180257000495;1644.8180257000495;1644.8180257000495;1644.8180257000495;1644.8180257000495;1644.8180257000495;1644.8180257000495;['c', 'a', 'z', 'a', 'd', 'o', 'r'];0;[0.7377335999626666, 0.8017312998417765, 1.0097309998236597, 1.1697485998738557, 1.3297466000076383, 1.4577451997902244, 1.5857372998725623];cazador;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.38.323.wav;1647.839404599974;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_16.png;cazador;speak;darkblue;switch;2;T;1;4;1;2;Stim6_Set1;0;None;330;329;24;0;329;329;329;;;;;;;;;;;;;;;;;;;;;;;1648.339096300071;1649.3810640000738;1649.3810640000738;1649.3810640000738;1649.3810640000738;1649.3810640000738;1649.3810640000738;1649.3810640000738;1649.3810640000738;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.42.885.wav;1652.4021597001702;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_19.png;pavo;type;gold;filler;1;F;2;4;1;2;Stim5_Set1;0;None;331;330;25;0;330;330;330;;;;;;;;;;;;;;;;;;;;;;;1652.9026850000955;1653.999785500113;1653.999785500113;1653.999785500113;1653.999785500113;1653.999785500113;1653.999785500113;1653.999785500113;1653.999785500113;['p', 'a', 'v', 'o'];0;[0.9162573001813143, 0.964284700108692, 1.1882875000592321, 1.396283300127834];pavo;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.47.514.wav;1657.026897800155;None;1657.026897800155;1657.026897800155;1657.026897800155;1657.026897800155;1657.026897800155;1657.026897800155;1657.527231800137;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_199.png;falda;type;gold;nontarget;1;NT;2;4;1;2;Stim8_Set2;1;repeat;332;331;26;0;331;331;331;;;;;;;;;;;;;;;;;;;;;;;1657.527231800137;1658.6254104999825;1658.6254104999825;1658.6254104999825;1658.6254104999825;1658.6254104999825;1658.6254104999825;1658.6254104999825;1658.6254104999825;['f', 'a', 'l', 'd', 'a'];0;[0.9303710998501629, 0.9943458000198007, 1.3303720999974757, 1.6185171999968588, 1.6994829999748617];falda;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.52.130.wav;1661.6456820999738;None;;;;;;;1662.1457271000836;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_199.png;falda;type;gold;repeat;1;T;2;4;1;2;Stim8_Set2;0;None;333;332;27;0;332;332;332;;;;;;;;;;;;;;;;;;;;;;;1662.1457271000836;1663.215277099982;1663.215277099982;1663.215277099982;1663.215277099982;1663.215277099982;1663.215277099982;1663.215277099982;1663.215277099982;['f', 'a', 'l', 'd', 'a'];0;[0.7561500000301749, 0.8361712999176234, 1.1882227000314742, 1.4921504000667483, 1.540147599996999];falda;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h07.56.726.wav;1666.2442446001805;None;1666.2442446001805;1666.2442446001805;1666.2442446001805;1666.2442446001805;1666.2442446001805;1666.2442446001805;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_178.png;puente;speak;darkblue;filler;2;F;2;4;1;2;Stim1_Set1;1;switch;334;333;28;0;333;333;333;;;;;;;;;;;;;;;;;;;;;;;1666.7444869000465;1667.9182321000844;1667.9182321000844;1667.9182321000844;1667.9182321000844;1667.9182321000844;1667.9182321000844;1667.9182321000844;1667.9182321000844;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.01.432.wav;1670.9536093999632;None;1670.9536093999632;1670.9536093999632;1670.9536093999632;1670.9536093999632;1670.9536093999632;1670.9536093999632;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_517.png;cuerda;type;gold;nontarget;1;NT;2;4;1;2;Stim4_Set2;1;switch;335;334;29;0;334;334;334;;;;;;;;;;;;;;;;;;;;;;;1671.4533917000517;1672.5446437001228;1672.5446437001228;1672.5446437001228;1672.5446437001228;1672.5446437001228;1672.5446437001228;1672.5446437001228;1672.5446437001228;['c', 'u', 'e', 'r', 'd', 'a'];0;[0.8992505001369864, 1.0754988000262529, 1.1876926999539137, 1.3476809000130743, 1.4596724000293761, 1.5556824000086635];cuerda;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.06.048.wav;1675.5648742001504;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_517.png;cuerda;type;gold;repeat;1;T;2;4;1;2;Stim4_Set2;0;None;336;335;30;0;335;335;335;;;;;;;;;;;;;;;;;;;;;;;1676.065259900177;1677.2112744001206;1677.2112744001206;1677.2112744001206;1677.2112744001206;1677.2112744001206;1677.2112744001206;1677.2112744001206;1677.2112744001206;['c', 'u', 'e', 'r', 'd', 'a'];0;[0.6485476000234485, 0.8087141001597047, 0.9046974000521004, 1.0480371001176536, 1.160241800127551, 1.1922337000723928];cuerda;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.10.716.wav;1680.2323465000372;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_169.png;espalda;type;gold;filler;1;F;2;4;1;2;Stim8_Set1;0;None;337;336;31;0;336;336;336;;;;;;;;;;;;;;;;;;;;;;;1680.732402900001;1681.7743264001328;1681.7743264001328;1681.7743264001328;1681.7743264001328;1681.7743264001328;1681.7743264001328;1681.7743264001328;1681.7743264001328;['e', 's', 'p', 'a', 'l', 'd', 'a'];0;[0.7095770000014454, 0.885954299941659, 0.9825161001645029, 1.0775403999723494, 1.1416152000892907, 1.253612200031057, 1.4614143001381308];espalda;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.15.279.wav;1684.7954412000254;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_673.png;tenedor;speak;darkblue;filler;2;F;2;4;1;2;Extra5;0;None;338;337;32;0;337;337;337;;;;;;;;;;;;;;;;;;;;;;;1685.2954917000607;1686.3234600999858;1686.3234600999858;1686.3234600999858;1686.3234600999858;1686.3234600999858;1686.3234600999858;1686.3234600999858;1686.3234600999858;None;0;;;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.19.827.wav;1689.3446450000629;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_142.png;vaso;type;gold;filler;1;F;2;4;1;2;Stim7_Set1;1;switch;339;338;33;0;338;338;338;;;;;;;;;;;;;;;;;;;;;;;1689.8446867000312;1690.9283436001278;1690.9283436001278;1690.9283436001278;1690.9283436001278;1690.9283436001278;1690.9283436001278;1690.9283436001278;1690.9283436001278;['v', 'a', 's', 'o'];0;[0.6433405000716448, 0.7073463001288474, 0.8993333000689745, 1.0753434000071138];vaso;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.24.432.wav;1693.9492488000542;None;;;;;;;;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
REPSWITCH1/PICTURE_552.png;manzana;type;gold;nontarget;1;NT;2;4;1;2;Stim6_Set2;1;repeat;340;339;34;0;339;339;339;;;;;;;;;;;;;;;;;;;;;;;1694.449609800009;1695.498286300106;1695.498286300106;1695.498286300106;1695.498286300106;1695.498286300106;1695.498286300106;1695.498286300106;1695.498286300106;['m', 'a', 'n', 'z', 'a', 'n', 'a'];0;[0.7454282001126558, 0.7934275001753122, 0.9210934001021087, 1.017703999998048, 1.1467339000664651, 1.241724800085649, 1.3536929001566023];manzana;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/000201_REPSWITCH1_version2_list1_2023-10-06_09h41.18.571_micRespv2l1_recorded\recording_micRespv2l1_2023-10-06_10h08.29.012.wav;1698.5254860999994;None;1698.5254860999994;1698.5254860999994;1698.5254860999994;1698.5254860999994;1698.5254860999994;1698.5254860999994;1699.0256923001725;;;;;;000201;001;2023-10-06_09h41.18.571;REPSWITCH1_version2_list1;2022.2.4;143.9130532565852;
