Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1;Column2
recording_V2L3_p060203_tr21_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr220_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr221_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr222_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr223_speak_taza;taza;989.504;336.195;;;;tongue;;;
recording_V2L3_p060203_tr224_type_bombero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr225_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr226_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr227_speak_regalo;regalo;725.778;535.412;;;;;;;
recording_V2L3_p060203_tr228_type_pulpo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr229_type_espalda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr22_speak_vaca;vaca;758.93;435.269;;;;;;;
recording_V2L3_p060203_tr230_speak_espalda;espalda;778.949;576.525;;;;tongue;;;
recording_V2L3_p060203_tr231_speak_puente;puente;1134.425;391.937;;;;;;;
recording_V2L3_p060203_tr232_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr233_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr234_speak_fresa;fresa;1205.984;538.409;;;;;;;
recording_V2L3_p060203_tr235_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr236_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr237_speak_muñeca;muñeca;959.421;515.458;;;;;;;
recording_V2L3_p060203_tr238_type_mano;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr239_speak_mano;mano;1036.646;338.676;;;;;;;
recording_V2L3_p060203_tr23_type_regalo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr240_speak_cuerda;cuerda;845.598;414.351;;;;;;;
recording_V2L3_p060203_tr241_type_cuerda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr242_type_traje;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr243_type_granja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr244_speak_granja;granja;1004.391;461.493;;;;tongue;;;
recording_V2L3_p060203_tr245_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr246_speak_pavo;pavo;1165.666;306.334;;;;;;;
recording_V2L3_p060203_tr247_speak_manzana;manzana;861.725;522.275;;;;;;;
recording_V2L3_p060203_tr248_speak_manzana;manzana;719.928;589.644;;;;;;;
recording_V2L3_p060203_tr249_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr24_type_vaso;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr250_speak_cerdo;cerdo;749.453;483.823;;;;tongue;;;
recording_V2L3_p060203_tr251_speak_cerdo;cerdo;501.252;493.214;;;;;;;
recording_V2L3_p060203_tr252_type_escoba;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr253_speak_espalda;espalda;1010.594;584.31;;;;;;;
recording_V2L3_p060203_tr254_speak_falda;falda;670.057;490.647;;;;;;;
recording_V2L3_p060203_tr255_type_falda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr256_type_guante;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr257_speak_guante;guante;947.325;398.224;;;;tongue;;;
recording_V2L3_p060203_tr258_speak_tronco;tronco;;833.699;452.302;;;;;;
recording_V2L3_p060203_tr259_speak_miel;miel;680;357.528;;;;;;;
recording_V2L3_p060203_tr25_speak_vaso;vaso;833.192;350.808;;;;;;;
recording_V2L3_p060203_tr260_type_miel;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr261_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr262_type_cartero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr263_speak_cartero;cartero;720.436;487.564;;;;tongue;;;
recording_V2L3_p060203_tr264_speak_caracol;caracol;845.598;478.861;;;;;;;
recording_V2L3_p060203_tr265_type_cuerda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr266_speak_aguja;aguja;780.757;557.349;;;;tongue;;;
recording_V2L3_p060203_tr267_speak_aguja;aguja;800;504;;;;;;;
recording_V2L3_p060203_tr268_type_granja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr269_speak_manzana;manzana;695.171;552.829;;;;;;;
recording_V2L3_p060203_tr26_type_camisa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr270_speak_oreja;oreja;729.604;469.199;;;;tongue;;;
recording_V2L3_p060203_tr271_speak_oreja;oreja;769.363;509.195;;;;;;;
recording_V2L3_p060203_tr272_type_tenedor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr273_speak_goma;goma;782.138;402.136;;;;tongue;;;
recording_V2L3_p060203_tr274_type_goma;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr275_speak_mano;mano;950.827;316.876;;;;;;;
recording_V2L3_p060203_tr276_type_conejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr277_type_conejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr278_speak_cerdo;cerdo;651.696;460.304;;;;;;;
recording_V2L3_p060203_tr279_type_falda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr27_type_granja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr280_type_iglesia;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr281_type_iglesia;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr282_speak_guante;guante;734.457;426.246;;;;;;;
recording_V2L3_p060203_tr283_type_vaca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr284_type_vaca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr285_type_baño;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr286_speak_baño;baño;890.258;444.125;;;;;;;
recording_V2L3_p060203_tr287_speak_cartero;cartero;926.235;465.765;;;;tongue;;;
recording_V2L3_p060203_tr288_type_miel;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr289_speak_pierna;pierna;1144;473.234;;;;mic sound at the end of the file;;;
recording_V2L3_p060203_tr28_type_granja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr290_speak_pierna;pierna;716.783;384.578;;;;;;;
recording_V2L3_p060203_tr291_speak_taza;taza;661.319;371.606;;;;;;;
recording_V2L3_p060203_tr292_type_taza;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr293_speak_aguja;aguja;977.098;507.394;;;;;;;
recording_V2L3_p060203_tr294_type_oreja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr295_type_camisa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr296_speak_camisa;camisa;902.664;539.649;;;;tongue;;;
recording_V2L3_p060203_tr297_speak_regalo;regalo;788.549;570.664;;;;tongue;;;
recording_V2L3_p060203_tr298_speak_regalo;regalo;840;536;;;;;;;
recording_V2L3_p060203_tr299_type_columna;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr29_speak_muñeca;muñeca;816;524.586;;;;;;;
recording_V2L3_p060203_tr2_speak_muñeca;muñeca;760;483.201;;;;;;;
recording_V2L3_p060203_tr300_speak_conejo;conejo;684.157;441.81;;;;tongue;;;
recording_V2L3_p060203_tr301_speak_bombero;bombero;744;448;;;;;;;
recording_V2L3_p060203_tr302_type_bombero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr303_type_pulpo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr304_type_pulpo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr305_speak_iglesia;iglesia;964.693;622.768;;;;;;;
recording_V2L3_p060203_tr306_type_goma;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr307_speak_tronco;tronco;835.673;451.569;;;;;;;
recording_V2L3_p060203_tr308_type_espejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr309_speak_regalo;regalo;879.093;480.907;;;;tongue;;;
recording_V2L3_p060203_tr30_type_mano;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr310_speak_vaso;vaso;616.419;393.554;;;;;;;
recording_V2L3_p060203_tr311_speak_vaso;vaso;615.418;400.705;;;;;;;
recording_V2L3_p060203_tr312_type_taza;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr313_speak_cazador;cazador;698.316;514.492;;;;tongue;;;
recording_V2L3_p060203_tr314_speak_cazador;cazador;409.454;529.725;;;;;;;
recording_V2L3_p060203_tr315_type_baño;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr316_speak_espalda;espalda;1724.433;519.8;0;;;typed, then spoke;1;;
recording_V2L3_p060203_tr317_type_espalda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr318_type_camisa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr319_type_puente;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr31_type_mano;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr320_speak_puente;puente;685.718;404.273;;;;;;;
recording_V2L3_p060203_tr321_speak_muñeca;muñeca;928.716;514.838;;;;;;;
recording_V2L3_p060203_tr322_type_muñeca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr323_speak_vaca;vaca;792;408;;;;;;;
recording_V2L3_p060203_tr324_speak_pulpo;pulpo;657.052;414.948;;;;;;;
recording_V2L3_p060203_tr325_type_fresa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr326_type_fresa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr327_speak_pierna;pierna;816;424;;;;;;;
recording_V2L3_p060203_tr328_speak_bombero;bombero;640.504;575.496;;;;;;;
recording_V2L3_p060203_tr329_type_traje;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr32_type_pintor;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr330_type_traje;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr331_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr332_speak_pavo;pavo;880;312;;;;;;;
recording_V2L3_p060203_tr333_speak_vaso;vaso;765.678;370.931;;;;;;;
recording_V2L3_p060203_tr334_type_traje;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr335_type_cerdo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr336_type_cerdo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr337_speak_cazador;cazador;720;533.746;;;;tongue;;;
recording_V2L3_p060203_tr338_type_manzana;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr339_type_manzana;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr33_speak_pintor;pintor;720;429.538;;;;;;;
recording_V2L3_p060203_tr340_type_cuerda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr341_speak_cuerda;cuerda;880.334;367.666;;;;tongue;;;
recording_V2L3_p060203_tr342_speak_espalda;espalda;853.717;597.28;;;;;;;
recording_V2L3_p060203_tr343_speak_granja;granja;805.907;530.958;;;;;;;
recording_V2L3_p060203_tr344_type_granja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr345_type_muñeca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr346_type_falda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr347_speak_falda;falda;668.936;477.621;;;;;;;
recording_V2L3_p060203_tr348_speak_caracol;caracol;686.134;508.064;;;;tongue;;;
recording_V2L3_p060203_tr349_speak_caracol;caracol;744;561.85;;;;tongue;;;
recording_V2L3_p060203_tr34_speak_traje;traje;888;385.595;;;;;;;
recording_V2L3_p060203_tr350_type_fresa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr351_speak_pintor;pintor;920;416.865;;;;mic moves after word and at the end of the file;;;
recording_V2L3_p060203_tr352_speak_pintor;pintor;686.134;495.659;;;;;;;
recording_V2L3_p060203_tr353_type_puente;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr354_speak_pavo;pavo;743.498;335.327;;;;;;;
recording_V2L3_p060203_tr355_speak_mano;mano;609.576;374.966;;;;;;;
recording_V2L3_p060203_tr356_type_mano;;0;3000;;;;;;;
recording_V2L3_p060203_tr357_type_cerdo;;0;3000;;;;;;;
recording_V2L3_p060203_tr358_type_aguja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr359_speak_aguja;aguja;776;514.963;;;;;;;
recording_V2L3_p060203_tr35_speak_cerdo;cerdo;662.613;516.078;;;;;;;
recording_V2L3_p060203_tr360_speak_manzana;manzana;544.627;591.373;;;;;;;
recording_V2L3_p060203_tr361_speak_conejo;conejo;704.743;509.305;;;;;;;
recording_V2L3_p060203_tr362_type_conejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr363_type_miel;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr364_speak_miel;miel;936;351.242;;;;;;;
recording_V2L3_p060203_tr365_type_falda;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr366_speak_goma;goma;759.479;419.833;;;;tongue;;;
recording_V2L3_p060203_tr367_speak_goma;goma;655.756;379.649;;;;tongue;;;
recording_V2L3_p060203_tr368_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr369_speak_iglesia;iglesia;784.245;671.714;;;;;;;
recording_V2L3_p060203_tr36_type_cerdo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr370_speak_iglesia;iglesia;659.501;673.642;;;;;;;
recording_V2L3_p060203_tr371_speak_oreja;oreja;725.439;497.293;;;;;;;
recording_V2L3_p060203_tr372_type_oreja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr373_speak_cuerda;cuerda;838.729;398.89;;;;;;;
recording_V2L3_p060203_tr374_type_granja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr375_type_cartero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr376_type_cartero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr377_speak_mano;mano;728;392;;;;;;;
recording_V2L3_p060203_tr378_type_guante;[/guan/, type];824;240;0;;;started talking first, then typed;1;;
recording_V2L3_p060203_tr379_type_guante;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr37_type_caracol;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr380_speak_pintor;pintor;750.754;430.419;;;;;;;
recording_V2L3_p060203_tr381_type_taza;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr382_type_taza;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr383_speak_aguja;aguja;1308.331;501.192;;;;;;;
recording_V2L3_p060203_tr384_type_regalo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr385_speak_regalo;regalo;868.548;587.452;;;;tongue;;;
recording_V2L3_p060203_tr386_speak_baño;baño;904;360;;;;;;;
recording_V2L3_p060203_tr387_speak_baño;baño;784;352;;;;;;;
recording_V2L3_p060203_tr388_type_conejo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr389_speak_miel;miel;836.914;348.601;;;;;;;
recording_V2L3_p060203_tr38_speak_caracol;caracol;861.725;434.275;;;;;;;
recording_V2L3_p060203_tr390_speak_camisa;camisa;843.117;472.658;;;;tongue;;;
recording_V2L3_p060203_tr391_type_camisa;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr392_type_vaca;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr393_speak_vaca;vaca;689.906;405.047;;;;;;;
recording_V2L3_p060203_tr394_type_goma;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr395_speak_pulpo;pulpo;952.907;385.198;;;;;;;
recording_V2L3_p060203_tr396_speak_pulpo;pulpo;700.097;361.361;;;;;;;
recording_V2L3_p060203_tr397_type_iglesia;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr398_speak_guante;guante;808.566;434.015;;;;;;;
recording_V2L3_p060203_tr399_speak_pierna;pierna;726.116;458.158;;;;;;;
recording_V2L3_p060203_tr39_type_cazador;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr3_speak_muñeca;muñeca;703.474;483.823;;;;;;;
recording_V2L3_p060203_tr400_type_pierna;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr401_speak_tenedor;tenedor;704;448.019;;; ;;;;
recording_V2L3_p060203_tr402_type_oreja;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr403_speak_columna;columna;1011.835;494.989;;;;;;;
recording_V2L3_p060203_tr404_type_cartero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr405_type_bombero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr406_type_bombero;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr407_speak_cadena;cadena;796.541;428.672;;;;tongue;;;
recording_V2L3_p060203_tr408_type_escoba;[/es/, type];712;176;0;;;spoke first, then typed;1;;
recording_V2L3_p060203_tr40_speak_fresa;fresa;821.407;488.786;;;;;;;
recording_V2L3_p060203_tr41_type_pavo;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr42_speak_cuerda;cuerda;864;384;;;;;;;
recording_V2L3_p060203_tr43_speak_cuerda;cuerda;752;371.486;;;;;;;
recording_V2L3_p060203_tr44_type_puente;[type];0;3000;;;;;;;
recording_V2L3_p060203_tr45_speak_falda;falda;938.02;478.861;;;;;;;
recording_V2L3_p060203_tr46_speak_falda;falda;709.755;503.673;;;;;;;
