Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V2L2_p040202_tr24_type_traje;[type];0;3000;;;;;;
recording_V2L2_p040202_tr250_speak_granja;granja;616;608;;;;tongue;;
recording_V2L2_p040202_tr251_type_tronco;[type];0;3000;;;;;;
recording_V2L2_p040202_tr252_speak_cazador;cazador;936;630.371;;;;;;
recording_V2L2_p040202_tr253_speak_pintor;pintor;1049.052;513.597;;;;;;
recording_V2L2_p040202_tr254_type_pintor;[type];0;3000;;;;;;
recording_V2L2_p040202_tr255_speak_columna;columna;1004.391;595.609;;;;tongue;;
recording_V2L2_p040202_tr256_type_oreja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr257_speak_oreja;oreja;783.76;488.24;;;;tongue;;
recording_V2L2_p040202_tr258_speak_falda;falda;616.983;543.017;;;;;;
recording_V2L2_p040202_tr259_speak_guante;guante;856;488;;;;tongue;;
recording_V2L2_p040202_tr25_type_pavo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr260_type_guante;[type];0;3000;;;;;;
recording_V2L2_p040202_tr261_type_cuerda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr262_type_conejo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr263_speak_conejo;conejo;800;560;;;;tongue;;
recording_V2L2_p040202_tr264_type_manzana;[type];0;3000;;;;;;
recording_V2L2_p040202_tr265_speak_cartero;cartero;968;560;;;;tongue;;
recording_V2L2_p040202_tr266_speak_cartero;cartero;688;524.807;;;;tongue;;
recording_V2L2_p040202_tr267_speak_caracol;caracol;1052.773;549.574;;;;;;
recording_V2L2_p040202_tr268_type_cerdo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr269_speak_miel;miel;776;496.975;;;;;;
recording_V2L2_p040202_tr26_speak_pavo;pavo;1063.939;304.061;;;;;;
recording_V2L2_p040202_tr270_speak_miel;miel;630.286;508.707;;;;;;
recording_V2L2_p040202_tr271_speak_iglesia;iglesia;860.485;669.909;;;;;;
recording_V2L2_p040202_tr272_type_iglesia;[type];0;3000;;;;;;
recording_V2L2_p040202_tr273_speak_granja;granja;730.407;597.593;;;;;;
recording_V2L2_p040202_tr274_type_mano;[type];0;3000;;;;;;
recording_V2L2_p040202_tr275_type_goma;[type];0;3000;;;;;;
recording_V2L2_p040202_tr276_type_goma;[type];0;3000;;;;;;
recording_V2L2_p040202_tr277_speak_pintor;pintor;659.533;528.463;;;;;;
recording_V2L2_p040202_tr278_type_aguja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr279_type_aguja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr27_speak_vaso;vaso;784;344;;;;;;
recording_V2L2_p040202_tr280_type_guante;[type];0;3000;;;;;;
recording_V2L2_p040202_tr281_speak_espejo;espejo;856;553.438;;;;;;
recording_V2L2_p040202_tr282_speak_goma;goma;888;424;;;;;;
recording_V2L2_p040202_tr283_type_regalo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr284_type_regalo;[type];0;3000;;;;seemed like she would speak, but didn't;;
recording_V2L2_p040202_tr285_type_pierna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr286_speak_pierna;pierna;1040;477.988;;;;;;
recording_V2L2_p040202_tr287_type_conejo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr288_speak_camisa;camisa;680;543.973;;;;tongue;;
recording_V2L2_p040202_tr289_speak_camisa;camisa;636.113;520.868;;;;tongue;;
recording_V2L2_p040202_tr28_type_traje;[type];0;3000;;;;;;
recording_V2L2_p040202_tr290_speak_vaca;vaca;584;416.526;;;;;;
recording_V2L2_p040202_tr291_type_vaca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr292_speak_cartero;cartero;795.594;556.406;;;;tongue;;
recording_V2L2_p040202_tr293_type_taza;[type];0;3000;;;;;;
recording_V2L2_p040202_tr294_speak_taza;taza;716.183;363.817;;;;;;
recording_V2L2_p040202_tr295_type_cadena;[type];0;3000;;;;;;
recording_V2L2_p040202_tr296_speak_miel;miel;983.301;400.699;;;;;;
recording_V2L2_p040202_tr297_speak_bombero;bombero;746.008;616.565;;;;;;
recording_V2L2_p040202_tr298_speak_bombero;bombero;592;568;;;;;;
recording_V2L2_p040202_tr299_type_iglesia;[type];0;3000;;;;;;
recording_V2L2_p040202_tr29_type_cerdo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr2_type_espejo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr300_speak_oreja;oreja;786.05;465.215;;;;;;
recording_V2L2_p040202_tr301_speak_pulpo;pulpo;656;392;;;;;;
recording_V2L2_p040202_tr302_type_pulpo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr303_speak_escoba;escoba;1088;456;;;;tongue;;
recording_V2L2_p040202_tr304_type_aguja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr305_type_baño;[type];0;3000;;;;;;
recording_V2L2_p040202_tr306_type_baño;[type];0;3000;;;;;;
recording_V2L2_p040202_tr307_type_columna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr308_speak_muñeca;muñeca;992;558.243;;;;;;
recording_V2L2_p040202_tr309_speak_muñeca;muñeca;479.791;512.209;;;;;;
recording_V2L2_p040202_tr30_type_cerdo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr310_type_pierna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr311_speak_traje;traje;696;432;;;;;;
recording_V2L2_p040202_tr312_speak_traje;traje;568;416;;;;;;
recording_V2L2_p040202_tr313_type_tenedor;[type];0;3000;;;;yawn;;
recording_V2L2_p040202_tr314_speak_pulpo;pulpo;1064;368;;;;;;
recording_V2L2_p040202_tr315_speak_cazador;cazador;656;550.604;;;;tongue;;
recording_V2L2_p040202_tr316_type_cazador;[type];0;3000;;;;;;
recording_V2L2_p040202_tr317_type_taza;[type];0;3000;;;;;;
recording_V2L2_p040202_tr318_type_fresa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr319_speak_fresa;fresa;590.66;488.786;;;;;;
recording_V2L2_p040202_tr31_speak_cazador;cazador;1123.486;526.003;;;;tongue;;
recording_V2L2_p040202_tr320_speak_puente;puente;689.119;418.239;;;;;;
recording_V2L2_p040202_tr321_type_puente;[type];0;3000;;;;;;
recording_V2L2_p040202_tr322_speak_baño;baño;886.537;426.757;;;;;;
recording_V2L2_p040202_tr323_type_espalda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr324_type_espalda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr325_speak_bombero;bombero;984;553.837;;;;;;
recording_V2L2_p040202_tr326_type_pavo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr327_type_pavo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr328_speak_vaca;vaca;787.82;442.355;;;;;;
recording_V2L2_p040202_tr329_type_regalo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr32_type_manzana;[type];0;3000;;;;;;
recording_V2L2_p040202_tr330_type_vaso;[type];0;3000;;;;;;
recording_V2L2_p040202_tr331_speak_vaso;vaso;648;432;;;;;;
recording_V2L2_p040202_tr332_type_camisa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr333_type_granja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr334_type_granja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr335_speak_muñeca;muñeca;631.137;545.694;;;;;;
recording_V2L2_p040202_tr336_type_mano;[type];0;3000;;;;;;
recording_V2L2_p040202_tr337_type_mano;[type];0;3000;;;;;;
recording_V2L2_p040202_tr338_type_pintor;[type];0;3000;;;;;;
recording_V2L2_p040202_tr339_speak_pintor;pintor;712;404.958;;;;;;
recording_V2L2_p040202_tr33_type_manzana;[type];0;3000;;;;;;
recording_V2L2_p040202_tr340_speak_traje;traje;932.438;359.766;;;;;;
recording_V2L2_p040202_tr341_speak_cerdo;cerdo;559.216;449.087;;;;;;
recording_V2L2_p040202_tr342_type_cerdo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr343_type_caracol;[type];0;3000;;;;;;
recording_V2L2_p040202_tr344_speak_caracol;caracol;675.271;594.602;;;;tongue;;
recording_V2L2_p040202_tr345_type_cazador;[type];0;3000;;;;;;
recording_V2L2_p040202_tr346_speak_fresa;fresa;580.457;478.861;;;;;;
recording_V2L2_p040202_tr347_type_pavo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr348_speak_cuerda;cuerda;728.996;447.835;;;;tongue;;
recording_V2L2_p040202_tr349_speak_cuerda;cuerda;688.589;402.642;;;;tongue;;
recording_V2L2_p040202_tr34_type_cuerda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr350_type_puente;[type];0;3000;;;;;;
recording_V2L2_p040202_tr351_speak_falda;falda;831.951;358.526;;;;tongue;;
recording_V2L2_p040202_tr352_speak_falda;falda;504;425.04;;;;;;
recording_V2L2_p040202_tr353_type_espalda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr354_speak_vaso;vaso;776;376;;;;;;
recording_V2L2_p040202_tr355_speak_manzana;manzana;776;578.233;;;;;;
recording_V2L2_p040202_tr356_type_manzana;[type];0;3000;;;;;;
recording_V2L2_p040202_tr357_speak_escoba;escoba;980.82;485.064;;;;tongue;;
recording_V2L2_p040202_tr358_type_manzana;[type];0;3000;;;;;;
recording_V2L2_p040202_tr359_type_goma;[type];0;3000;;;;;;
recording_V2L2_p040202_tr35_speak_cuerda;cuerda;841.876;476.38;;;;tongue;;
recording_V2L2_p040202_tr360_speak_goma;goma;728;378.118;;;;tongue;;
recording_V2L2_p040202_tr361_speak_granja;granja;740.312;518.397;;;;tongue;;
recording_V2L2_p040202_tr362_speak_aguja;aguja;634.671;557.329;;;;;;
recording_V2L2_p040202_tr363_type_aguja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr364_type_cadena;[type];0;3000;;;;;;
recording_V2L2_p040202_tr365_type_iglesia;[type];0;3000;;;;;;
recording_V2L2_p040202_tr366_speak_iglesia;iglesia;692.498;551.324;;;;;;
recording_V2L2_p040202_tr367_type_pintor;[type];0;3000;;;;;;
recording_V2L2_p040202_tr368_speak_conejo;conejo;750.997;468.937;;;;tongue;;
recording_V2L2_p040202_tr369_speak_conejo;conejo;609.374;399.775;;;;tongue;;
recording_V2L2_p040202_tr36_speak_espalda;espalda;943.603;657.504;;;;;;
recording_V2L2_p040202_tr370_speak_cerdo;cerdo;584;426.594;;;;;;
recording_V2L2_p040202_tr371_type_caracol;[type];0;3000;;;;;;
recording_V2L2_p040202_tr372_speak_guante;guante;952;409.676;;;;tongue;;
recording_V2L2_p040202_tr373_speak_guante;guante;654.21;399.775;;;;tongue;;
recording_V2L2_p040202_tr374_speak_cartero;cartero;724.176;467.824;;;;tongue;;
recording_V2L2_p040202_tr375_type_cartero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr376_speak_cuerda;cuerda;678.979;332.474;;;;tongue;;
recording_V2L2_p040202_tr377_type_tronco;[type];0;3000;;;;;;
recording_V2L2_p040202_tr378_type_oreja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr379_type_oreja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr37_speak_granja;granja;805.234;608.546;;;;;;
recording_V2L2_p040202_tr380_speak_falda;falda;744.405;478.948;;;;;;
recording_V2L2_p040202_tr381_type_miel;[type];0;3000;;;;;;
recording_V2L2_p040202_tr382_type_miel;[type];0;3000;;;;;;
recording_V2L2_p040202_tr383_type_mano;[type];0;3000;;;;;;
recording_V2L2_p040202_tr384_speak_goma;goma;832;400;;;;;;
recording_V2L2_p040202_tr385_type_pierna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr386_type_pierna;[type];0;3000;;;;;;
recording_V2L2_p040202_tr387_type_pulpo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr388_speak_pulpo;pulpo;703.086;429.238;;;;;;
recording_V2L2_p040202_tr389_type_aguja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr38_type_granja;[type];0;3000;;;;;;
recording_V2L2_p040202_tr390_speak_taza;taza;631.467;376.533;;;;;;
recording_V2L2_p040202_tr391_speak_taza;taza;605.52;314.48;;;;tongue;;
recording_V2L2_p040202_tr392_speak_baño;baño;643.396;396.972;;;;;;
recording_V2L2_p040202_tr393_type_baño;[type];0;3000;;;;;;
recording_V2L2_p040202_tr394_speak_iglesia;iglesia;616;658.836;;;;tongue;;
recording_V2L2_p040202_tr395_type_bombero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr396_speak_bombero;bombero;560;464;;;;;;
recording_V2L2_p040202_tr397_type_guante;[type];0;3000;;;;;;
recording_V2L2_p040202_tr398_speak_conejo;conejo;768;413.105;;;;tongue;;
recording_V2L2_p040202_tr399_speak_vaca;vaca;576;332.173;;;;;;
recording_V2L2_p040202_tr39_type_muñeca;[type];0;3000;;;;;;
recording_V2L2_p040202_tr3_speak_regalo;regalo;653.129;450.328;;;;;;
recording_V2L2_p040202_tr400_speak_vaca;vaca;712;363.67;;;;;;
recording_V2L2_p040202_tr401_type_cartero;[type];0;3000;;;;;;
recording_V2L2_p040202_tr402_speak_oreja;oreja;616;353.892;;;;tongue;;
recording_V2L2_p040202_tr403_speak_regalo;regalo;1129.069;438.931;;;;;;
recording_V2L2_p040202_tr404_type_regalo;[type];0;3000;;;;;;
recording_V2L2_p040202_tr405_type_camisa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr406_type_camisa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr407_speak_espejo;espejo;855.522;608.478;;;;;;
recording_V2L2_p040202_tr408_type_miel;[type];0;3000;;;;;;
recording_V2L2_p040202_tr40_type_falda;[type];0;3000;;;;;;
recording_V2L2_p040202_tr41_speak_falda;falda;915.07;548.333;;;;;;
recording_V2L2_p040202_tr42_speak_caracol;caracol;1159.463;584.537;;;;tongue;;
recording_V2L2_p040202_tr43_speak_caracol;caracol;823.267;580.588;;;;tongue;;
recording_V2L2_p040202_tr44_type_fresa;[type];0;3000;;;;;;
recording_V2L2_p040202_tr45_speak_pintor;pintor;920;480.134;;;;;;
recording_V2L2_p040202_tr46_speak_pintor;pintor;725.975;527.771;;;;;;
recording_V2L2_p040202_tr47_type_puente;[type];0;3000;;;;;;
recording_V2L2_p040202_tr48_speak_pavo;pavo;907.626;351.082;;;;;;
