Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1
recording_V1L3_p130103_tr23_type_regalo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr240_speak_cuerda;cuerda;1059.597;434.201;;;;;;
recording_V1L3_p130103_tr241_type_cuerda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr242_type_traje;[type];0;3000;;;;;;
recording_V1L3_p130103_tr243_type_granja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr244_speak_granja;granja;784.189;578.107;;;;;;
recording_V1L3_p130103_tr245_type_vaso;[type];0;3000;;;;;;
recording_V1L3_p130103_tr246_speak_pavo;pavo;736;328.559;;;;;;
recording_V1L3_p130103_tr247_speak_manzana;manzana;864;608;;;;;;
recording_V1L3_p130103_tr248_speak_manzana;manzana;575.179;693.454;;;;;;
recording_V1L3_p130103_tr249_type_cazador;[type];0;3000;;;;;;
recording_V1L3_p130103_tr24_type_vaso;[type];0;3000;;;;;;
recording_V1L3_p130103_tr250_speak_cerdo;cerdo;684.944;503.673;;;;;;
recording_V1L3_p130103_tr251_speak_cerdo;cerdo;608.028;471.972;;;;;;
recording_V1L3_p130103_tr252_type_escoba;[type];0;3000;;;;;;
recording_V1L3_p130103_tr253_speak_espalda;espalda;1004.391;547.609;;;;;;
recording_V1L3_p130103_tr254_speak_falda;falda;640.283;521.041;;;;;;
recording_V1L3_p130103_tr255_type_falda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr256_type_guante;[type];0;3000;;;;;;
recording_V1L3_p130103_tr257_speak_guante;guante;624;534.842;;;;;;
recording_V1L3_p130103_tr258_speak_tronco;tronco;1240;449.808;;;;tongue;;
recording_V1L3_p130103_tr259_speak_miel;miel;664;424;;;;;;
recording_V1L3_p130103_tr25_speak_vaso;vaso;734.566;456.531;;;;;;
recording_V1L3_p130103_tr260_type_miel;[type];0;3000;;;;;;
recording_V1L3_p130103_tr261_type_pintor;[type];0;3000;;;;;;
recording_V1L3_p130103_tr262_type_cartero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr263_speak_cartero;cartero;776;488;;;;;;
recording_V1L3_p130103_tr264_speak_caracol;caracol;656.283;599.944;;;;;;
recording_V1L3_p130103_tr265_type_cuerda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr266_speak_aguja;aguja;672.538;607.462;;;;;;
recording_V1L3_p130103_tr267_speak_aguja;aguja;739.622;601.678;;;;;;
recording_V1L3_p130103_tr268_type_granja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr269_speak_manzana;manzana;696;656.372;;;;;;
recording_V1L3_p130103_tr26_type_camisa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr270_speak_oreja;oreja;1184;520;;;;;;
recording_V1L3_p130103_tr271_speak_oreja;oreja;816;528;;;;;;
recording_V1L3_p130103_tr272_type_tenedor;[type];0;3000;;;;;;
recording_V1L3_p130103_tr273_speak_goma;goma;1272;417.808;;;;inhale before word;;
recording_V1L3_p130103_tr274_type_goma;[type];0;3000;;;;;;
recording_V1L3_p130103_tr275_speak_mano;mano;824;352;;;;;;
recording_V1L3_p130103_tr276_type_conejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr277_type_conejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr278_speak_cerdo;cerdo;655.17;488.83;;;;;;
recording_V1L3_p130103_tr279_type_falda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr27_type_granja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr280_type_iglesia;[type];0;3000;;;;;;
recording_V1L3_p130103_tr281_type_iglesia;[type];0;3000;;;;;;
recording_V1L3_p130103_tr282_speak_guante;guante;800;496;;;;;;
recording_V1L3_p130103_tr283_type_vaca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr284_type_vaca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr285_type_baño;[type];0;3000;;;;;;
recording_V1L3_p130103_tr286_speak_baño;baño;816;424;;;;;;
recording_V1L3_p130103_tr287_speak_cartero;cartero;1056;496;;;;;;
recording_V1L3_p130103_tr288_type_miel;[type];0;3000;;;;;;
recording_V1L3_p130103_tr289_speak_pierna;pierna;1057.115;419.314;;;;;;
recording_V1L3_p130103_tr28_type_granja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr290_speak_pierna;pierna;662.613;425.387;;;;;;
recording_V1L3_p130103_tr291_speak_taza;taza;801.557;409.389;;;;;;
recording_V1L3_p130103_tr292_type_taza;[type];0;3000;;;;;;
recording_V1L3_p130103_tr293_speak_aguja;aguja;818.925;595.475;;;;;;
recording_V1L3_p130103_tr294_type_oreja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr295_type_camisa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr296_speak_camisa;camisa;768;534.749;;;;;;
recording_V1L3_p130103_tr297_speak_regalo;regalo;878.473;529.527;;;;;;
recording_V1L3_p130103_tr298_speak_regalo;regalo;833.812;540.89;;;;;;
recording_V1L3_p130103_tr299_type_columna;[type];0;3000;;;;;;
recording_V1L3_p130103_tr29_speak_muñeca;muñeca;826.369;622.768;;;;;;
recording_V1L3_p130103_tr2_speak_muñeca;muñeca;824;573.032;;;;;;
recording_V1L3_p130103_tr300_speak_conejo;conejo;749.453;511.116;;;;;;
recording_V1L3_p130103_tr301_speak_bombero;bombero;904;576;;;;;;
recording_V1L3_p130103_tr302_type_bombero;[type];0;3000;;;;;;
recording_V1L3_p130103_tr303_type_pulpo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr304_type_pulpo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr305_speak_iglesia;iglesia;856;699.826;;;;;;
recording_V1L3_p130103_tr306_type_goma;[type];0;3000;;;;;;
recording_V1L3_p130103_tr307_speak_tronco;tronco;669.774;458.226;;;;;;
recording_V1L3_p130103_tr308_type_espejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr309_speak_regalo;regalo;800;560;;;;;;
recording_V1L3_p130103_tr30_type_mano;[type];0;3000;;;;;;
recording_V1L3_p130103_tr310_speak_vaso;vaso;680;406.889;;;;;;
recording_V1L3_p130103_tr311_speak_vaso;vaso;680;419.295;;;;;;
recording_V1L3_p130103_tr312_type_taza;[type];0;3000;;;;;;
recording_V1L3_p130103_tr313_speak_cazador;cazador;1072;602.921;;;;;;
recording_V1L3_p130103_tr314_speak_cazador;cazador;600;610.946;;;;;;
recording_V1L3_p130103_tr315_type_baño;[type];0;3000;;;;;;
recording_V1L3_p130103_tr316_speak_espalda;espalda;608;584;;;;;;
recording_V1L3_p130103_tr317_type_espalda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr318_type_camisa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr319_type_puente;[type];0;3000;;;;;;
recording_V1L3_p130103_tr31_type_mano;[type];0;3000;;;;;;
recording_V1L3_p130103_tr320_speak_puente;puente;610.509;468.937;;;;;;
recording_V1L3_p130103_tr321_speak_muñeca;muñeca;760;616;;;;;;
recording_V1L3_p130103_tr322_type_muñeca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr323_speak_vaca;vaca;680;394.483;;;;;;
recording_V1L3_p130103_tr324_speak_pulpo;pulpo;774.265;451.569;;;;;;
recording_V1L3_p130103_tr325_type_fresa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr326_type_fresa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr327_speak_pierna;pierna;957.87;404.427;;;;;;
recording_V1L3_p130103_tr328_speak_bombero;bombero;1019.898;521.041;;;;;;
recording_V1L3_p130103_tr329_type_traje;[type];0;3000;;;;;;
recording_V1L3_p130103_tr32_type_pintor;[type];0;3000;;;;;;
recording_V1L3_p130103_tr330_type_traje;[type];0;3000;;;;;;
recording_V1L3_p130103_tr331_type_pavo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr332_speak_pavo;pavo;552;312;;;;;;
recording_V1L3_p130103_tr333_speak_vaso;vaso;712.236;404.427;;;;;;
recording_V1L3_p130103_tr334_type_traje;[type];0;3000;;;;;;
recording_V1L3_p130103_tr335_type_cerdo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr336_type_cerdo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr337_speak_cazador;cazador;728;607.004;;;;;;
recording_V1L3_p130103_tr338_type_manzana;[type];0;3000;;;;;;
recording_V1L3_p130103_tr339_type_manzana;[type];0;3000;;;;;;
recording_V1L3_p130103_tr33_speak_pintor;pintor;864;547.919;;;;;;
recording_V1L3_p130103_tr340_type_cuerda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr341_speak_cuerda;cuerda;816;385.022;;;;;;
recording_V1L3_p130103_tr342_speak_espalda;espalda;895.841;627.73;;;;;;
recording_V1L3_p130103_tr343_speak_granja;granja;789.152;565.701;;;;;;
recording_V1L3_p130103_tr344_type_granja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr345_type_muñeca;[type];0;3000;;;;;;
recording_V1L3_p130103_tr346_type_falda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr347_speak_falda;falda;794.114;461.886;;;;;;
recording_V1L3_p130103_tr348_speak_caracol;caracol;1064;588.59;;;;;;
recording_V1L3_p130103_tr349_speak_caracol;caracol;600.585;635.173;;;;tongue;;
recording_V1L3_p130103_tr34_speak_traje;traje;848.699;451.569;;;;;;
recording_V1L3_p130103_tr350_type_fresa;[type];0;3000;;;;;;
recording_V1L3_p130103_tr351_speak_pintor;pintor;840;536;;;;;;
recording_V1L3_p130103_tr352_speak_pintor;pintor;672;578.645;;;;;;
recording_V1L3_p130103_tr353_type_puente;[type];0;3000;;;;;;
recording_V1L3_p130103_tr354_speak_pavo;pavo;1080;351.768;;;;;;
recording_V1L3_p130103_tr355_speak_mano;mano;848;410.088;;;;;;
recording_V1L3_p130103_tr356_type_mano;[type];0;3000;;;;;;
recording_V1L3_p130103_tr357_type_cerdo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr358_type_aguja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr359_speak_aguja;aguja;548.48;563.52;;;;;;
recording_V1L3_p130103_tr35_speak_cerdo;cerdo;781.708;501.192;;;;;;
recording_V1L3_p130103_tr360_speak_manzana;manzana;813.963;570.037;;;;;;
recording_V1L3_p130103_tr361_speak_conejo;conejo;752;544;;;;;;
recording_V1L3_p130103_tr362_type_conejo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr363_type_miel;[type];0;3000;;;;mic sound beginning of audio;;
recording_V1L3_p130103_tr364_speak_miel;miel;799.697;341.158;;;;;;
recording_V1L3_p130103_tr365_type_falda;[type];0;3000;;;;;;
recording_V1L3_p130103_tr366_speak_goma;goma;1064;408;;;;;;
recording_V1L3_p130103_tr367_speak_goma;goma;680;440;;;;;;
recording_V1L3_p130103_tr368_type_caracol;[type];0;3000;;;;;;
recording_V1L3_p130103_tr369_speak_iglesia;iglesia;1016;656;;;;;;
recording_V1L3_p130103_tr36_type_cerdo;[type];0;3000;;;;;;
recording_V1L3_p130103_tr370_speak_iglesia;iglesia;840;671.165;;;;;;
recording_V1L3_p130103_tr371_speak_oreja;oreja;1120;504;;;;;;
recording_V1L3_p130103_tr372_type_oreja;[type];0;3000;;;;;;
recording_V1L3_p130103_tr373_speak_cuerda;cuerda;944;418.296;;;;;;
recording_V1L3_p130103_tr374_type_granja;[type];0;3000;;;;;;
