order;psychopy_order;image;correctAns;respModal;keyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;correct;incorrect_correct;subjResponse;frameColor;repSwitch;sequence;target;set;stimulus;keyResp.started;micResp.started;micResp.clip;keyResp.stopped;participant;session;date;expName;psychopyVersion;str_sub(keyResp_rt, start = 1, end = -1)
53;52;REPSWITCH1/PICTURE_175.png;pintor;type;['p', 'i', 'n', 't', 'o', 'r'];9,89677E+15;1,21421E+16;1.3102628998458385;1.4222622998058796;1.5182281993329525;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,89677E+15;;;pintor;darkblue;filler;1;F;3;Stim1_Set2;2,9E+16;1,42E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.20.571.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9896766990423203, 1.2142062997445464, 1.3102628998458385, 1.4222622998058796, 1.5182281993329525, 1.5982303991913795]
54;53;REPSWITCH1/PICTURE_242.png;cartero;type;['c', 'a', 'r', 'e', 't', 'e', 'r'];1,25052E+16;1,44201E+16;1.7783485995605588;1.7793447999283671;2.4182077003642917;2.6099309995770454;NA;NA;NA;NA;NA;NA;NA;NA;1,25052E+16;;;caeter;darkblue;nontarget;1;NT;3;Stim3_Set3;2,95E+15;3,79E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.25.290.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.2505232999101281, 1.4420103002339602, 1.7783485995605588, 1.7793447999283671, 2.4182077003642917, 2.6099309995770454, 2.785791900008917]
56;55;REPSWITCH1/PICTURE_152.png;caracol;type;['c', 'a', 'r', 'a', 'c', 'o', 'l'];1,02195E+16;1,22994E+16;1.4694523001089692;1.6775059001520276;1.869450599886477;1.9654188994318247;NA;NA;NA;NA;NA;NA;NA;NA;1,02195E+16;;;caracol;darkblue;filler;1;F;3;Stim2_Set2;3,04E+15;1,48E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.34.635.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0219468995928764, 1.2299363994970918, 1.4694523001089692, 1.6775059001520276, 1.869450599886477, 1.9654188994318247, 2.1574502997100353]
60;59;REPSWITCH1/PICTURE_517.png;cuerda;type;['c', 'u', 'i', 'e', 'r', 'd', 'a', 'backspace', 'backspace', 'backspace', 'backspace', 'backspace'];1,01792E+16;1,14591E+15;1.1619119998067617;1.2739110998809338;1.4034934993833303;1.6105319997295737;1.78656189981848;2.138316499069333;2.2983576990664005;2.5540164997801185;2.6983366990461946;NA;NA;NA;1,01792E+16;;;cu;darkblue;filler;1;F;3;Stim4_Set2;3,23E+16;1,44E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.53.112.wav;3,26E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0179219990968704, 1.145906899124384, 1.1619119998067617, 1.2739110998809338, 1.4034934993833303, 1.6105319997295737, 1.78656189981848, 2.138316499069333, 2.2983576990664005, 2.5540164997801185, 2.6983366990461946, 2.8584408992901444]
61;60;REPSWITCH1/PICTURE_30.png;granja;type;['g', 'r', 'a', 'n', 'j', 'a'];1,08108E+16;1,27308E+15;1.4658541996032;1.7208128990605474;1.8488137992098927;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,08108E+16;;;granja;darkblue;filler;1;F;3;Stim5_Set2;3,27E+16;1,98E+15;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h32.57.738.wav;3,3E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0810755994170904, 1.273077399469912, 1.4658541996032, 1.7208128990605474, 1.8488137992098927, 1.9288122989237309]
65;64;REPSWITCH1/PICTURE_464.png;goma;type;['g', 'o', 'm', 'a'];1,03296E+16;1,16123E+16;1.2570971995592117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,03296E+16;;;goma;darkblue;switch;1;T;3;Stim6_Set3;3,46E+15;1,19E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.16.233.wav;3,49E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.0329558989033103, 1.1612314991652966, 1.2570971995592117, 1.4010933991521597]
67;66;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'j', 'o'];1,06134E+15;1,20543E+15;1.413906299509108;1.5259061995893717;1.6539046997204423;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,06134E+15;;;conejo;darkblue;nontarget;1;NT;3;Stim7_Set3;3,55E+16;4,14E+14;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.25.535.wav;3,58E+15;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.061337299644947, 1.205427199602127, 1.413906299509108, 1.5259061995893717, 1.6539046997204423, 1.9423261992633343]
68;67;REPSWITCH1/PICTURE_271.png;conejo;type;['c', 'o', 'n', 'e', 'k', 'o'];1,19717E+16;1,24586E+16;1.4378418996930122;1.5167954992502928;1.7410741997882724;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,19717E+16;;;coneko;darkblue;repeat;1;T;3;Stim7_Set3;3,6E+16;1,6E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.30.166.wav;3,63E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.1971652992069721, 1.2458606995642185, 1.4378418996930122, 1.5167954992502928, 1.7410741997882724, 1.8530719997361302]
71;70;REPSWITCH1/PICTURE_320.png;iglesia;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];1,15204E+15;1,45679E+16;1.6159499995410442;1.7909088991582394;1.9669702993705869;2.0630242992192507;NA;NA;NA;NA;NA;NA;NA;NA;1,15204E+15;;;iglesia;darkblue;nontarget;1;NT;3;Stim8_Set3;3,73E+16;4,68E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.44.028.wav;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.152038099244237, 1.4567922996357083, 1.6159499995410442, 1.7909088991582394, 1.9669702993705869, 2.0630242992192507, 2.158945999108255]
72;71;REPSWITCH1/PICTURE_320.png;iglesia;type;['i', 'g', 'l', 'e', 's', 'i', 'a'];9,40977E+15;1,1807E+15;1.2766992999240756;1.6447067996487021;1.8210869999602437;1.9326010001823306;NA;NA;NA;NA;NA;NA;NA;NA;9,40977E+15;;;iglesia;darkblue;repeat;1;T;3;Stim8_Set3;3,78E+15;1,51E+16;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h33.48.598.wav;3,81E+16;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;0.9409774001687765, 1.180702599696815, 1.2766992999240756, 1.6447067996487021, 1.8210869999602437, 1.9326010001823306, 1.996593900024891]
