image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,textBlank500.stopped,textboxPause.started,textboxPause.stopped,keyPause.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_338.png,regalo,speak,yellow,filler,2,F,1,Stim6_Set4,20,19,0,19,19,19,,116.13626459985971,,,,,,,,,,,,,,,,,,,,,,111.95382009982131,113.13678609998897,113.13678609998897,113.13678609998897,113.13678609998897,113.13678609998897,113.13678609998897,113.13678609998897,0.0025451001711189747,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_169.png,espalda,type,darkblue,nontarget,1,NT,1,Stim8_Set1,21,20,0,20,20,20,,120.80172459990717,,,,,,,,,,,,,,,,,,,,,,116.63595649995841,117.80248129996471,117.80248129996471,117.80248129996471,117.80248129996471,117.80248129996471,117.80248129996471,117.80248129996471,0.0022646000143140554,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_169.png,espalda,speak,yellow,switch,2,T,1,Stim8_Set1,22,21,0,21,21,21,,125.4170571998693,,,,,,,,,,,,,,,,,,,,,,121.30159159982577,122.41795309982263,122.41795309982263,122.41795309982263,122.41795309982263,122.41795309982263,122.41795309982263,122.41795309982263,0.002258199965581298,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_48.png,bombero,type,darkblue,filler,1,F,1,Stim7_Set4,23,22,0,22,22,22,,129.99932409985922,,,,,,,,,,,,,,,,,,,,,,125.9170315999072,126.99981299997307,126.99981299997307,126.99981299997307,126.99981299997307,126.99981299997307,126.99981299997307,126.99981299997307,0.0025112000294029713,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_728.png,pulpo,type,darkblue,filler,1,F,1,Stim8_Set4,24,23,0,23,23,23,,134.8147601999808,,,,,,,,,,,,,,,,,,,,,,130.4993883999996,131.81572830001824,131.81572830001824,131.81572830001824,131.81572830001824,131.81572830001824,131.81572830001824,131.81572830001824,0.0023177999537438154,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_178.png,puente,speak,yellow,filler,2,F,2,Stim1_Set1,25,24,0,24,24,24,,139.53051019995473,,,,,,,,,,,,,,,,,,,,,,135.31476979982108,136.53130599996075,136.53130599996075,136.53130599996075,136.53130599996075,136.53130599996075,136.53130599996075,136.53130599996075,0.002573499921709299,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_175.png,pintor,type,darkblue,nontarget,1,NT,2,Stim1_Set2,26,25,0,25,25,25,,144.19594100001268,,,,,,,,,,,,,,,,,,,,,,140.03040659986436,141.1970089999959,141.1970089999959,141.1970089999959,141.1970089999959,141.1970089999959,141.1970089999959,141.1970089999959,0.0024918001145124435,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_175.png,pintor,type,darkblue,repeat,1,T,2,Stim1_Set2,27,26,0,26,26,26,,148.87817729986273,,,,,,,,,,,,,,,,,,,,,,144.6961354999803,145.87905919994228,145.87905919994228,145.87905919994228,145.87905919994228,145.87905919994228,145.87905919994228,145.87905919994228,0.00262079993262887,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,filler,2,F,2,Stim2_Set1,28,27,0,27,27,27,,153.5439740999136,,,,,,,,,,,,,,,,,,,,,,149.37799489987083,150.54489140002988,150.54489140002988,150.54489140002988,150.54489140002988,150.54489140002988,150.54489140002988,150.54489140002988,0.002155900001525879,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_152.png,caracol,type,darkblue,nontarget,1,NT,2,Stim2_Set2,29,28,0,28,28,28,,158.15937480004504,,,,,,,,,,,,,,,,,,,,,,154.04328370001167,155.15973789989948,155.15973789989948,155.15973789989948,155.15973789989948,155.15973789989948,155.15973789989948,155.15973789989948,0.00394369987770915,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_152.png,caracol,type,darkblue,repeat,1,T,2,Stim2_Set2,30,29,0,29,29,29,,162.90792369982228,,,,,,,,,,,,,,,,,,,,,,158.6589913999196,159.908527799882,159.908527799882,159.908527799882,159.908527799882,159.908527799882,159.908527799882,159.908527799882,0.0026346000377088785,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_264.png,mano,type,darkblue,nontarget,1,NT,2,Stim3_Set2,31,30,0,30,30,30,,167.45711599988863,,,,,,,,,,,,,,,,,,,,,,163.40805500000715,164.47405819990672,164.47405819990672,164.47405819990672,164.47405819990672,164.47405819990672,164.47405819990672,164.47405819990672,0.00263379979878664,None,0,,None,,,,,,,,167.95671359985135,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_264.png,mano,speak,yellow,switch,2,T,2,Stim3_Set2,32,31,0,31,31,31,,172.139163200045,,,,,,,,,,,,,,,,,,,,,,167.95671359985135,169.1396422998514,169.1396422998514,169.1396422998514,169.1396422998514,169.1396422998514,169.1396422998514,169.1396422998514,0.002490599872544408,None,0,,None,,,,,,,,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_517.png,cuerda,speak,yellow,nontarget,2,NT,2,Stim4_Set2,33,32,0,32,32,32,,176.7867592999246,,,,,,,,,,,,,,,,,,,,,,172.63914949982427,173.7736561000347,173.7736561000347,173.7736561000347,173.7736561000347,173.7736561000347,173.7736561000347,173.7736561000347,0.002968600019812584,None,0,,None,176.7867592999246,176.7867592999246,176.7867592999246,176.7867592999246,176.7867592999246,176.7867592999246,2.9999822000972927,,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
REPSWITCH1/PICTURE_517.png,cuerda,type,darkblue,switch,1,T,2,Stim4_Set2,34,33,0,33,33,33,,181.55379349994473,,,,,,,,,,,,,,,,,,,,,,177.2879992998205,178.55546789988875,178.55546789988875,178.55546789988875,178.55546789988875,178.55546789988875,178.55546789988875,178.55546789988875,0.0026008000131696463,None,0,,None,181.55379349994473,181.55379349994473,181.55379349994473,181.55379349994473,181.55379349994473,181.55379349994473,2.999525299994275,182.05335309985094,,,,226690,001,2023-07-03_15h55.09.960,REPSWITCH1_v2022.2.4,2022.2.4,59.98929793949537,
