Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
image;correctAns;famTrials.thisRepN;famTrials.thisTrialN;famTrials.thisN;famTrials.thisIndex;textWelcomeFam.started;textboxInstrFam.started;keyInstrFam.started;keyInstrFam.keys;keyInstrFam.rt;fixationITI.started;fixationITI.stopped;polygonWhiteFam.started;imageFam.started;micFam.started;textFam.started;textFam.stopped;micFam.clip;textBlankLoop.started;textBlankLoop.stopped;polygonWhiteFam.stopped;imageFam.stopped;textboxEndFam.started;keyEndFam.started;keyEndFam.keys;keyEndFam.rt;participant;session;date;expName;psychopyVersion;frameRate;
REPSWITCH1_Fam/PICTURE_552.png;manzana;0;30;30;25;;;;;;255.09015219999128;256.1804129999946;256.1804129999946;256.1804129999946;256.1804129999946;259.6676019000006;262.1674578000093;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.36.321.wav;262.20894779998343;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_178.png;puente;0;31;31;7;;;;;;262.7090102999937;263.8001882999961;263.8001882999961;263.8001882999961;263.8001882999961;267.28646679999656;269.7863234000106;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.43.941.wav;269.82799910000176;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_235.png;aguja;0;32;32;10;;;;;;270.32806279999204;271.3499454999983;271.3499454999983;271.3499454999983;271.3499454999983;274.83618680000654;277.3365414;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.51.490.wav;277.37849480001023;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_576.png;guante;0;33;33;26;;;;;;277.8784511999984;279.0244752999861;279.0244752999861;279.0244752999861;279.0244752999861;282.5109225999913;285.0111540000071;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h33.59.166.wav;285.05315230000997;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_590.png;escoba;0;34;34;41;;;;;;285.5531868999824;286.62271739999414;286.62271739999414;286.62271739999414;286.62271739999414;290.10899969999446;292.60873449998326;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.06.775.wav;292.6642203000083;;292.6642203000083;292.6642203000083;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_152.png;caracol;0;35;35;3;;;;;;293.16516949998913;294.2763735000044;294.2763735000044;294.2763735000044;294.2763735000044;297.76265389999026;300.26251520001097;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.14.427.wav;300.311108599999;300.81138009999995;300.311108599999;300.311108599999;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_570.png;toro;0;36;36;34;;;;;;300.81138009999995;302.03432869998505;302.03432869998505;302.03432869998505;302.03432869998505;305.52005479999934;308.02032819998567;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.22.185.wav;308.06908570000087;308.56901750000543;308.06908570000087;308.06908570000087;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_135.png;traje;0;37;37;1;;;;;;308.56901750000543;309.6742140999995;309.6742140999995;309.6742140999995;309.6742140999995;313.1604890000017;315.66084920000867;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.29.816.wav;315.7026358000003;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_128.png;muñeca;0;38;38;0;;;;;;316.20288530000835;317.33492339999066;317.33492339999066;317.33492339999066;317.33492339999066;320.82131959998515;323.32094959999085;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.37.483.wav;323.3696770000097;;323.3696770000097;323.3696770000097;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_728.png;pulpo;0;39;39;30;;;;;;323.87079169999924;324.9196316000016;324.9196316000016;324.9196316000016;324.9196316000016;328.405932499998;330.90528330000234;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.45.069.wav;330.9540263999952;331.4539267999935;330.9540263999952;330.9540263999952;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_48.png;bombero;0;40;40;22;;;;;;331.4539267999935;332.47592850000365;332.47592850000365;332.47592850000365;332.47592850000365;335.9620738000085;338.46193449999555;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h34.52.617.wav;338.5035801999911;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_30.png;granja;0;41;41;14;;;;;;339.0042897000094;340.06713859998854;340.06713859998854;340.06713859998854;340.06713859998854;343.5528665999882;346.05319609999424;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h35.00.219.wav;346.10876870001084;;346.10876870001084;346.10876870001084;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_340.png;espejo;0;42;42;39;;;;;;346.60881989999325;347.7278566999885;347.7278566999885;347.7278566999885;347.7278566999885;351.21404749999056;353.7146230000071;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h35.07.870.wav;353.7563814999885;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_12.png;sirena;0;43;43;38;;;;;;354.25659020000603;355.2912199999846;355.2912199999846;355.2912199999846;355.2912199999846;358.77766079999856;361.2783306000056;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h35.15.432.wav;361.3198093000101;;;;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
REPSWITCH1_Fam/PICTURE_446.png;cerdo;0;44;44;20;;;;;;361.8199869999953;362.95223180000903;362.95223180000903;362.95223180000903;362.95223180000903;366.4382615000068;368.93798990000505;C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/2109_REPSWITCH1_Fam_2023-09-21_11h29.34.690_micFam_recorded\recording_micFam_2023-09-21_11h35.23.103.wav;368.98673579999013;369.4868002999865;368.98673579999013;368.98673579999013;;;;;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
;;;;;;;;;;;;;;;;;;;;;;;369.4868002999865;369.4868002999865;space;2.762062000023434;2109;001;2023-09-21_11h29.34.690;REPSWITCH1_Fam;2022.2.4;143.92962418466652;
