Column1;Trial_no;CorrectAns;SubjResponse;Notes;Backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv2l1.started
295;295;iglesia;ihlesia;NA;0;0;NA;NA;NA;NA;NA;type;['i', 'g', 'h', 'l', 'e', 's', 'i', 'a'];1.03033860004507;1.28629830013961;1.28729220014066;1.73429669998586;1.91029300005175;2.3736208002083;2.469612600049;2.61362950014882;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.48163E+14
296;296;guante;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.48626E+14
297;297;pierna;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.49088E+14
298;298;pierna;pierna;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'i', 'e', 'r', 'n', 'a'];1.04354480002075;1.28350439993665;1.39549879985861;1.57150459988043;1.66855319985189;1.81150599988177;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.49547E+14
299;299;tenedor;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.50019E+14
300;300;oreja;oreja;NA;0;1;NA;NA;NA;NA;NA;type;['o', 'r', 'e', 'j', 'a'];1.02801010012627;1.22001230018213;1.49126230017282;1.73126740008593;1.85926390020177;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.50485E+14
301;301;columna;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.50947E+14
302;302;cartero;cartero;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'a', 'r', 't', 'e', 'r', 'o'];0.763734099920839;0.875728499842808;0.939724300056696;1.09935220004991;1.19730910006911;1.33927530003712;1.43527289992198;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.51412E+14
303;303;bombero;bombero;NA;0;1;NA;NA;NA;NA;NA;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];0.873291899915785;1.20928529999219;1.43328580004163;1.80158190010116;1.91358259995468;2.05758480005898;2.16959520010278;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.51879E+14
304;304;bombero;bombero;NA;0;1;NA;NA;NA;NA;NA;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];0.704376900102943;1.00838060001843;1.20037190010771;1.44047530018725;1.5367680999916;1.6967764000874;1.79277590010315;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.52343E+14
305;305;cadena;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.52814E+13
306;306;escoba;escoba;NA;0;1;NA;NA;NA;NA;NA;type;['e', 's', 'c', 'o', 'b', 'a'];0.993739100173116;1.20176060008816;1.42582090012729;1.50573940016329;1.71366560016759;1.80966660007834;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;15328659182
307;307;pierna;pierna;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'i', 'e', 'r', 'n', 'a'];0.876765700057149;1.10076290019788;1.29277380020358;1.46885880012996;1.54886350012384;1.74064050009474;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.54263E+14
308;308;taza;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.54729E+14
309;309;pavo;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.55194E+14
310;310;pavo;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.55656E+14
311;311;vaca;vaca;NA;0;1;NA;NA;NA;NA;NA;type;['v', 'a', 'c', 'a'];0.709398099919781;0.790353699820116;0.869255399797112;0.965277999872342;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;repeat;1.56118E+14
312;312;espalda;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;15658147318
313;313;espalda;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.5705E+14
314;314;pulpo;pulo;NA;1;0;NA;NA;NA;NA;NA;type;['p', 'u', 'i', 'backspace', 'u', 'l', 'o'];0.674389400053769;0.977562499931082;0.978611799888313;1.84155749995261;2.35434109997004;2.62551939999685;2.8977639998775;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.57517E+14
315;315;vaso;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;15797886645
316;316;vaso;vaso;NA;0;1;NA;NA;NA;NA;NA;type;['v', 'a', 's', 'o'];0.708600400015712;0.804591999854892;0.980454999953508;1.18833109992556;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.58451E+14
317;317;regalo;regalo;NA;0;1;NA;NA;NA;NA;NA;type;['r', 'e', 'g', 'a', 'l', 'o'];0.783715500030667;0.927711700089276;1.0237833999563;1.19971009995788;1.35971270012669;1.47168219997548;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;repeat;1.58922E+14
318;318;traje;traje;NA;0;1;NA;NA;NA;NA;NA;type;['t', 'r', 'a', 'j', 'e'];0.891834900015965;1.01979689998552;1.05217460007407;1.30817779991776;1.35617009992711;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.59383E+13
319;319;traje;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.59843E+14
320;320;fresa;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.60313E+14
321;321;fresa;fresa;NA;0;1;NA;NA;NA;NA;NA;type;['f', 'r', 'e', 's', 'a'];0.688872199971229;0.816315199946985;1.00831459998153;1.1042720999103;1.29629399999976;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;1.60783E+14
322;322;bombero;bombero;NA;0;1;NA;NA;NA;NA;NA;type;['b', 'o', 'm', 'b', 'e', 'r', 'o'];0.858425999991596;1.19441289990209;1.37071920000017;1.59461409994401;1.6905491000507;1.83451960003003;1.91454269993119;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.61236E+14
323;323;camisa;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;1.61701E+14
324;324;mu?eca;mu?eca;NA;0;1;NA;NA;NA;NA;NA;type;['m', 'u', '?', 'e', 'c', 'a'];0.808156199986115;0.983902799896896;1.2879421999678;1.4159409001004;1.63990080007352;1.71990950009786;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;1.62163E+14
325;325;mu?eca;mu?eca;NA;0;1;NA;NA;NA;NA;NA;type;['m', 'u', '?', 'e', 'c', 'a'];0.939399800030515;1.09939320012927;1.40341980010271;1.46739120013081;1.67539700004272;1.81941900006495;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.62623E+14
326;326;ba?o;;NA;0;0;NA;NA;NA;NA;NA;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;1.6309E+14
327;327;puente;puente;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'u', 'e', 'n', 't', 'e'];0.966128299944103;1.22209109994583;1.47899780003354;1.52633020002395;1.73399899993092;1.81396550009958;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;1.63547E+14
328;328;puente;puente;NA;0;1;NA;NA;NA;NA;NA;type;['p', 'u', 'e', 'n', 't', 'e'];0.793748400174081;1.08116460009478;1.25771230016835;1.32170560001396;1.52934240014292;1.59329079999588;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;1.64007E+14
329;329;cazador;cazador;NA;0;1;NA;NA;NA;NA;NA;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];0.737733599962667;0.801731299841776;1.00973099982366;1.16974859987386;1.32974660000764;1.45774519979022;1.58573729987256;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;1.64482E+14
