"","Trial_no","CorrectAns","SubjResponse","Transcription","Notes","Backspace","Item_correct","Modality_Correct","Exclude","Experiment_part","RepSwitch","Error_Corrected","Hesitation","RespModal","RT","Duration","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","baseline","baseline_condition"
"197",197,"cartero","ccartero","[type]","",1,"0",1,"1","Second","filler",NA,0,"type",0.8020312,1.9358956,"['b', 'backspace', 'c', 'c', 'a', 'r', 't', 'e', 'r', 'o']",0.8020312,1.4089901,1.9056833,2.0976471,2.2738303,2.3536696,2.481668,2.5136678,2.6576842,2.7379268,NA,NA,NA,NA,NA,0,"None"
"198",198,"oreja","oreja","oreja","sounds like orieja",0,"1",1,"0","Second","filler",NA,0,"speak",0.801153,0.427753,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"199",199,"regalo","regalo","regalo","",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.532837,0.396163,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"200",200,"regalo","regalo","[type]","",0,"1",1,"0","Second","switch",NA,0,"type",0.9970008,0.6719954,"['r', 'e', 'g', 'a', 'l', 'o']",0.9970008,1.0929985,1.188997,1.3169911,1.5409955,1.6689962,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"201",201,"camisa","camisa","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.7264588,0.6560433,"['c', 'a', 'm', 'i', 's', 'a']",0.7264588,0.8063817,1.0785055,1.1104626,1.2225672,1.3825021,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"202",202,"camisa","camisa","[type]","",0,"1",1,"0","Second","repeat",NA,0,"type",0.7562794,0.7032421,"['c', 'a', 'm', 'i', 's', 'a']",0.7562794,0.8373022,1.1403164,1.1883089,1.2995658,1.4595215,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"203",203,"espejo","espejo","espejo","",0,"1",1,"0","Second","filler",NA,0,"speak",0.568289,0.517955,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"204",204,"miel","miel","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.7441823,0.3514667,"['m', 'i', 'e', 'l']",0.7441823,0.8401724,0.9994303,1.095649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"205",205,"tronco","tronco","tronco","",0,"1",1,"0","Second","filler",NA,0,"speak",0.977,0.382313,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"206",206,"espejo","espejo","[/espej...[ui]/ , type]","started speaking, then typed",0,"1",0,"0","Second","filler",NA,0,"type",1.017014,0.8633501,"['e', 's', 'p', 'e', 'j', 'o']",1.017014,1.2410139,1.5283688,1.6884,1.7843638,1.8803641,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"207",207,"regalo","regalo","regalo","tongue",0,"1",1,"0","Second","filler",NA,0,"speak",0.770889,0.448415,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"208",208,"vaso","vaso","vaso","mic tap end",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.752,0.35843,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"209",209,"vaso","vaso","vaso","",0,"1",1,"0","Second","repeat",NA,0,"speak",0.508426,0.358838,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"210",210,"taza","taza","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.903415,0.3685424,"['t', 'a', 'z', 'a']",0.903415,1.0154106,1.1913692,1.2719574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"211",211,"cazador","cazador","cazador","mic sound /?/, was only silent, had make boundaries for the sounding part",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.932387,0.463897,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"212",212,"cazador","cazador","cazador","mic sound /?/",0,"1",1,"0","Second","repeat",NA,0,"speak",0.560892,0.515441,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"213",213,"ba?o","ba?o","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.9703556,0.6238286,"['b', 'a', '?', 'o']",0.9703556,1.1303502,1.4181817,1.5941842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"214",214,"espalda","espalda","espalda","tongue",0,"1",1,"0","Second","nontarget",NA,0,"speak",1.05544,0.488978,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"215",215,"espalda","espalda","[type]","",0,"1",1,"0","Second","switch",NA,0,"type",0.5101306,0.8481317,"['e', 's', 'p', 'a', 'l', 'd', 'a']",0.5101306,0.6701251,0.7987263,0.9263371,0.9742225,1.1502636,1.3582623,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"216",216,"camisa","camisa","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.8480222,1.2153999,"['c', 'a', 'm', 'i', 's', 'a']",0.8480222,0.9273921,1.2154823,1.263443,1.9198261,2.0634221,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"217",217,"puente","puente","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.8491821,0.8314572,"['p', 'u', 'e', 'n', 't', 'e']",0.8491821,1.1361542,1.3126414,1.3766336,1.5846358,1.6806393,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"218",218,"puente","puente","puente","",0,"1",1,"0","Second","switch",NA,0,"speak",0.621105,0.362066,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"219",219,"mu?eca","mu?eca","mu?eca","sounds like munecoa",0,"1",1,"0","Second","nontarget",NA,0,"speak",0.833,0.516852,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"220",220,"mu?eca","mu?eca","[type]","",0,"1",1,"0","Second","switch",NA,0,"type",0.4771333,1.0558158,"['m', 'u', '?', 'e', 'c', 'a']",0.4771333,0.7331331,1.0851132,1.165128,1.4213531,1.5329491,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"221",221,"vaca","vaca","vaca","",0,"1",1,"0","Second","filler",NA,0,"speak",0.517256,0.373363,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"222",222,"pulpo","pulpo","pulpo","",0,"1",1,"0","Second","filler",NA,0,"speak",0.632,0.399546,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"223",223,"fresa","fressa","[type]","",0,"0",1,"1","Second","nontarget",NA,0,"type",0.9797909,0.9270797,"['f', 'r', 'e', 's', 's', 'a']",0.9797909,1.3787844,1.6188513,1.7147497,1.8908486,1.9068706,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"224",224,"fresa","fresa","[type]","",0,"1",1,"1","Second","repeat",NA,0,"type",0.8147311,0.5443823,"['f', 'r', 'e', 's', 'a']",0.8147311,0.9427225,1.119135,1.1841594,1.3591134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"225",225,"pierna","pierna","pierna","",0,"1",1,"0","Second","filler",NA,0,"speak",1.235051,0.328122,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"226",226,"bombero","bombero","bombero","",0,"1",1,"0","Second","filler",NA,0,"speak",0.629306,0.394124,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"227",227,"traje","traje","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.9039796,0.5281987,"['t', 'r', 'a', 'j', 'e']",0.9039796,1.0639014,1.1288958,1.3518987,1.4321783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"228",228,"traje","traje","[type]","",0,"1",1,"0","Second","repeat",NA,0,"type",0.816012,0.5436897,"['t', 'r', 'a', 'j', 'e']",0.816012,0.943956,0.9929993,1.2956958,1.3597017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"229",229,"pavo","pavo","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.8623408,0.5277621,"['p', 'a', 'v', 'o']",0.8623408,0.942333,1.198329,1.3901029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat"
"230",230,"pavo","pavo","pavo","",0,"1",1,"0","Second","switch",NA,0,"speak",0.606328,0.282177,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"231",231,"vaso","vaso","vaso","",0,"1",1,"0","Second","filler",NA,0,"speak",0.72526,0.328444,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"232",232,"traje","traje","[type]","",0,"1",1,"0","Second","filler",NA,0,"type",0.7044269,0.5123894,"['t', 'r', 'a', 'j', 'e']",0.7044269,0.8317925,0.8797903,1.1357885,1.2168163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"233",233,"cerdo","cerdo","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.7240101,0.4799072,"['c', 'e', 'r', 'd', 'o']",0.7240101,0.7889939,0.9799871,1.1239136,1.2039173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"234",234,"cerdo","cerdo","[type]","",0,"1",1,"0","Second","repeat",NA,0,"type",0.6473352,0.4963204,"['c', 'e', 'r', 'd', 'o']",0.6473352,0.7276551,0.8876577,1.047655,1.1436556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"235",235,"cazador","cazador","cazador","",0,"1",1,"0","Second","filler",NA,0,"speak",0.641411,0.510754,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"236",236,"manzana","manzana","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.8612252,0.6714697,"['m', 'a', 'n', 'z', 'a', 'n', 'a']",0.8612252,0.9410266,1.0370004,1.1490023,1.3090045,1.4048304,1.5326949,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch"
"237",237,"manzana","mazana","[type]","",0,"0",1,"1","Second","repeat",NA,0,"type",0.7434616,0.7042858,"['m', 'a', 'z', 'a', 'n', 'a']",0.7434616,0.8389173,1.0630391,1.2550478,1.3517471,1.4477474,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"238",238,"cuerda","cuerda","[type]","",0,"1",1,"0","Second","nontarget",NA,0,"type",0.7134525,0.6569999,"['c', 'u', 'e', 'r', 'd', 'a']",0.7134525,0.8254257,0.9694962,1.1135013,1.2895007,1.3704524,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
"239",239,"cuerda","cuerda","cuerda","",0,"1",1,"0","Second","switch",NA,0,"speak",0.629702,0.375174,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None"
