Filename;SubjResponse;RT;Duration (ms.);Modality_Correct;Item_Correct;Hesitation;Notes;Exclude;Column1;Column2
recording_V1L3_p050103_tr133_type_espalda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr134_speak_tenedor;tenedor;922.513;578.107;;;;tongue;;;
recording_V1L3_p050103_tr135_type_vaso;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr136_type_manzana;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr137_speak_manzana;manzana;751.331;667.428;;;;;;;
recording_V1L3_p050103_tr138_speak_traje;traje;688.364;455.636;;;;mic sound at the end of the file;;;
recording_V1L3_p050103_tr139_speak_caracol;caracol;579.921;586.985;;;;;;;
recording_V1L3_p050103_tr13_speak_fresa;fresa;694.868;622.9;;;;;;;
recording_V1L3_p050103_tr140_type_caracol;[type];0;3000;;;;exhale;;;
recording_V1L3_p050103_tr141_type_fresa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr142_type_cerdo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr143_speak_cerdo;cerdo;1072;620.508;;;;;;;
recording_V1L3_p050103_tr144_speak_mano;mano;976;419.172;;;;;;;
recording_V1L3_p050103_tr145_speak_mano;mano;613.595;416.833;;;;;;;
recording_V1L3_p050103_tr146_type_muñeca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr147_speak_granja;granja;1087.509;519.8;;;;;;;
recording_V1L3_p050103_tr148_speak_granja;granja;670.127;552.055;;;;;;;
recording_V1L3_p050103_tr149_type_tronco;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr14_speak_puente;puente;1238.859;473.141;;;;;;;
recording_V1L3_p050103_tr150_speak_cazador;cazador;661.46;625.782;;;;tongue;;;
recording_V1L3_p050103_tr151_speak_pintor;pintor;741.731;486.583;;;;tongue;;;
recording_V1L3_p050103_tr152_type_pintor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr153_speak_columna;columna;2272;473.609;;;;;;;
recording_V1L3_p050103_tr154_type_oreja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr155_speak_oreja;oreja;648;567.288;;;;;;;
recording_V1L3_p050103_tr156_speak_falda;falda;674.379;508.635;;;;;;;
recording_V1L3_p050103_tr157_speak_guante;guante;634.721;461.493;;;;tongue;;;
recording_V1L3_p050103_tr158_type_guante;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr159_type_cuerda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr15_type_puente;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr160_type_conejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr161_speak_conejo;conejo;603.712;574.385;;;;;;;
recording_V1L3_p050103_tr162_type_manzana;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr163_speak_cartero;[/car/] cartero;2168;456;;;;I think we can count this as correct, no?;;;
recording_V1L3_p050103_tr164_speak_cartero;cartero;637.317;555.641;;;;;;;
recording_V1L3_p050103_tr165_speak_caracol;caracol;579.404;585.021;;;;tongue;;;
recording_V1L3_p050103_tr166_type_cerdo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr167_speak_miel;miel;696.553;333.89;;;;;;;
recording_V1L3_p050103_tr168_speak_miel;miel;656;356.455;;;;;;;
recording_V1L3_p050103_tr169_speak_iglesia;iglesia;706.089;703.969;;;;;;;
recording_V1L3_p050103_tr16_speak_baño;baño;1637.083;441.644;0;;;typed first, then spoke;1;;
recording_V1L3_p050103_tr170_type_iglesia;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr171_speak_granja;granja;747.747;549.42;;;;;;;
recording_V1L3_p050103_tr172_type_mano;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr173_type_goma;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr174_type_goma;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr175_speak_pintor;pintor;620.558;510.372;;;;tongue;;;
recording_V1L3_p050103_tr176_type_aguja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr177_type_aguja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr178_type_guante;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr179_speak_espejo;espejo;903.905;604.159;;;;tongue;;;
recording_V1L3_p050103_tr17_type_espalda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr180_speak_goma;goma;898.942;427.998;;;;;;;
recording_V1L3_p050103_tr181_type_regalo;[type];0;3000;;;;exhale;;;
recording_V1L3_p050103_tr182_type_regalo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr183_type_pierna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr184_speak_pierna;pierna;772.404;447.847;;;;;;;
recording_V1L3_p050103_tr185_type_conejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr186_speak_camisa;camisa;555.687;531.823;;;;;;;
recording_V1L3_p050103_tr187_speak_camisa;camisa;554.785;545.131;;;;;;;
recording_V1L3_p050103_tr188_speak_vaca;vaca;624;416.368;;;;;;;
recording_V1L3_p050103_tr189_type_vaca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr18_type_espalda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr190_speak_cartero;cartero;608;579.996;;;;tongue;;;
recording_V1L3_p050103_tr191_type_taza;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr192_speak_taza;taza;664.098;420.931;;;;;;;
recording_V1L3_p050103_tr193_type_cadena;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr194_speak_miel;miel;696;334.443;;;;;;;
recording_V1L3_p050103_tr195_speak_bombero;bombero;625.854;510.146;;;;;;;
recording_V1L3_p050103_tr196_speak_bombero;bombero;513.699;546.518;;;;;;;
recording_V1L3_p050103_tr197_type_iglesia;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr198_speak_oreja;oreja;615.189;528.811;;;;;;;
recording_V1L3_p050103_tr199_speak_pulpo;pulpo;625.355;416.253;;;;;;;
recording_V1L3_p050103_tr19_speak_bombero;bombero;908.867;595.133;;;;;;;
recording_V1L3_p050103_tr1_type_columna;[type];0;2980;;;;;;;
recording_V1L3_p050103_tr200_type_pulpo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr201_speak_escoba;escoba;706.876;565.124;;;;;;;
recording_V1L3_p050103_tr202_type_aguja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr203_type_baño;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr204_type_baño;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr205_type_espejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr206_speak_cadena;cadena;733.056;502.082;;;;;;;
recording_V1L3_p050103_tr207_speak_puente;puente;644.486;419.453;;;;;;;
recording_V1L3_p050103_tr208_speak_puente;puente;558.676;446.956;;;;;;;
recording_V1L3_p050103_tr209_type_vaca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr20_type_pavo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr210_speak_fresa;fresa;797.576;455.29;;;;;;;
recording_V1L3_p050103_tr211_speak_fresa;fresa;612.881;438.652;;;;;;;
recording_V1L3_p050103_tr212_type_baño;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr213_speak_traje;traje;566.476;476.373;;;;;;;
recording_V1L3_p050103_tr214_type_traje;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr215_speak_camisa;camisa;545.564;530.78;;;;;;;
recording_V1L3_p050103_tr216_type_muñeca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr217_speak_muñeca;muñeca;544;584.448;;;;;;;
recording_V1L3_p050103_tr218_speak_pierna;pierna;619.78;423.069;;;;;;;
recording_V1L3_p050103_tr219_speak_pavo;pavo;632;320;;;;;;;
recording_V1L3_p050103_tr21_type_pavo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr220_type_pavo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr221_type_cazador;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr222_type_cazador;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr223_speak_taza;taza;584.509;392.021;;;;;;;
recording_V1L3_p050103_tr224_type_bombero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr225_type_vaso;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr226_type_vaso;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr227_speak_regalo;regalo;772.384;560.758;;;;tongue, mic sound after word;;;
recording_V1L3_p050103_tr228_type_pulpo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr229_type_espalda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr22_speak_vaca;vaca;1031.684;441.644;;;;;;;
recording_V1L3_p050103_tr230_speak_espalda;espalda;689.906;629.591;;;;mic sound towards the end of the file;;;
recording_V1L3_p050103_tr231_speak_puente;puente;712.16;465.215;;;;;;;
recording_V1L3_p050103_tr232_type_pintor;[type];0;3000;;;;mic sound at the end;;;
recording_V1L3_p050103_tr233_type_pintor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr234_speak_fresa;fresa;764.267;479.555;;;;tongue;;;
recording_V1L3_p050103_tr235_type_caracol;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr236_type_caracol;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr237_speak_muñeca;muñeca;654.932;586.408;;;;;;;
recording_V1L3_p050103_tr238_type_mano;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr239_speak_mano;mano;596.241;368.451;;;;;;;
recording_V1L3_p050103_tr23_type_regalo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr240_speak_cuerda;cuerda;579.935;435.621;;;;tongue;;;
recording_V1L3_p050103_tr241_type_cuerda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr242_type_traje;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr243_type_granja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr244_speak_granja;granja;672;514.755;;;;;;;
recording_V1L3_p050103_tr245_type_vaso;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr246_speak_pavo;pavo;592;312;;;;;;;
recording_V1L3_p050103_tr247_speak_manzana;manzana;536;560;;;;;;;
recording_V1L3_p050103_tr248_speak_manzana;manzana;510.083;609.681;;;;;;;
recording_V1L3_p050103_tr249_type_cazador;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr24_type_vaso;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr250_speak_cerdo;cerdo;739.529;469.557;;;;;;;
recording_V1L3_p050103_tr251_speak_cerdo;cerdo;510.257;557.404;;;;;;;
recording_V1L3_p050103_tr252_type_escoba;[type];0;3000;;;;exhale;;;
recording_V1L3_p050103_tr253_speak_espalda;espalda;917.551;614.084;;;;;;;
recording_V1L3_p050103_tr254_speak_falda;falda;655.17;457.151;;;;;;;
recording_V1L3_p050103_tr255_type_falda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr256_type_guante;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr257_speak_guante;guante;800;432;;;;;;;
recording_V1L3_p050103_tr258_speak_tronco;tronco;782.329;473.279;;;;;;;
recording_V1L3_p050103_tr259_speak_miel;miel;584;316.803;;;;;;;
recording_V1L3_p050103_tr25_speak_vaso;vaso;991.985;481.342;;;;;;;
recording_V1L3_p050103_tr260_type_miel;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr261_type_pintor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr262_type_cartero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr263_speak_cartero;cartero;669.046;554.954;;;;;;;
recording_V1L3_p050103_tr264_speak_caracol;caracol;800;561.676;;;;;;;
recording_V1L3_p050103_tr265_type_cuerda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr266_speak_aguja;aguja;720;649.12;;;;;;;
recording_V1L3_p050103_tr267_speak_aguja;aguja;683.429;611.256;;;;tongue;;;
recording_V1L3_p050103_tr268_type_granja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr269_speak_manzana;manzana;559.006;602.938;;;;;;;
recording_V1L3_p050103_tr26_type_camisa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr270_speak_oreja;oreja;618.713;558.118;;;;;;;
recording_V1L3_p050103_tr271_speak_oreja;oreja;620.36;544.065;;;;;;;
recording_V1L3_p050103_tr272_type_tenedor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr273_speak_goma;goma;1036.646;419.314;;;;;;;
recording_V1L3_p050103_tr274_type_goma;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr275_speak_mano;mano;757.731;383.123;;;;;;;
recording_V1L3_p050103_tr276_type_conejo;[conejo, type];704;544;0;;;spoke first, then typed;1;;
recording_V1L3_p050103_tr277_type_conejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr278_speak_cerdo;cerdo;720.156;522.281;;;;;;;
recording_V1L3_p050103_tr279_type_falda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr27_type_granja;[type];0;3000;;;;seemed like she would speak, but didn't;;;
recording_V1L3_p050103_tr280_type_iglesia;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr281_type_iglesia;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr282_speak_guante;guante;623.9;449.963;;;;;;;
recording_V1L3_p050103_tr283_type_vaca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr284_type_vaca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr285_type_baño;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr286_speak_baño;baño;824;456;;;;;;;
recording_V1L3_p050103_tr287_speak_cartero;cartero;599.958;583.076;;;;tongue;;;
recording_V1L3_p050103_tr288_type_miel;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr289_speak_pierna;pierna;685.177;424.662;;;;;;;
recording_V1L3_p050103_tr28_type_granja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr290_speak_pierna;pierna;641.453;461.507;;;;;;;
recording_V1L3_p050103_tr291_speak_taza;taza;693.298;406.198;;;;;;;
recording_V1L3_p050103_tr292_type_taza;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr293_speak_aguja;aguja;689.114;575.798;;;;tongue;;;
recording_V1L3_p050103_tr294_type_oreja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr295_type_camisa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr296_speak_camisa;camisa;593.1;553.957;;;;tongue;;;
recording_V1L3_p050103_tr297_speak_regalo;regalo;934.919;564.461;;;;;;;
recording_V1L3_p050103_tr298_speak_regalo;regalo;720.856;572.588;;;;;;;
recording_V1L3_p050103_tr299_type_columna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr29_speak_muñeca;muñeca;800;560;;;;;;;
recording_V1L3_p050103_tr2_speak_muñeca;muñeca;1112;556.098;;;;tongue, inhale;;;
recording_V1L3_p050103_tr300_speak_conejo;conejo;713.403;579.348;;;;tongue;;;
recording_V1L3_p050103_tr301_speak_bombero;bombero;773.644;555.777;;;;;;;
recording_V1L3_p050103_tr302_type_bombero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr303_type_pulpo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr304_type_pulpo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr305_speak_iglesia;iglesia;606.146;700.945;;;;;;;
recording_V1L3_p050103_tr306_type_goma;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr307_speak_tronco;tronco;757.002;410.998;;;;;;;
recording_V1L3_p050103_tr308_type_espejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr309_speak_regalo;regalo;818.925;575.006;;;;tongue;;;
recording_V1L3_p050103_tr30_type_mano;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr310_speak_vaso;vaso;600.301;479.765;;;;;;;
recording_V1L3_p050103_tr311_speak_vaso;vaso;544;518.698;;;;;;;
recording_V1L3_p050103_tr312_type_taza;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr313_speak_cazador;cazador;620.745;613.152;;;;;;;
recording_V1L3_p050103_tr314_speak_cazador;cazador;592;624.529;;;;tongue;;;
recording_V1L3_p050103_tr315_type_baño;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr316_speak_espalda;espalda;859.244;622.768;;;;;;;
recording_V1L3_p050103_tr317_type_espalda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr318_type_camisa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr319_type_puente;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr31_type_mano;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr320_speak_puente;puente;717.198;413.731;;;;;;;
recording_V1L3_p050103_tr321_speak_muñeca;muñeca;608;537.816;;;;;;;
recording_V1L3_p050103_tr322_type_muñeca;[type];0;3000;;;;exhale;;;
recording_V1L3_p050103_tr323_speak_vaca;vaca;539.692;413.836;;;;;;;
recording_V1L3_p050103_tr324_speak_pulpo;pulpo;584.16;431.396;;;;;;;
recording_V1L3_p050103_tr325_type_fresa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr326_type_fresa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr327_speak_pierna;pierna;704;393.434;;;;;;;
recording_V1L3_p050103_tr328_speak_bombero;bombero;664;494.222;;;;;;;
recording_V1L3_p050103_tr329_type_traje;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr32_type_pintor;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr330_type_traje;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr331_type_pavo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr332_speak_pavo;pavo;640;325.933;;;;;;;
recording_V1L3_p050103_tr333_speak_vaso;vaso;573.393;434.201;;;;;;;
recording_V1L3_p050103_tr334_type_traje;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr335_type_cerdo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr336_type_cerdo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr337_speak_cazador;cazador;680.27;620.618;;;;tongue;;;
recording_V1L3_p050103_tr338_type_manzana;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr339_type_manzana;[type];0;3000;;;;finger cracks?;;;
recording_V1L3_p050103_tr33_speak_pintor;pintor;872;510.766;;;;;;;
recording_V1L3_p050103_tr340_type_cuerda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr341_speak_cuerda;cuerda;544;392;;;;tongue;;;
recording_V1L3_p050103_tr342_speak_espalda;espalda;527.153;550.432;;;;tongue;;;
recording_V1L3_p050103_tr343_speak_granja;granja;645.863;552.057;;;;;;;
recording_V1L3_p050103_tr344_type_granja;[type];0;3000;;;;exhale;;;
recording_V1L3_p050103_tr345_type_muñeca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr346_type_falda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr347_speak_falda;falda;858.624;475.76;;;;mic sound beginning of file;;;
recording_V1L3_p050103_tr348_speak_caracol;caracol;934.919;509.876;;;;;;;
recording_V1L3_p050103_tr349_speak_caracol;caracol;486.525;565.008;;;;tongue;;;
recording_V1L3_p050103_tr34_speak_traje;traje;1009.353;508.635;;;;;;;
recording_V1L3_p050103_tr350_type_fresa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr351_speak_pintor;pintor;624;477.156;;;;;;;
recording_V1L3_p050103_tr352_speak_pintor;pintor;570.811;474.519;;;;;;;
recording_V1L3_p050103_tr353_type_puente;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr354_speak_pavo;pavo;605.473;367.21;;;;;;;
recording_V1L3_p050103_tr355_speak_mano;mano;485.138;401.946;;;;;;;
recording_V1L3_p050103_tr356_type_mano;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr357_type_cerdo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr358_type_aguja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr359_speak_aguja;aguja;654.4;593.143;;;;tongue;;;
recording_V1L3_p050103_tr35_speak_cerdo;cerdo;1004.391;561.98;;;;;;;
recording_V1L3_p050103_tr360_speak_manzana;manzana;737.172;569.919;;;;;;;
recording_V1L3_p050103_tr361_speak_conejo;conejo;640.238;563.886;;;;;;;
recording_V1L3_p050103_tr362_type_conejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr363_type_miel;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr364_speak_miel;miel;616;344.971;;;;;;;
recording_V1L3_p050103_tr365_type_falda;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr366_speak_goma;goma;586.523;421.795;;;;;;;
recording_V1L3_p050103_tr367_speak_goma;goma;530.838;429.238;;;;tongue;;;
recording_V1L3_p050103_tr368_type_caracol;[type];0;3000; ;;;;;;
recording_V1L3_p050103_tr369_speak_iglesia;iglesia;672.254;672.054;;;;tongue;;;
recording_V1L3_p050103_tr36_type_cerdo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr370_speak_iglesia;iglesia;550.888;617.112;;;;;;;
recording_V1L3_p050103_tr371_speak_oreja;oreja;643.529;549.43;;;;;;;
recording_V1L3_p050103_tr372_type_oreja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr373_speak_cuerda;cuerda;593.068;452.262;;;;;;;
recording_V1L3_p050103_tr374_type_granja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr375_type_cartero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr376_type_cartero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr377_speak_mano;mano;544;384;;;;;;;
recording_V1L3_p050103_tr378_type_guante;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr379_type_guante;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr37_type_caracol;[type];0;3000;;;;breath as if to speak, but didn't;;;
recording_V1L3_p050103_tr380_speak_pintor;pintor;627.133;477.745;;;;;;;
recording_V1L3_p050103_tr381_type_taza;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr382_type_taza;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr383_speak_aguja;aguja;644.486;583.209;;;;tongue;;;
recording_V1L3_p050103_tr384_type_regalo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr385_speak_regalo;regalo;1039.127;579.348;;;;;;;
recording_V1L3_p050103_tr386_speak_baño;baño;660.032;431.2;;;;;;;
recording_V1L3_p050103_tr387_speak_baño;baño;648;465.562;;;;;;;
recording_V1L3_p050103_tr388_type_conejo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr389_speak_miel;miel;576;317.086;;;;;;;
recording_V1L3_p050103_tr38_speak_caracol;caracol;965.313;615.324;;;;;;;
recording_V1L3_p050103_tr390_speak_camisa;camisa;836.914;523.086;;;;tongue;;;
recording_V1L3_p050103_tr391_type_camisa;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr392_type_vaca;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr393_speak_vaca;vaca;671.207;482.053;;;;;;;
recording_V1L3_p050103_tr394_type_goma;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr395_speak_pulpo;pulpo;694.868;471.418;;;;;;;
recording_V1L3_p050103_tr396_speak_pulpo;pulpo;600.585;444.125;;;;;;;
recording_V1L3_p050103_tr397_type_iglesia;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr398_speak_guante;guante;532.999;457.746;;;;tongue;;;
recording_V1L3_p050103_tr399_speak_pierna;pierna;584.05;395.743;;;;;;;
recording_V1L3_p050103_tr39_type_cazador;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr3_speak_muñeca;muñeca;1026.721;549.279;;;;;;;
recording_V1L3_p050103_tr400_type_pierna;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr401_speak_tenedor;tenedor;717.075;544.114;;;;;;;
recording_V1L3_p050103_tr402_type_oreja;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr403_speak_columna;columna;928;544;;;;;;;
recording_V1L3_p050103_tr404_type_cartero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr405_type_bombero;[/bo../, type];736;112;0;;;started speaking, then typed;1;;
recording_V1L3_p050103_tr406_type_bombero;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr407_speak_cadena;cadena;898.942;482.583;;;;;;;
recording_V1L3_p050103_tr408_type_escoba;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr40_speak_fresa;fresa;831.331;520.669;;;;;;;
recording_V1L3_p050103_tr41_type_pavo;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr42_speak_cuerda;cuerda;1024.24;501.192;;;;;;;
recording_V1L3_p050103_tr43_speak_cuerda;cuerda;754.416;506.154;;;;;;;
recording_V1L3_p050103_tr44_type_puente;[type];0;3000;;;;;;;
recording_V1L3_p050103_tr45_speak_falda;falda;865.447;475.139;;;;;;;
recording_V1L3_p050103_tr46_speak_falda;falda;804.319;548.333;;;;;;;
