"","Trial_no","CorrectAns","SubjResponse","Notes","Backspace","Item_correct","Modality_Correct","Exclude","Experiment_part","RepSwitch","Error_Corrected","Hesitation","RT","Duration","RespModal","KeyResp_keys","key1","key2","key3","key4","key5","key6","key7","key8","key9","key10","key11","key12","key13","key14","key15","baseline","baseline_condition","micRespv1l1.started"
"11",11,"camisa","camisa","",0,"1",1,"0","First","filler",0,0,1.185472,0.543944,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",709392548
"12",12,"muneca","muneca","",0,"1",1,"0","First","nontarget",0,0,1.2712538,1.4079534,"type","['m', 'u', 'n', 'e', 'c', 'a']",1.2712538,1.5275862,1.9430791,2.1836469,2.5517615,2.6792072,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",755510774
"13",13,"muneca","muneca","",0,"1",1,"0","First","switch",0,0,0.856415,0.625391,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",801974443
"14",14,"pierna","pierna","",0,"1",1,"0","First","filler",0,0,1.193,0.491683,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",847884485
"15",15,"pavo","pavo","",0,"1",1,"0","First","nontarget",0,0,1.310171,0.386262,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",894417953
"16",16,"pavo","pavo","",0,"1",1,"0","First","switch",0,0,1.1791784,1.3595593,"type","['p', 'a', 'v', 'o']",1.1791784,1.8351718,2.4107786,2.5387377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",940118736
"17",17,"cazador","cazador","",0,"1",1,"0","First","nontarget",0,0,1.1018073,1.1207068,"type","['c', 'a', 'z', 'a', 'd', 'o', 'r']",1.1018073,1.229812,1.4370688,1.6137321,1.8376605,2.0616342,2.2225141,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",986170988
"18",18,"cazador","cazador","",0,"1",1,"0","First","repeat",0,0,1.3816164,1.1205105,"type","['c', 'a', 'z', 'a', 'd', 'o', 'r']",1.3816164,1.4776187,1.6696169,1.8456799,2.0857947,2.3101251,2.5021269,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",103200511
"19",19,"taza","taza","",0,"1",1,"0","First","filler",0,0,0.960018,0.477417,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1078125912
"20",20,"bombero","bombero","",0,"1",1,"0","First","filler",0,0,1.293945,1.6635633,"type","['b', 'o', 'm', 'b', 'e', 'r', 'o']",1.293945,1.4859041,1.7262316,2.4773421,2.5895448,2.7495459,2.9575083,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",112472607
"21",21,"vaso","vaso","",0,"1",1,"0","First","nontarget",0,0,1.2698062,0.464407,"type","['v', 'a', 's', 'o']",1.2698062,1.3497686,1.5257617,1.7342132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",1172162543
"22",22,"vaso","vaso","",0,"1",1,"0","First","repeat",0,0,0.8024195,0.4480066,"type","['v', 'a', 's', 'o']",0.8024195,0.8824213,1.0424035,1.2504261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",121828122
"23",23,"regalo","regalo","",0,"1",1,"0","First","filler",0,0,1.046637,0.600114,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",1264256766
"24",24,"pulpo","pulp","",0,"0",1,"1","First","filler",0,0,2.0580738,0.863001,"type","['p', 'u', 'l', 'p']",2.0580738,2.3450395,2.745127,2.9210748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",1309889396
"25",25,"espalda","espalda","",0,"1",1,"0","First","nontarget",0,0,1.306085,1.0879593,"type","['e', 's', 'p', 'a', 'l', 'd', 'a']",1.306085,1.4822349,1.6102109,1.7062112,1.898004,2.1859987,2.3940443,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",135788148
"26",26,"espalda","espalda","",0,"1",1,"0","First","switch",0,0,0.538784,0.843341,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1404275782
"27",27,"puente","puente","",0,"1",1,"0","First","filler",0,0,1.176,0.480735,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1451574833
"28",28,"pintor","pinmtor","",0,"0",1,"1","First","nontarget",0,0,1.2692992,0.9432986,"type","['p', 'i', 'n', 'm', 't', 'o', 'r']",1.2692992,1.5087501,1.7168069,1.7342603,1.9571593,2.0686,2.2125978,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",1498733848
"29",29,"pintor","pintor","",0,"1",1,"1","First","repeat",0,0,0.7563113,1.6157648,"type","['p', 'i', 'n', 't', 'o', 'r']",0.7563113,0.9957539,1.3000714,1.4920737,1.6200775,2.3720761,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1544502386
"30",30,"fresa","fresa","",0,"1",1,"0","First","filler",0,0,1.412745,0.47938,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1591245273
"31",31,"caracol","caracol","",0,"1",1,"0","First","nontarget",0,0,1.1854427,1.0085063,"type","['c', 'a', 'r', 'a', 'c', 'o', 'l']",1.1854427,1.2814466,1.4733624,1.5533489,1.7939271,2.0179664,2.193949,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",1638127194
"32",32,"caracol","caracol","",0,"1",1,"0","First","repeat",0,0,1.037181,1.0398341,"type","['c', 'a', 'r', 'a', 'c', 'o', 'l']",1.037181,1.1332059,1.3410483,1.4210611,1.6770476,1.9330169,2.0770151,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1684730118
"33",33,"muneca","muneca","",0,"1",1,"0","First","filler",0,0,1.32,0.592684,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1730778494
"34",34,"mano","mano","",0,"1",1,"0","First","nontarget",0,0,1.0756309,0.5602119,"type","['m', 'a', 'n', 'o']",1.0756309,1.1885769,1.4113324,1.6358428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1777306696
"35",35,"mano","mano","",0,"1",1,"0","First","switch",0,0,0.864,0.392986,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1823427412
"36",36,"cuerda","cuerda","",0,"1",1,"0","First","nontarget",0,0,2.104124,0.48378,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",1869684452
"37",37,"cuerda","cuerda","",0,"1",1,"0","First","switch",0,0,1.0478686,0.8957387,"type","['c', 'u', 'e', 'r', 'd', 'a']",1.0478686,1.2557779,1.4155634,1.5755948,1.7675951,1.9436073,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1916147798
"38",38,"traje","traje","",0,"1",1,"0","First","filler",0,0,1.1048667,0.671135,"type","['t', 'r', 'a', 'j', 'e']",1.1048667,1.2800492,1.3280333,1.6799917,1.7760017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",1963099958
"39",39,"granja","granja","",0,"1",1,"0","First","nontarget",0,0,1.562864,0.8154471,"type","['g', 'r', 'a', 'n', 'j', 'a']",1.562864,1.7710517,1.834322,2.138346,2.3303423,2.3783111,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",2009075785
"40",40,"granja","granja","",0,"1",1,"0","First","switch",0,0,1.025988,0.603652,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",205580928
"41",41,"vaso","vaso","",0,"1",1,"0","First","filler",0,0,1.0645484,0.3999791,"type","['v', 'a', 's', 'o']",1.0645484,1.1285279,1.3044909,1.4645275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2102214559
"42",42,"pavo","pavo","",0,"1",1,"0","First","filler",0,0,1.161,0.391416,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",2148053355
"43",43,"manzana","manzana","",0,"1",1,"0","First","nontarget",0,0,0.932731,0.725895,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",2194647051
"44",44,"manzana","manzana","",0,"1",1,"0","First","repeat",0,0,0.834933,0.827289,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2241189745
"45",45,"cazador","cazador","",0,"1",1,"0","First","filler",0,0,1.5104561,1.3439817,"type","['c', 'a', 'z', 'a', 'd', 'o', 'r']",1.5104561,1.5744495,1.7664493,1.9744507,2.6144581,2.6784421,2.8544378,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2286882687
"46",46,"cerdo","cerdo","",0,"1",1,"0","First","nontarget",0,0,0.940357,0.695201,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",233349297
"47",47,"cerdo","cerdo","",0,"1",1,"0","First","repeat",0,0,0.957768,0.667841,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2380375826
"48",48,"escoba","escob","",0,"0",1,"1","First","filler",0,0,1.3868176,0.8636872,"type","['e', 's', 'c', 'o', 'b']",1.3868176,1.546777,1.7548055,1.9628117,2.2505048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2427958392
"49",49,"espalda","espalda","",0,"1",1,"0","First","filler",0,0,1.237986,0.689087,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",247469318
"50",50,"falda","falda","",0,"1",1,"0","First","nontarget",0,0,1.770345,0.502834,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",2521157618
"51",51,"falda","falda","",0,"1",1,"0","First","switch",0,0,0.9036267,0.9920437,"type","['f', 'a', 'l', 'd', 'a']",0.9036267,0.9995974,1.4637049,1.6717048,1.8956704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",256782953
"52",52,"guante","gunate","",0,"0",1,"1","First","nontarget",0,0,1.4708002,0.7528999,"type","['g', 'u', 'n', 'a', 't', 'e']",1.4708002,1.631701,1.8237007,1.9357108,2.1437042,2.2237001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2647910223
"53",53,"guante","guante","",0,"1",1,"1","First","switch",0,0,0.886102,0.572147,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2694443352
"54",54,"tronco","tronco","",0,"1",1,"0","First","filler",0,0,1.161,0.554878,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2741464261
"55",55,"miel","miel","",0,"1",1,"0","First","nontarget",0,0,1.215023,0.48267,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",2787710493
"56",56,"miel","miel","",0,"1",1,"0","First","switch",0,0,1.0395256,0.4319736,"type","['m', 'i', 'e', 'l']",1.0395256,1.2475101,1.3915008,1.4714992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",2834949561
"57",57,"pintor","pintor","",0,"1",1,"0","First","filler",0,0,1.2454453,1.5208048,"type","['p', 'i', 'n', 't', 'o', 'r']",1.2454453,1.4534186,2.2702687,2.4942522,2.5912517,2.7662501,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",2881204421
"58",58,"cartero","cartero","",0,"1",1,"0","First","nontarget",0,0,1.4775428,1.0559002,"type","['c', 'a', 'r', 't', 'e', 'r', 'o']",1.4775428,1.6055414,1.7498365,1.9262677,2.1655493,2.4055501,2.533443,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",2927045222
"59",59,"cartero","cartero","",0,"1",1,"0","First","switch",0,0,0.979764,0.514092,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",297350266
"60",60,"caracol","caracol","",0,"1",1,"0","First","filler",0,0,1.132497,0.495902,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3019625309
"61",61,"cuerda","cuerda","",0,"1",1,"0","First","filler",0,0,1.259886,1.2633287,"type","['c', 'u', 'e', 'r', 'd', 'a']",1.259886,1.7392499,1.8992201,2.1232182,2.2999587,2.5232147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",306650763
"62",62,"aguja","aguja","",0,"1",1,"0","First","nontarget",0,0,1.715152,0.647746,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",3112900731
"63",63,"aguja","aguja","",0,"1",1,"0","First","repeat",0,0,0.936,0.736246,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3158670789
"64",64,"granja","granja","",0,"1",1,"0","First","filler",0,0,1.4768208,0.8799894,"type","['g', 'r', 'a', 'n', 'j', 'a']",1.4768208,1.6688076,1.7328101,2.1168228,2.3248066,2.3568102,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3205135608
"65",65,"manzana","manzana","",0,"1",1,"0","First","filler",0,0,0.959196,0.767482,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",3251599343
"66",66,"oreja","oreja","",0,"1",1,"0","First","nontarget",0,0,1.009,0.51035,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",3297577614
"67",67,"oreja","oreja","",0,"1",1,"0","First","repeat",0,0,0.750432,0.545568,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3344251047
"68",68,"tenedor","tenedor","",0,"1",1,"0","First","filler",0,0,1.2081318,1.1367205,"type","['t', 'e', 'n', 'e', 'd', 'o', 'r']",1.2081318,1.3041359,1.5759755,1.656009,1.8799999,2.1995325,2.3448523,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3389743131
"69",69,"goma","goma","",0,"1",1,"0","First","nontarget",0,0,1.381853,0.462017,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3435791919
"70",70,"goma","goma","",0,"1",1,"0","First","switch",0,0,0.8016195,0.3989721,"type","['g', 'o', 'm', 'a']",0.8016195,0.9456201,1.1205862,1.2005916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3481492197
"71",71,"mano","mano","",0,"1",1,"0","First","filler",0,0,1.14496,0.42404,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3528512251
"72",72,"conejo","conejo","",0,"1",1,"0","First","nontarget",0,0,1.0039236,1.1204024,"type","['c', 'o', 'n', 'e', 'j', 'o']",1.0039236,1.243989,1.5013621,1.6287567,1.9002511,2.124326,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",3575461585
"73",73,"conejo","conejo","",0,"1",1,"0","First","repeat",0,0,0.8396935,0.9762942,"type","['c', 'o', 'n', 'e', 'j', 'o']",0.8396935,0.9994571,1.2250071,1.3520219,1.6080181,1.8159877,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3620944043
"74",74,"cerdo","cerdo","",0,"1",1,"0","First","filler",0,0,0.949614,0.622266,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3667836627
"75",75,"falda","falda","",0,"1",1,"0","First","filler",0,0,1.541329,0.7523048,"type","['f', 'a', 'l', 'd', 'a']",1.541329,1.781362,1.8773637,2.101374,2.2936338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",3714090066
"76",76,"iglesia","iglesia","",0,"1",1,"0","First","nontarget",0,0,1.1440384,1.2801027,"type","['i', 'g', 'l', 'e', 's', 'i', 'a']",1.1440384,1.4802499,1.848225,2.0401685,2.200164,2.2961644,2.4241411,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",3760139277
"77",77,"iglesia","iglesia","",0,"1",1,"0","First","repeat",0,0,0.958025,1.040029,"type","['i', 'g', 'l', 'e', 's', 'i', 'a']",0.958025,1.246017,1.3740123,1.5980439,1.7900487,1.8860163,1.998054,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3805838774
"78",78,"guante","guante","",0,"1",1,"0","First","filler",0,0,0.84831,0.50741,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3851391152
"79",79,"vaca","vaca","",0,"1",1,"0","First","nontarget",0,0,0.9959561,0.352235,"type","['v', 'a', 'c', 'a']",0.9959561,1.1249902,1.2519476,1.3481911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",3898419979
"80",80,"vaca","vaca","",0,"1",1,"0","First","repeat",0,0,1.0232266,0.3045189,"type","['v', 'a', 'c', 'a']",1.0232266,1.1032379,1.2637547,1.3277455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",3945509432
"81",81,"bano","bano","",0,"1",1,"0","First","nontarget",0,0,1.1313663,0.784214,"type","['b', 'a', 'n', 'o']",1.1313663,1.2113998,1.7236211,1.9155803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",399162709
"82",82,"bano","bano","",0,"1",1,"0","First","switch",0,0,1.044197,0.464396,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4038164334
"83",83,"cartero","cartero","",0,"1",1,"0","First","filler",0,0,0.794081,0.522827,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",408434715
"84",84,"miel","miel","",0,"1",1,"0","First","filler",0,0,1.1568778,0.431228,"type","['m', 'i', 'e', 'l']",1.1568778,1.3488766,1.4928436,1.5881058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4130257449
"85",85,"pierna","pierna","",0,"1",1,"0","First","nontarget",0,0,1.368,0.424,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",4176581565
"86",86,"pierna","pierna","",0,"1",1,"0","First","repeat",0,0,1.065,0.472,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4223601218
"87",87,"taza","taza","",0,"1",1,"0","First","nontarget",0,0,1.001,0.415263,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",4269788351
"88",88,"taza","taza","",0,"1",1,"0","First","switch",0,0,1.2529728,0.4470693,"type","['t', 'a', 'z', 'a']",1.2529728,1.3809351,1.620985,1.7000421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4315697165
"89",89,"aguja","aguja","",0,"1",1,"0","First","filler",0,0,1.48,0.596999,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4363412715
"90",90,"oreja","oreja","",0,"1",1,"0","First","filler",0,0,1.5267112,0.7039974,"type","['o', 'r', 'e', 'j', 'a']",1.5267112,1.8466829,2.0066738,2.1507023,2.2307086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4409598373
"91",91,"camisa","camisa","",0,"1",1,"0","First","nontarget",0,0,1.0402456,0.8801125,"type","['c', 'a', 'm', 'i', 's', 'a']",1.0402456,1.0882396,1.4878349,1.6636859,1.7605452,1.9203581,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"repeat",4456061862
"92",92,"camisa","camisa","",0,"1",1,"0","First","switch",0,0,0.64,0.598803,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4502665187
"93",93,"regalo","regalo","",0,"1",1,"0","First","nontarget",0,0,1.257936,0.683793,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4548921407
"94",94,"regalo","regalo","",0,"1",1,"0","First","repeat",0,0,0.829301,0.541254,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4594682341
"95",95,"columna","column","",0,"0",1,"1","First","filler",0,0,1.2917243,1.135592,"type","['c', 'o', 'l', 'u', 'm', 'n']",1.2917243,1.4996262,1.6914617,1.9311171,2.1873028,2.4273163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4641225714
"96",96,"conejo","conejo","",0,"1",1,"0","First","filler",0,0,1.189307,0.493108,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4687553062
"97",97,"bombero","bombero","",0,"1",1,"0","First","nontarget",0,0,1.345458,0.726525,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4733946739
"98",98,"bombero","bombero","",0,"1",1,"0","First","switch",0,0,1.2446712,1.2483789,"type","['b', 'o', 'm', 'b', 'e', 'r', 'o']",1.2446712,1.4206534,1.6450514,1.9490601,2.1250511,2.3650552,2.4930501,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4780410195
"99",99,"pulpo","pulpo","",0,"1",1,"0","First","nontarget",0,0,1.4084064,1.0079887,"type","['p', 'u', 'l', 'p', 'o']",1.4084064,1.6963981,2.0804673,2.2564053,2.4163951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4826457744
"100",100,"pulpo","pulpo","",0,"1",1,"0","First","repeat",0,0,0.7149045,1.0560215,"type","['p', 'u', 'l', 'p', 'o']",0.7149045,0.9869018,1.3388866,1.6269673,1.770926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4873547648
"101",101,"iglesia","iglesia","",0,"1",1,"0","First","filler",0,0,1.172579,0.716231,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4920012248
"102",102,"goma","gomsa","",1,"0",1,"1","First","filler",1,0,1.3288019,1.519574,"type","['g', 'o', 'm', 's', 'a', 'backspace', 'a']",1.3288019,1.4567977,1.6327918,1.7287622,1.760792,2.5600914,2.8483759,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",4966615378
"103",103,"columna","columna","",0,"1",1,"0","First","filler",0,0,1.2680151,1.3443666,"type","['c', 'o', 'l', 'u', 'm', 'n', 'a']",1.2680151,1.6360609,1.8270702,2.051995,2.2759959,2.5153341,2.6123817,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",505426616
"104",104,"muneca","muneca","",0,"1",1,"0","First","nontarget",0,0,0.946749,0.672261,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",5100173754
"105",105,"muneca","muneca","",0,"1",1,"0","First","repeat",0,0,0.599684,0.622341,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",5146848776
"106",106,"pierna","pierna","",0,"1",1,"0","First","filler",0,0,1.8244084,0.8160058,"type","['p', 'i', 'e', 'r', 'n', 'a']",1.8244084,2.0485662,2.240505,2.4004445,2.5604463,2.6404142,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",5193173777
"107",107,"traje","traje","",0,"1",1,"0","First","nontarget",0,0,0.998707,0.423814,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"switch",5239151028
"108",108,"traje","traje","",0,"1",1,"0","First","repeat",0,0,0.889372,0.430937,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",5285060156
"109",109,"tenedor","tenedor","",0,"1",1,"0","First","filler",0,0,1.3040585,0.9933624,"type","['t', 'e', 'n', 'e', 'd', 'o', 'r']",1.3040585,1.4000549,1.5601965,1.6242007,1.8800582,2.1840859,2.2974209,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",5331659397
"110",110,"pulpo","pulpo","",0,"1",1,"0","First","filler",0,0,1.825,0.415089,"speak","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"None",5377849254
