Word	PhoWord	Length_Ortho	Length_Phono	Freq_per_million	OTAN	PTAN
skirt	s.k.36.t	5	4	9.9608	3	12
wire	w.aI.56	4	3	27.5098	19	31
shield	S.i.l.d	6	4	8.1961	1	11
sheep	S.i.p	5	3	13.4314	6	21
shoe	S.u	4	2	30.3922	10	46
brain	b.r0.eI.n	5	4	77.0196	10	21
bag	b.1.g	3	3	94.0392	28	38
rock	r0.A.k	4	3	86.1569	17	35
wolf	w.U.l.f	4	4	20.2745	3	2
fireman	f.aI.56.m.5.n	7	6	2.9216	2	1
court	k.or.t	5	3	100.7255	3	31
snail	s.n.eI.l	5	4	1.7647	4	9
feather	f.E.D.56	7	4	6.6275	5	12
knickers	n.I.k.56.z	8	5	1.2745	2	4
boy	b.OI	3	2	529.8235	24	33
seal	s.i.l	4	3	14.7451	16	48
bed	b.E.d	3	3	187.1176	23	43
chalk	tS.O.k	5	3	3.5882	0	10
spider	s.p.aI.d.56	6	5	10.098	2	4
bagpipes	b.1.g.p.aI.p.s	8	7	0.68627	0	0
postman	p.oU.s.t.m.5.n	7	7	2.5098	1	0
present	p.r0.E.z.5.n.t	7	7	89.451	3	3
goat	g.oU.t	4	3	10.5294	11	23
coin	k.OI.n	4	3	9.7451	11	22
pig	p.I.g	3	3	39.1373	19	22
nail	n.eI.l	4	3	18.6471	15	48
farmer	f.Ar.m.56	6	4	11.8431	4	9
queen	k.w.i.n	5	4	54.6863	2	5
funnel	f.V.n.l	6	4	1.098	2	6
horn	h.or.n	4	3	21.0784	10	25
tree	t.r0.i	4	3	65	8	22
bin	b.I.n	3	3	5.3725	27	46
bull	b.U.l	4	3	27.5098	15	20
fighter	f.aI.t.56	7	4	12.7843	3	14
bell	b.E.l	4	3	39.3333	19	41
fly	f.l.aI	3	3	85	6	24
witch	w.I.tS	5	3	27.6471	12	28
steering	s.t.ir.56.r0.I.N	8	7	4.0588	0	0
wheel	w.i.l	5	3	27.0588	2	40
parrot	p.1.r0.5.t	6	5	3.2745	2	5
bag	b.1.g	3	3	94.0392	28	38
elbow	E.l.b.oU	5	4	6.1373	1	1
rope	r0.oU.p	4	3	22.7059	19	33
Ferris	f.E.r0.i.s	6	5	4.098	0	1
wheel	w.i.l	5	3	27.0588	2	40
suit	s.u.t	4	3	68.6078	9	35
mermaid	m.36.m.eI.d	7	5	3.1569	1	1
nappy	n.1.p.i	5	4	0.78431	5	8
tap	t.1.p	3	3	14.7451	31	32
girl	g.36.l	4	3	557.1176	3	22
bridge	b.r0.I.dZ	6	4	45.7059	4	9
ear	ir.56	3	2	32	29	27
wig	w.I.g	3	3	8.3529	16	30
rabbit	r0.1.b.I.t	6	5	20.9412	3	3
Hunter	h.V.n.t.56	6	5	18.3529	4	4
suitcase	s.u.t.k.eI.s	8	6	13.3922	1	0
engine	E.n.dZ.I.n	6	5	31.8824	1	1
crutches	k.r0.V.tS.I0.z	8	6	1.6275	1	2
tray	t.r0.eI	4	3	8.0392	13	20
fist	f.I.s.t	4	4	7.3529	10	23
clown	k.l.aU.n	5	4	15.8235	4	9
heart	h.Ar.t	5	3	244.1765	9	29
pool	p.u.l	4	3	46.9804	14	29
watch	w.A.tS	5	3	330.0196	8	12
flag	f.l.1.g	4	4	17.4902	10	11
farm	f.Ar.m	4	3	30.0392	10	14
bow	b.oU	3	2	20.2745	26	58
lighthouse	l.aI.t.h.aU.s	10	6	3.0784	0	0
bird	b.36.d	4	3	45.451	5	39
table	t.eI.b.l	5	4	105.6275	9	12
truck	t.r0.V.k	5	4	72.8627	7	8
compass	k.V.m.p.5.s	7	6	4.0588	0	2
burglar	b.36.g.l.56	7	5	5.5294	2	2
aerial	Er.r0.I0.j.5.l	6	6	2.5294	1	0
door	d.or	4	2	292.0588	7	49
mouse	m.aU.s	5	3	19.1176	9	18
back	b.1.k	4	3	2009.1569	18	44
helmet	h.E.l.m.I0.t	6	6	9.4706	1	1
doll	d.A.l	4	3	24.7647	13	30
ship	S.I.p	4	3	98.8824	13	25
fork	f.or.k	4	3	8.8235	12	21
mug	m.V.g	3	3	6.8431	14	27
shark	S.Ar.k	5	3	14.9804	9	20
painting	p.eI.n.t.I.N	8	6	29.1961	5	4
mirror	m.I.r0.56	6	4	24.1765	1	2
arm	Ar.m	3	2	65.4118	11	17
lamp	l.1.m.p	4	4	12.8824	14	14
post	p.oU.s.t	4	4	32.4314	14	20
lock	l.A.k	4	3	56.5686	19	39
bell	b.E.l	4	3	39.3333	19	41
leg	l.E.g	3	3	56.5098	19	16
drawer	d.r0.or	6	3	13	2	6
gun	g.V.n	3	3	213.1961	18	33
cloud	k.l.aU.d	5	4	11.7451	6	12
pig	p.I.g	3	3	39.1373	19	22
apple	1.p.l	5	3	23.6667	3	6
glove	g.l.V.v	5	4	10.098	6	6
roof	r0.u.f	4	3	35.6471	9	23
needle	n.i.d.l	6	4	11.9216	1	7
broom	b.r0.u.m	5	4	4.7647	8	14
wheel	w.i.l	5	3	27.0588	2	40
Well	w.E.l	4	3	2990.6471	16	43
book	b.U.k	4	3	176.9804	16	25
heel	h.i.l	4	3	7.3922	11	38

NonWord	Length	TotalND
aeroplane	9	0
goalkeeper	10	0
letterbox	9	0
harbour	7	1
hedgehog	8	0
atm	3	6
