image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;stimulus;order;psychopy_order;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textBlank500.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.stopped;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micResp.started;keyResp.keys;keyResp.corr;subjResponse;micResp.clip;keyPause.keys;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;keyResp.rt;textboxPause.started;keyPause.started;keyPause.rt;textboxGoodbye.started;textboxGoodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;Column1
REPSWITCH1/PICTURE_242.png;cartero;type;darkblue;nontarget;1;NT;3;Stim3_Set3;259;258;0;258;258;258;;1.40E+16;;;;;;;;;;;;;;;;;;;;;;;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.39E+16;1.40E+16;['c', 'a', 'r', 't', 'e', 'r', 'o'];0;cartero;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.44.732.wav;None;;;;;;;[0.9868284994736314, 1.2109806993976235, 1.434974099509418, 1.5789743000641465, 1.7391968993470073, 1.8670970993116498, 1.9311317997053266];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_242.png;cartero;type;darkblue;repeat;1;T;3;Stim3_Set3;260;259;0;259;259;259;;1.40E+16;;;;;;;;;;;;;;;;;;;;;;1.40E+16;1.40E+15;1.40E+15;1.40E+15;1.40E+15;1.40E+15;1.40E+15;1.40E+15;1.40E+15;1.41E+16;['i', 'r', 'e', 'j', 'a'];0;ireja;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.49.402.wav;None;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.40E+16;[1.2544683991000056, 1.334269898943603, 1.5102982996031642, 1.7343466989696026, 1.84634539950639];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_264.png;mano;speak;gold;filler;2;F;3;Stim3_Set2;261;260;0;260;260;260;;1.41E+16;;;;;;;;;;;;;;;;;;;;;;;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.40E+16;1.39E+15;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.53.998.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_576.png;guante;type;darkblue;nontarget;1;NT;3;Stim1_Set3;262;261;0;261;261;261;;1.41E+15;;;;;;;;;;;;;;;;;;;;;;1.41E+16;1.41E+15;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.31E+16;['g', 'u', 'y', 'n', 'a', 't', 'e', 'backspace', 'backspace'];0;guyna;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h50.58.806.wav;None;1.41E+15;1.41E+15;1.41E+15;1.41E+15;1.41E+15;1.41E+15;[1.1309118997305632, 1.2429230995476246, 1.2589522991329432, 1.3863553991541266, 1.4183484995737672, 1.6743549993261695, 1.8663142994046211, 2.0908940993249416, 2.779082898981869];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_576.png;guante;type;darkblue;repeat;1;T;3;Stim1_Set3;263;262;0;262;262;262;;1.42E+14;;;;;;;;;;;;;;;;;;;;;;;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.41E+16;1.36E+16;['g', 'u', 'a', 'n', 't', 'e'];0;guante;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h51.03.422.wav;None;;;;;;;[0.9370446000248194, 1.0170660000294447, 1.2091146996244788, 1.3373807994648814, 1.5614121994003654, 1.705439600162208];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_175.png;pintor;speak;gold;filler;2;F;3;Stim1_Set2;264;263;0;263;263;263;;1.42E+16;;;;;;;;;;;;;;;;;;;;;;;1.42E+15;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.47E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h51.08.019.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_498.png;taza;type;darkblue;nontarget;1;NT;4;Stim4_Set4;265;264;0;264;264;264;;1.43E+16;;;;;;;;;;;;;;;;;;;;;;1.43E+15;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.42E+16;1.24E+15;['t', 'a', 'z', 'a'];0;taza;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h51.12.641.wav;None;1.43E+16;1.43E+16;1.43E+16;1.43E+16;1.43E+16;1.43E+16;[1.1199253993108869, 1.2639809995889664, 1.4399128993973136, 1.5839087991043925];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_498.png;taza;type;darkblue;repeat;1;T;4;Stim4_Set4;266;265;0;265;265;265;;1.43E+16;;;;;;;;;;;;;;;;;;;;;;;1.43E+15;1.43E+16;1.43E+16;1.43E+16;1.43E+16;1.43E+16;1.43E+16;1.43E+16;1.27E+16;['t', 'a', 'z', 'a'];0;taza;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h51.17.285.wav;None;;;;;;;[0.7541418001055717, 1.0103262001648545, 1.2025282001122832, 1.3465195000171661];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_235.png;aguja;speak;gold;filler;2;F;4;Stim4_Set3;267;266;0;266;266;266;;1.43E+16;;;;;;;;;;;;;;;;;;;;;;;1.43E+16;1.43E+15;1.43E+15;1.43E+15;1.43E+15;1.43E+15;1.43E+15;1.43E+15;1.28E+16;None;0;;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h51.21.848.wav;None;;;;;;;;;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
REPSWITCH1/PICTURE_338.png;regalo;type;darkblue;nontarget;1;NT;4;Stim6_Set4;268;267;0;267;267;267;;1.44E+15;;;;;;;;;;;;;;;;;;;;;;1.44E+16;1.43E+16;1.44E+14;1.44E+14;1.44E+14;1.44E+14;1.44E+14;1.44E+14;1.44E+14;1.40E+16;['r', 'e', 'g', 'a', 'l', 'o'];0;regalo;C:\Users\Experimental User\Desktop\experiment\data/010100_REPSWITCH1_v2022.2.4_2023-07-17_16h27.34.455_micResp_recorded\recording_micResp_2023-07-17_16h51.26.476.wav;None;1.44E+15;1.44E+15;1.44E+15;1.44E+15;1.44E+15;1.44E+15;[0.8532088994979858, 1.0128169991075993, 1.1888236990198493, 1.3965168995782733, 1.5248949993401766, 1.63689289893955];;;;;;10100;1;2023-07-17_16h27.34.455;REPSWITCH1_v2022.2.4;202224;1.44E+16;
