Trial_no;CorrectAns;SubjResponse;Notes;backspace;Item_correct;Modality_Correct;Error_Corrected;Hesitation;RT;Duration;RespModal;KeyResp_keys;key1;key2;key3;key4;key5;key6;key7;key8;key9;key10;key11;key12;key13;key14;key15;RepSwitch;baseline;baseline_condition;micRespv1l1.started
42;pavo;pavo;;0;;1;0;0;1.161;0.391416;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;switch;214.8053355
43;manzana;manzana;;0;;1;0;0;0.932731;0.725895;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;219.4647051
44;manzana;manzana;;0;;1;0;0;0.834933;0.827289;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;224.1189745
45;cazador;cazador;;0;;1;0;0;1.5104561;1.3439817;type;['c', 'a', 'z', 'a', 'd', 'o', 'r'];1.5104561;1.5744495;1.7664493;1.9744507;2.6144581;2.6784421;2.8544378;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;228.6882687
46;cerdo;cerdo;;0;;1;0;0;0.940357;0.695201;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;switch;233.349297
47;cerdo;cerdo;;0;;1;0;0;0.957768;0.667841;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;repeat;0;None;238.0375826
48;escoba;escob;;0;;1;0;0;1.3868176;0.8636872;type;['e', 's', 'c', 'o', 'b'];1.3868176;1.546777;1.7548055;1.9628117;2.2505048;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;242.7958392
49;espalda;espalda;;0;;1;0;0;1.237986;0.689087;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;247.469318
50;falda;falda;;0;;1;0;0;1.770345;0.502834;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;252.1157618
51;falda;falda;;0;;1;0;0;0.9036267;0.9920437;type;['f', 'a', 'l', 'd', 'a'];0.9036267;0.9995974;1.4637049;1.6717048;1.8956704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;256.782953
52;guante;gunate;;0;;1;0;0;1.4708002;0.7528999;type;['g', 'u', 'n', 'a', 't', 'e'];1.4708002;1.631701;1.8237007;1.9357108;2.1437042;2.2237001;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;0;None;264.7910223
53;guante;guante;;0;;1;0;0;0.886102;0.572147;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;269.4443352
54;tronco;tronco;;0;;1;0;0;1.161;0.554878;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;0;None;274.1464261
55;miel;miel;;0;;1;0;0;1.215023;0.48267;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;278.7710493
56;miel;miel;;0;;1;0;0;1.0395256;0.4319736;type;['m', 'i', 'e', 'l'];1.0395256;1.2475101;1.3915008;1.4714992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;283.4949561
57;pintor;pintor;;0;;1;0;0;1.2454453;1.5208048;type;['p', 'i', 'n', 't', 'o', 'r'];1.2454453;1.4534186;2.2702687;2.4942522;2.5912517;2.7662501;NA;NA;NA;NA;NA;NA;NA;NA;NA;filler;1;repeat;288.1204421
58;cartero;cartero;;0;;1;0;0;1.4775428;1.0559002;type;['c', 'a', 'r', 't', 'e', 'r', 'o'];1.4775428;1.6055414;1.7498365;1.9262677;2.1655493;2.4055501;2.533443;NA;NA;NA;NA;NA;NA;NA;NA;nontarget;1;repeat;292.7045222
59;cartero;cartero;;0;;1;0;0;0.979764;0.514092;speak;None;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;switch;0;None;297.350266
