image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textboxEndFam.started,keyEndFam.started,textboxEndFam.stopped,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,11.550307899946347,13.564827899914235,14.064524299930781,14.064524299930781,space,4.791579100070521,,,,,,,,,,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,0,0,8,,26.760830799816176,,,,,19.395171199925244,19.395171199925244,20.879153599962592,20.879153599962592,20.879153599962592,0.11130110011436045,24.212706099962816,26.712243699934334,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h05.56.290.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_319.png,vaca,0,1,1,15,,34.55834360001609,,,,,,27.24482429982163,28.660396700026467,28.660396700026467,28.660396700026467,0.13775129988789558,32.01076689991169,34.510380499996245,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.04.090.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,2,2,30,,42.273102399893105,,,,,,35.04280289984308,36.3752521998249,36.3752521998249,36.3752521998249,0.13540659984573722,39.72577259992249,42.22536839987151,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.11.803.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Practice/PICTURE_599.png,nube,0,3,3,33,,49.98793249996379,,,,,,42.75761299999431,44.106594499899074,44.106594499899074,44.106594499899074,0.14554099994711578,47.4404649999924,49.939870100002736,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.19.517.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,4,4,0,,57.58640889986418,,,,,,50.472411799943075,51.55629099998623,51.55629099998623,51.55629099998623,0.0021871000062674284,55.05537860002369,57.55476069985889,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.27.122.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,5,5,26,,65.30116409994662,,,,,,58.07074659992941,59.386378899915144,59.386378899915144,59.386378899915144,0.12049379991367459,62.753427299903706,65.25274779996835,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.34.837.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,6,6,9,,73.06574689992703,,,,,,65.78559589991346,67.20114229992032,67.20114229992032,67.20114229992032,0.16146559990011156,70.51822039997205,73.01765789999627,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.42.601.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_446.png,cerdo,0,7,7,20,,80.76384679996409,,,,,,73.55031819990836,74.86625509988517,74.86625509988517,74.86625509988517,0.1389685000758618,78.2164467999246,80.71586769982241,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.50.298.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,8,8,12,,88.2955823999364,,,,,,81.24852050002664,82.28114299988374,82.28114299988374,82.28114299988374,0.009344000136479735,85.74802919989452,88.24728559982032,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h06.57.829.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,9,9,4,,96.04369349987246,,,,,,88.77990179997869,90.12897049984895,90.12897049984895,90.12897049984895,0.11770799988880754,93.49614019994624,95.99552419991232,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.05.576.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,10,10,21,,103.89244570001028,,,,,,96.52825489989482,97.97716060001403,97.97716060001403,97.97716060001403,0.11592489993199706,101.34449990000576,103.84349119989201,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.13.422.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_338.png,regalo,0,11,11,17,,111.5064786998555,,,,,,104.37655869987793,105.47502929996699,105.47502929996699,105.47502929996699,0.010823599994182587,108.9588414998725,111.45855009998195,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.21.025.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,12,12,1,,119.37138050002977,,,,,,111.97436909982935,113.44008479989134,113.44008479989134,113.44008479989134,0.11072410014458,116.82359919999726,119.3232519000303,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.28.890.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,13,13,11,,126.95246629999019,,,,,,119.83925940003246,120.98833279986866,120.98833279986866,120.98833279986866,0.060432499973103404,124.40534749999642,126.90430279984139,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.36.487.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,14,14,16,,134.65091289998963,,,,,,127.43774149985984,128.63657259987667,128.63657259987667,128.63657259987667,0.009536799974739552,132.10354529996403,134.60280949994922,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.44.185.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
REPSWITCH1_Practice/PICTURE_612.png,rana,0,15,15,32,,142.39900649990886,,,,,,135.13549360004254,136.50084210000932,136.50084210000932,136.50084210000932,0.12777219992130995,139.85165089997463,142.35094439983368,D:\GitHub\experiment1\data/51_Fam_2023-07-03_15h05.36.013_micFam_recorded\recording_micFam_2023-07-03_15h07.51.930.wav,,,,,,51,001,2023-07-03_15h05.36.013,Fam,2022.2.4,59.973108049072366,
