image,correctAns,respModal,frameColor,repSwitch,sequence,target,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,textCue.started,polygonCol.started,polygonWh.started,imagePractice.started,polygonText.started,textPractice.started,keyPractice.started,keyPractice.keys,keyPractice.corr,keyPractice.rt,subjResponse,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_264.png,mano,,,,,,0,10,10,10,,,,,,184.37090139999054,,,,,,175.75642670001253,176.9551378999895,176.9551378999895,176.9551378999895,180.95503819998703,180.95503819998703,181.36998190000304,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_271.png,conejo,,,,,,0,11,11,11,,,,,,193.7034941999882,,,,,,184.8707613000006,186.20318700000644,186.20318700000644,186.20318700000644,190.2039334999863,190.2039334999863,190.70100030000322,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_30.png,granja,,,,,,0,12,12,12,,,,,,202.74990110000363,,,,,,194.20188430001144,195.28452379998635,195.28452379998635,195.28452379998635,199.28388209998957,199.28388209998957,199.74878200000967,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_319.png,vaca,,,,,,0,13,13,13,,,,,,211.9156365999952,,,,,,203.2497291000036,204.41542410000693,204.41542410000693,204.41542410000693,208.41611459999694,208.41611459999694,208.913229400001,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,,,,,,0,14,14,14,,,,,,220.9788389999885,,,,,,212.41424600000028,213.47992589999922,213.47992589999922,213.47992589999922,217.47966029998497,217.47966029998497,217.97791789998882,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_354.png,cabra,,,,,,0,15,15,15,,,,,,230.09378419999848,,,,,,221.47868979998748,222.59455949999392,222.59455949999392,222.59455949999392,226.5942517000076,226.5942517000076,227.09242959998664,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_377.png,babero,,,,,,0,16,16,16,,,,,,239.1743637000036,,,,,,230.5934025000024,231.6754621999862,231.6754621999862,231.6754621999862,235.67528200001107,235.67528200001107,236.17342279999866,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_381.png,fresa,,,,,,0,17,17,17,,,,,,248.2720571999962,,,,,248.77283289999468,239.67527479998535,240.79004389999318,240.79004389999318,240.79004389999318,244.78953449998517,244.78953449998517,245.27274169999873,248.2720571999962,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_411.png,puño,,,,,,0,18,18,18,,,,,,257.35330509999767,,,,,,248.77283289999468,249.85471340001095,249.85471340001095,249.85471340001095,253.85439550000592,253.85439550000592,254.35251580001204,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_48.png,bombero,,,,,,0,19,19,19,,,,,,266.4512104000023,,,,,,257.8532108000072,259.05253190000076,259.05253190000076,259.05253190000076,263.05182250001235,263.05182250001235,263.45024080001167,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_487.png,cesta,,,,,,0,20,20,20,,,,,,275.7664300999895,,,,,,266.95114280001144,268.2832844000077,268.2832844000077,268.2832844000077,272.2840118999884,272.2840118999884,272.7644985000079,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,,,,,,0,21,21,21,,,,,,285.0645414000028,,,,,,276.26616659999127,277.680870399985,277.680870399985,277.680870399985,281.6808164000104,281.6808164000104,282.06242279999424,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_552.png,manzana,,,,,,0,22,22,22,,,,,,294.22766249999404,,,,,,285.5635207000014,286.7621603999869,286.7621603999869,286.7621603999869,290.76186649999,290.76186649999,291.2268587999861,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_576.png,guante,,,,,,0,23,23,23,,,,,,303.42501790000824,,,,,,294.72784559999127,295.95989309999277,295.95989309999277,295.95989309999277,299.9597696000128,299.9597696000128,300.4094121000089,,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
REPSWITCH1_Fam/PICTURE_610.png,miel,,,,,,0,24,24,24,,,,,,312.5069408999989,,,,,313.0067987999937,303.9253112000006,305.22410759999184,305.22410759999184,305.22410759999184,309.22399239998776,309.22399239998776,309.5077913000132,312.5069408999989,,,,,,,,,,,,,,,,,001,2023-05-26_13h54.33.241,REPSWITCH_1,2022.2.5,59.927032840343244,
