Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column212;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34
image;correctAns;famTrials.thisRepN;famTrials.thisTrialN;famTrials.thisN;famTrials.thisIndex;textWelcomeFam.started;textboxInstrFam.started;keyInstrFam.started;keyInstrFam.keys;keyInstrFam.rt;fixationITI.started;fixationITI.stopped;polygonWhiteFam.started;imageFam.started;micFam.started;textFam.started;textFam.stopped;micFam.clip;textBlankLoop.started;textBlankLoop.stopped;;polygonWhiteFam.stopped;imageFam.stopped;textboxEndFam.started;keyEndFam.started;keyEndFam.keys;keyEndFam.rt;participant;session;date;expName;psychopyVersion;frameRate;
REPSWITCH1_Fam/PICTURE_340.png;espejo;0;8;8;39;;;;;;89.91817509999964;91.13427620000039;91.13427620000039;91.13427620000039;91.13427620000039;94.58463790000042;97.08422309999969;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.28.801.wav;97.28073339999992;97.78296539999974;0.502232;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_152.png;caracol;0;9;9;3;;;;;;97.78296539999974;98.94804180000028;98.94804180000028;98.94804180000028;98.94804180000028;102.4161065999997;104.91559909999978;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.36.634.wav;105.10629429999972;105.61435720000009;0.5080629;105.10629429999972;105.10629429999972;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_570.png;toro;0;10;10;34;;;;;;105.61435720000009;106.95373290000043;106.95373290000043;106.95373290000043;106.95373290000043;110.33098960000007;112.83037930000046;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.44.540.wav;113.02522769999996;113.52921309999965;0.5039854;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_19.png;pavo;0;11;11;8;;;;;;113.52921309999965;114.65186569999969;114.65186569999969;114.65186569999969;114.65186569999969;118.11254310000004;120.61185720000049;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h16.52.329.wav;120.82748420000007;121.32733420000022;0.49985;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_264.png;mano;0;12;12;12;;;;;;121.32733420000022;122.41162590000022;122.41162590000022;122.41162590000022;122.41162590000022;125.87724230000003;128.37666059999992;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h17.00.089.wav;128.5774747000005;;;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_235.png;aguja;0;13;13;10;;;;;;129.09220040000037;130.17872640000041;130.17872640000041;130.17872640000041;130.17872640000041;133.64202790000036;136.1415493000004;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h17.07.855.wav;136.3800798000002;136.89031890000024;0.5102391;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_733.png;gafas;0;14;14;35;;;;;;136.89031890000024;138.042504;138.042504;138.042504;138.042504;141.50689169999987;144.00631320000048;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h17.15.720.wav;144.17815840000003;144.68853149999995;0.5103731;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_687.png;camisa;0;15;15;28;;;;;;144.68853149999995;146.04639510000015;146.04639510000015;146.04639510000015;146.04639510000015;149.43825500000003;151.93769040000006;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h17.23.653.wav;152.0583987;152.5699039000001;0.5115052;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_381.png;fresa;0;16;16;19;;;;;;152.5699039000001;153.77440269999988;153.77440269999988;153.77440269999988;153.77440269999988;157.23658090000026;159.73588120000022;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h17.31.451.wav;159.84531419999985;160.35142160000032;0.5061074;;;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
REPSWITCH1_Fam/PICTURE_178.png;puente;0;17;17;7;;;;;;160.35142160000032;161.48574069999995;161.48574069999995;161.48574069999995;161.48574069999995;164.96791620000022;167.4673939000004;D:\GitHub\experiment1\data/1234_REPSWITCH1_Fam_2023-09-20_11h15.07.193_micFam_recorded\recording_micFam_2023-09-20_11h17.39.181.wav;167.65859920000003;168.16632200000004;0.5077228;167.65859920000003;167.65859920000003;;;;;1234;001;2023-09-20_11h15.07.193;REPSWITCH1_Fam;2022.2.4;59.99678417221824;
