image;correctAns;respModal;frameColor;repSwitch;sequence;target;set;block;list;exp_version;stimulus;baseline;baseline_condition;trial_no;psychopy_trial;Column1;trialsREPSWITCH.thisRepN;trialsREPSWITCH.thisTrialN;trialsREPSWITCH.thisN;trialsREPSWITCH.thisIndex;textWelcome.started;textboxInstrMain1.started;textboxInstrMain1_2.started;textboxInstrMain1_3.started;keyInstrMain.started;keyInstrMain.keys;keyInstrMain.rt;textboxInstrMain2.started;textboxInstrMain2_2.started;textboxInstrMain2_3.started;textboxInstrMain2_4.started;textboxInstrMain2_5.started;textboxInstrMain2_6.started;textboxInstrMain2_7.started;textboxInstrMain2_8.started;textboxInstrMain2_9.started;textboxInstrMain2_10.started;textboxInstrMain2_11.started;textboxInstrMain2_12.started;keyInstrMain2.started;keyInstrMain2.keys;keyInstrMain2.rt;textBlank500.started;fixationITI.started;fixationITI.stopped;polygonColour.started;polygonWhite.started;imageObject.started;polygonType.started;textInput.started;keyResp.started;micRespv1l1.started;keyResp.keys;keyResp.corr;keyResp.rt;subjResponse;micRespv1l1.clip;textBlankLoop.started;keyPause.keys;textBlankLoop.stopped;polygonColour.stopped;polygonWhite.stopped;imageObject.stopped;polygonType.stopped;textInput.stopped;keyResp.stopped;textboxPause.started;keyPause.started;participant;session;date;expName;psychopyVersion;frameRate;Column2
REPSWITCH1/PICTURE_135.png;traje;speak;gold;nontarget;2;NT;1;1;1;1;Stim3_Set1;0;None;9;8;9;0;8;8;8;;;;;;;;;;;;;;;;;;;;;;;;4.73939E+15;4.84752E+15;4.84752E+15;4.84752E+15;4.84752E+15;4.84752E+15;4.84752E+15;4.84752E+15;5.0562E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.08.488.wav;5.14953E+15;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_135.png;traje;type;darkblue;switch;1;T;1;1;1;1;Stim3_Set1;0;None;10;9;10;0;9;9;9;;;;;;;;;;;;;;;;;;;;;;;;5.19952E+15;530531919;530531919;530531919;530531919;530531919;530531919;530531919;1.3397E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.13.080.wav;5.60884E+15;None;5.65882E+15;5.60884E+15;5.60884E+15;5.60884E+15;5.60884E+15;5.60884E+15;5.60884E+15;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_687.png;camisa;speak;gold;filler;2;F;1;1;1;1;Stim5_Set4;0;None;11;10;11;0;10;10;10;;;;;;;;;;;;;;;;;;;;;;;;5.65882E+15;5.76415E+16;5.76415E+16;5.76415E+16;5.76415E+16;5.76415E+16;5.76415E+16;5.76415E+16;4.9144E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.17.653.wav;6.06619E+16;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_128.png;muñeca;type;darkblue;nontarget;1;NT;1;1;1;1;Stim4_Set1;1;switch;12;11;12;0;11;11;11;;;;;;;;;;;;;;;;;;;;;;;;6.11617E+15;6.2278E+15;6.2278E+15;6.2278E+15;6.2278E+15;6.2278E+15;6.2278E+15;6.2278E+15;6.1204E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.22.295.wav;6.53021E+15;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_128.png;muñeca;speak;gold;switch;2;T;1;1;1;1;Stim4_Set1;0;None;13;12;13;0;12;12;12;;;;;;;;;;;;;;;;;;;;;;;;6.58019E+15;6.6905E+15;6.6905E+15;6.6905E+15;6.6905E+15;6.6905E+15;6.6905E+15;6.6905E+15;1.4037E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.26.919.wav;6.99256E+15;None;7.04254E+15;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_8.png;pierna;speak;gold;filler;2;F;1;1;1;1;Stim3_Set4;0;None;14;13;14;0;13;13;13;;;;;;;;;;;;;;;;;;;;;;;;7.04254E+15;7.14868E+15;7.14868E+15;7.14868E+15;7.14868E+15;7.14868E+15;7.14868E+15;7.14868E+15;4.0938E+14;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.31.501.wav;7.45076E+15;None;7.50073E+15;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_19.png;pavo;speak;gold;nontarget;2;NT;1;1;1;1;Stim5_Set1;0;None;15;14;15;0;14;14;14;;;;;;;;;;;;;;;;;;;;;;;;7.50073E+15;7.60885E+15;7.60885E+15;7.60885E+15;7.60885E+15;7.60885E+15;7.60885E+15;7.60885E+15;5.2605E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.36.101.wav;7.9109E+15;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_19.png;pavo;type;darkblue;switch;1;T;1;1;1;1;Stim5_Set1;0;None;16;15;16;0;15;15;15;;;;;;;;;;;;;;;;;;;;;;;;7.96086E+15;8.06332E+15;8.06332E+15;8.06332E+15;8.06332E+15;8.06332E+15;8.06332E+15;8.06332E+15;1.7996E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.40.652.wav;8.36573E+15;None;8.41571E+15;8.36573E+15;8.36573E+15;8.36573E+15;8.36573E+15;8.36573E+15;8.36573E+15;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_16.png;cazador;type;darkblue;nontarget;1;NT;1;1;1;1;Stim6_Set1;1;switch;17;16;17;0;16;16;16;;;;;;;;;;;;;;;;;;;;;;;;8.41571E+15;8.52013E+15;8.52013E+15;8.52013E+15;8.52013E+15;8.52013E+15;8.52013E+15;8.52013E+15;5.2734E+15;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.45.217.wav;8.82225E+15;None;;;;;;;;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
REPSWITCH1/PICTURE_16.png;cazador;type;darkblue;repeat;1;T;1;1;1;1;Stim6_Set1;0;None;18;17;18;0;17;17;17;;;;;;;;;;;;;;;;;;;;;;;;8.87224E+15;8.98081E+15;8.98081E+15;8.98081E+15;8.98081E+15;8.98081E+15;8.98081E+15;8.98081E+15;1.6111E+16;None;0;;;C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/231845_REPSWITCH1_version1_list1_2023-09-15_12h32.21.379_micRespv1l1_recorded\recording_micRespv1l1_2023-09-15_12h33.49.826.wav;9.28324E+15;None;;9.28324E+15;9.28324E+15;9.28324E+15;9.28324E+15;9.28324E+15;9.28324E+15;;;231845;1;2023-09-15_12h32.21.379;REPSWITCH1_version1_list1;202224;3.55812E+15;
