image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textboxInstrMain1.started,textboxInstrMain1_2.started,textboxInstrMain1_3.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textboxInstrMain2.started,textboxInstrMain2_2.started,textboxInstrMain2_3.started,textboxInstrMain2_4.started,textboxInstrMain2_5.started,textboxInstrMain2_6.started,textboxInstrMain2_7.started,textboxInstrMain2_8.started,textboxInstrMain2_9.started,textboxInstrMain2_10.started,textboxInstrMain2_11.started,textboxInstrMain2_12.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_178.png,puente,speak,yellow,filler,2,F,2,Stim1_Set1,25,24,0,24,24,24,,132.68303860002197,,,,,,,,,,,,,,,,,,,,,,,128.58421909995377,129.68365700007416,129.68365700007416,129.68365700007416,129.68365700007416,129.68365700007416,129.68365700007416,129.68365700007416,0.0024405999574810266,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_175.png,pintor,type,darkblue,nontarget,1,NT,2,Stim1_Set2,26,25,0,25,25,25,,137.3317998999264,,,,,,,,,,,,,,,,,,,,,,,133.18257599999197,134.33230459992774,134.33230459992774,134.33230459992774,134.33230459992774,134.33230459992774,134.33230459992774,134.33230459992774,0.0027480998542159796,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_175.png,pintor,type,darkblue,repeat,1,T,2,Stim1_Set2,27,26,0,26,26,26,,142.11394420010038,,,,,,,,,,,,,,,,,,,,,,,137.83151539997198,139.1147026999388,139.1147026999388,139.1147026999388,139.1147026999388,139.1147026999388,139.1147026999388,139.1147026999388,0.0028285000007599592,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_142.png,vaso,speak,yellow,filler,2,F,2,Stim2_Set1,28,27,0,27,27,27,,146.92951639997773,,,,,,,,,,,,,,,,,,,,,,,142.61383459996432,143.93022760003805,143.93022760003805,143.93022760003805,143.93022760003805,143.93022760003805,143.93022760003805,143.93022760003805,0.0022887999657541513,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_152.png,caracol,type,darkblue,nontarget,1,NT,2,Stim2_Set2,29,28,0,28,28,28,,151.64478880004026,,,,,,,,,,,,,,,,,,,,,,152.1446843999438,147.4296164000407,148.66245670011267,148.66245670011267,148.66245670011267,148.66245670011267,148.66245670011267,148.66245670011267,148.66245670011267,0.0026064999401569366,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_152.png,caracol,type,darkblue,repeat,1,T,2,Stim2_Set2,30,29,0,29,29,29,,156.34394340007566,,,,,,,,,,,,,,,,,,,,,,156.8442538001109,152.1446843999438,153.36144010000862,153.36144010000862,153.36144010000862,153.36144010000862,153.36144010000862,153.36144010000862,153.36144010000862,0.002565799979493022,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_264.png,mano,type,darkblue,nontarget,1,NT,2,Stim3_Set2,31,30,0,30,30,30,,160.92613760009408,,,,,,,,,,,,,,,,,,,,,,,156.8442538001109,157.9267520001158,157.9267520001158,157.9267520001158,157.9267520001158,157.9267520001158,157.9267520001158,157.9267520001158,0.0024784000124782324,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_264.png,mano,speak,yellow,switch,2,T,2,Stim3_Set2,32,31,0,31,31,31,,165.7083946999628,,,,,,,,,,,,,,,,,,,,,,,161.42600110010244,162.70872669992968,162.70872669992968,162.70872669992968,162.70872669992968,162.70872669992968,162.70872669992968,162.70872669992968,0.0025214001070708036,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
REPSWITCH1/PICTURE_517.png,cuerda,speak,yellow,nontarget,2,NT,2,Stim4_Set2,33,32,0,32,32,32,,170.3408202000428,,,,,,,,,,,,,,,,,,,,,,,166.20805280003697,167.72438729996793,167.72438729996793,167.72438729996793,167.72438729996793,167.72438729996793,167.72438729996793,167.72438729996793,0.3921459000557661,None,0,,,None,,,,,,,,57,001,2023-07-03_15h39.44.598,REPSWITCH1_v2022.2.4,2022.2.4,60.197665072469924,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.84011110011488,171.87451039999723,171.87451039999723,171.87451039999723,171.87451039999723,171.87451039999723,171.87451039999723,171.87451039999723,0.002454600064083934,,,,,,,,,,,,2.999947600066662,,,,,,,
