image,correctAns,respModal,frameColor,repSwitch,sequence,target,set,stimulus,order,psychopy_order,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstrMain1.started,keyInstrMain.started,keyInstrMain.keys,keyInstrMain.rt,textInstrMain2.started,keyInstrMain2.started,keyInstrMain2.keys,keyInstrMain2.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonColour.started,polygonWhite.started,imageObject.started,polygonType.started,textInput.started,keyResp.started,micResp.started,keyResp.keys,keyResp.corr,keyResp.rt,subjResponse,keyPause.keys,polygonColour.stopped,polygonWhite.stopped,imageObject.stopped,polygonType.stopped,textInput.stopped,keyResp.stopped,micResp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_128.png,muñeca,type,darkblue,nontarget,1,NT,1,Stim4_Set1,9,8,0,8,8,8,,58.06441679992713,,,,,,,,,58.56448159995489,53.93211210006848,55.19801299995743,55.19801299995743,55.19801299995743,55.19801299995743,55.19801299995743,55.19801299995743,55.19801299995743,0.1382871000096202,"['m', 'u', 'n', 'e', 'c', 'a']",0,"[0.873401700053364, 1.13283669995144, 1.347305400064215, 1.460949799977243, 1.63937019999139, 1.7232135999947786]",muneca,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_128.png,muñeca,speak,yellow,switch,2,T,1,Stim4_Set1,10,9,0,9,9,9,,62.69570369995199,,,,,,,,,,58.56448159995489,59.681718199979514,59.681718199979514,59.681718199979514,59.681718199979514,59.681718199979514,59.681718199979514,59.681718199979514,0.00274679996073246,"['m', 'u', 'n', 'e', 'c', 'a']",0,"[0.8500725002959371, 1.0379253001883626, 1.2320541001390666, 1.3342994002159685, 1.531114200130105, 1.6055428001563996]",muneca,None,62.69570369995199,62.69570369995199,62.69570369995199,62.69570369995199,62.69570369995199,62.69570369995199,2.9996893000788987,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_8.png,pierna,speak,yellow,filler,2,F,1,Stim3_Set4,11,10,0,10,10,10,,67.46242400002666,,,,,,,,,,63.19632250000723,64.5791629999876,64.5791629999876,64.5791629999876,64.5791629999876,64.5791629999876,64.5791629999876,64.5791629999876,0.12683429988101125,"['p', 'i', 'e', 'n', 'r', 'backspace', 'backspace', 'r', 'n', 'a']",0,"[0.826083900174126, 0.9803340001963079, 1.1189379000570625, 1.2786252000369132, 1.3340633001644164, 1.8248567001428455, 1.98027960001491, 2.030514700105414, 2.1906723000574857, 2.247332400176674]",pierna,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_19.png,pavo,speak,yellow,nontarget,2,NT,1,Stim5_Set1,12,11,0,11,11,11,,72.22783289989457,,,,,,,,,72.7275908999145,67.96215939987451,69.34480730001815,69.34480730001815,69.34480730001815,69.34480730001815,69.34480730001815,69.34480730001815,69.34480730001815,0.11113880015909672,"['p', 'v', 'backspace', 'a', 'v', 'o']",0,"[0.9718082000035793, 1.220164200058207, 1.5776355999987572, 1.9048664001747966, 2.072560300119221, 2.151920299977064]",pavo,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_19.png,pavo,type,darkblue,switch,1,T,1,Stim5_Set1,13,12,0,12,12,12,,76.87698849989101,,,,,,,,,77.37654519989155,72.7275908999145,73.893657800043,73.893657800043,73.893657800043,73.893657800043,73.893657800043,73.893657800043,73.893657800043,0.003109599929302931,"['p', 'a', 'v', 'o']",0,"[0.7346487999893725, 0.8069804001133889, 1.0052048000507057, 1.106173099949956]",pavo,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_498.png,taza,speak,yellow,filler,2,F,1,Stim4_Set4,14,13,0,13,13,13,,81.4919306000229,,,,,,,,,81.99189359997399,77.37654519989155,78.60910629993305,78.60910629993305,78.60910629993305,78.60910629993305,78.60910629993305,78.60910629993305,78.60910629993305,0.10346429981291294,"['a', 'backspace', 't', 'a', 'z', 'a']",0,"[0.9522915000561625, 1.3036168001126498, 1.5489767999388278, 1.6510956001002342, 1.925775600131601, 2.134459200082347]",taza,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,nontarget,1,NT,1,Stim6_Set1,15,14,0,14,14,14,,86.10778869991191,,,,,,,,,86.60759949986823,81.99189359997399,83.24139770003967,83.24139770003967,83.24139770003967,83.24139770003967,83.24139770003967,83.24139770003967,83.24139770003967,0.1304203998297453,"['c', 'a', 'z', 'a', 'd', 'o', 'r']",0,"[1.0740086000878364, 1.143331300234422, 1.446374700171873, 1.6061388000380248, 1.7718285000883043, 1.8972951001487672, 2.0098009002394974]",cazador,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_16.png,cazador,type,darkblue,repeat,1,T,1,Stim6_Set1,16,15,0,15,15,15,,90.70665750000626,,,,,,,,,,86.60759949986823,87.70713660004549,87.70713660004549,87.70713660004549,87.70713660004549,87.70713660004549,87.70713660004549,87.70713660004549,0.0028311999049037695,"['c', 'a', 'a', 'd', 'o', 'r']",0,"[0.6550545000936836, 1.0636109001934528, 1.4088784002233297, 1.9993317001499236, 2.1221675002016127, 2.2430016002617776]",caador,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_687.png,camisa,speak,yellow,filler,2,F,1,Stim5_Set4,17,16,0,16,16,16,,95.27215269999579,,,,,,,,,,91.2065204998944,92.28902340005152,92.28902340005152,92.28902340005152,92.28902340005152,92.28902340005152,92.28902340005152,92.28902340005152,0.02675190009176731,"['c', 'a', 'm', 'i', 's', 'a']",0,"[0.9060464000795037, 0.9621101000811905, 1.0996828000061214, 1.2015327999833971, 1.3568585000466555, 1.4308339999988675]",camisa,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
REPSWITCH1/PICTURE_142.png,vaso,type,darkblue,nontarget,1,NT,1,Stim7_Set1,18,17,0,17,17,17,,99.92086809989996,,,,,,,,,,95.77221029996872,96.92156899999827,96.92156899999827,96.92156899999827,96.92156899999827,96.92156899999827,96.92156899999827,96.92156899999827,0.002308799885213375,"['v', 'a', 's', 'o']",0,"[0.7542808002326638, 0.8444305001758039, 1.0360864002723247, 1.1845536001492292]",vaso,None,,,,,,,,55,001,2023-07-03_15h32.06.076,REPSWITCH1_v2022.2.4,2022.2.4,60.00445235029576,
