image,correctAns,respModal,repSwitch,sequence,target,stimulus,trialsREPSWITCH.thisRepN,trialsREPSWITCH.thisTrialN,trialsREPSWITCH.thisN,trialsREPSWITCH.thisIndex,textWelcome.started,textBlank500.started,textInstructions.started,keyInstructions.started,keyInstructions.keys,keyInstructions.rt,fixationITI.started,fixationITI.stopped,polygon.started,imageObject.started,textbox.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,23.748136113514192,25.661971638473915,26.16559738101205,26.16559738101205,space,1.374893166241236,,,,,,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_1.png,ratón,speak,nontarget,2,NT,Stim1_Set1,0,0,0,0,,32.60886991265579,,,,,28.32154824625468,29.93070960472687,29.93070960472687,29.93070960472687,29.93070960472687,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_1.png,ratón,speak,repeat,2,T,Stim1_Set1,0,1,1,1,,37.39489789144136,,,,,33.07508953296929,34.38849438200123,34.38849438200123,34.38849438200123,34.38849438200123,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_599.png,nube,type,filler,1,F,Stim1_Set3,0,2,2,2,,42.206275312346406,,,,,37.838796763157006,39.23560296584037,39.23560296584037,39.23560296584037,39.23560296584037,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_110.png,mesa,speak,nontarget,2,NT,Stim2_Set1,0,3,3,3,,47.05901949221152,,,,,42.70764808575041,44.07005245049368,44.07005245049368,44.07005245049368,44.07005245049368,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_110.png,mesa,speak,repeat,2,T,Stim2_Set1,0,4,4,4,,51.89414462354034,,,,,47.55686757716467,48.91771658771904,48.91771658771904,48.91771658771904,48.91771658771904,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_610.png,miel,type,filler,1,F,Stim2_Set3,0,5,5,5,,56.804114707629196,,,,,52.42380765941925,53.84617078240262,53.84617078240262,53.84617078240262,53.84617078240262,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_12.png,sirena,speak,nontarget,2,NT,Stim3_Set1,0,6,6,6,,61.61343443300575,,,,,57.30780781953945,58.62987793449429,58.62987793449429,58.62987793449429,58.62987793449429,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_12.png,sirena,type,switch,1,T,Stim3_Set1,0,7,7,7,,66.6277919242857,,,,,62.11478133263881,63.60358580909087,63.60358580909087,63.60358580909087,63.60358580909087,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_128.png,muñeca,type,nontarget,1,NT,Stim4_Set1,0,8,8,8,,71.27863687314675,,,,,67.12073717737803,68.29029128962429,68.29029128962429,68.29029128962429,68.29029128962429,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_128.png,muñeca,speak,switch,2,T,Stim4_Set1,0,9,9,9,,76.10180637842859,,,,,71.76998088273103,73.05136379081523,73.05136379081523,73.05136379081523,73.05136379081523,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_614.png,reina,speak,filler,2,F,Stim3_Set3,0,10,10,10,,81.0627213914413,,,,,76.5729561689077,78.07665025719325,78.07665025719325,78.07665025719325,78.07665025719325,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_141.png,girasol,speak,nontarget,2,NT,Stim5_Set1,0,11,11,11,,85.79487436098862,,,,,81.55481525167124,82.8288143768441,82.8288143768441,82.8288143768441,82.8288143768441,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_141.png,girasol,type,switch,1,T,Stim5_Set1,0,12,12,12,,90.80548650465789,,,,,86.29070526966825,87.84086422238033,87.84086422238033,87.84086422238033,87.84086422238033,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_631.png,ladrón,speak,filler,2,F,Stim4_Set3,0,13,13,13,,95.6688345290604,,,,,91.31480349617777,92.71485807516729,92.71485807516729,92.71485807516729,92.71485807516729,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
REPSWITCH1/PICTURE_16.png,cazador,type,nontarget,1,NT,Stim6_Set1,0,14,14,14,,100.50272113760002,,,,,96.13047937717056,97.63211430536467,97.63211430536467,97.63211430536467,97.63211430536467,807526,001,2023-04-26_13h02.04.795,REPSWITCH_1,2022.2.5,None,
