image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textEndFam.started,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,23,23,38,,238.18663279991597,,,,,,229.89015859994106,231.15591769991443,231.15591769991443,231.15591769991443,0.00979919999372214,235.62251969997305,238.12276970001403,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.12.053.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,24,24,10,,246.886171799968,,,,,,238.65500069991685,239.92035229993053,239.92035229993053,239.92035229993053,0.058202699990943074,244.353953099926,246.85348139994312,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.20.766.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_91.png,boca,0,25,25,24,,255.54928149993066,,,,,,247.3694228999084,248.6184189999476,248.6184189999476,248.6184189999476,0.11174159997608513,253.00172870000824,255.50153179990593,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.29.418.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,26,26,13,,264.28021599992644,,,,,,256.01718450000044,257.3326896999497,257.3326896999497,257.3326896999497,0.10049319989047945,261.7333112999331,264.2322572999401,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.38.146.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,27,27,8,,272.8796409999486,,,,,,264.7489704999607,265.8475490999408,265.8475490999408,265.8475490999408,0.009796499973163009,270.33133899990935,,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.46.744.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_636.png,oveja,0,28,28,20,,281.6433485999005,,,,,,273.3465902999742,274.59694719989784,274.59694719989784,274.59694719989784,0.008149900007992983,279.0955829999875,281.5950999999186,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h18.55.506.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,29,29,9,,290.3079831999494,,,,,,282.11095669993665,283.39349469996523,283.39349469996523,283.39349469996523,0.11487930000294,287.76057219994254,290.27596789994277,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.04.186.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,30,30,6,,299.0053099999204,,,,,,290.7917474999558,292.07467389991507,292.07467389991507,292.07467389991507,0.11161390005145222,296.4581576999044,298.95743319997564,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.12.873.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,31,31,14,,307.60379959992133,,,,,,299.4734812999377,300.5893200999126,300.5893200999126,300.5893200999126,0.01011789997573942,305.07270429993514,307.5721375999274,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.21.485.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_610.png,miel,0,32,32,19,,316.3351033999352,,,,,,308.08812619990204,309.3036832999205,309.3036832999205,309.3036832999205,0.02251459995750338,313.787319199997,316.2866534999339,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.30.203.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,33,33,0,,325.01635189994704,,,,,,316.80247699993197,318.08479069999885,318.08479069999885,318.08479069999885,0.10560409992467612,322.48514579993207,324.9843452000059,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.38.894.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,34,34,31,,333.7138296999037,,,,,,325.5005546999164,326.6998015999561,326.6998015999561,326.6998015999561,0.009463399997912347,331.1828658999875,333.682184199919,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.47.595.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,35,35,11,,342.27834999992047,,,,,,334.1984132999787,335.24761339998804,335.24761339998804,335.24761339998804,0.011197700048796833,339.71428809990175,342.21357299992815,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h19.56.146.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,36,36,2,,350.9099101999309,,,,,,342.74661599996034,343.8791601000121,343.8791601000121,343.8791601000121,0.009956499910913408,348.3456942999037,350.8450135999592,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h20.04.775.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,37,37,7,,359.7410660999594,,,,,,351.37756829999853,352.7431521000108,352.7431521000108,352.7431521000108,0.03775290003977716,357.2100972000044,359.7094057999784,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h20.13.621.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,38,38,15,,368.4888949999586,,,,,,360.22529589990154,361.557794699911,361.557794699911,361.557794699911,0.09839170007035136,365.9417525999015,368.44078599999193,D:\GitHub\experiment1\data/01_Fam_2023-06-26_12h14.35.745_micFam_recorded\recording_micFam_2023-06-26_12h20.22.368.wav,,01,001,2023-06-26_12h14.35.745,Fam,2022.2.4,59.844261306791566,
,,,,,,,368.9732957999222,,,,,,,,,,,,,,369.47335929994006,,,,,,,
