image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,9,9,31,,97.32881549932063,,,,,,90.20292039960623,91.30759659968317,91.30759659968317,91.30759659968317,0.0010492000728845596,94.79291579965502,97.29399819951504,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.16.403.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,10,10,9,,105.04515209980309,,,,,,97.80101339984685,99.02362779993564,99.02362779993564,99.02362779993564,0.0012681996449828148,102.50984909944236,105.01016059983522,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.24.119.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,11,11,18,,112.55899139959365,,,,,,105.51719069946557,106.53171109966934,106.53171109966934,106.53171109966934,0.0011793999001383781,110.01703889947385,112.51730659976602,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.31.637.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,12,12,12,,120.2334845000878,,,,,,113.03126829955727,114.20595249999315,114.20595249999315,114.20595249999315,0.0012343991547822952,117.69150329940021,120.19181439932436,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.39.311.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Practice/PICTURE_614.png,reina,0,13,13,36,,127.8385704997927,,,,,,120.69898299966007,121.81099339947104,121.81099339947104,121.81099339947104,0.0012920992448925972,125.29655209928751,127.79687150008976,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.46.916.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Practice/PICTURE_733.png,gafas,0,14,14,35,,135.40958199929446,,,,,,128.30453069973737,129.38850909937173,129.38850909937173,129.38850909937173,0.0011161994189023972,132.87384440004826,135.37477790005505,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h52.54.484.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,15,15,6,,142.93133839964867,,,,,,135.88179359957576,136.9099360993132,136.9099360993132,136.9099360993132,0.0012674005702137947,140.39572540018708,142.89648799970746,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h53.02.005.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,16,16,11,,150.5989971999079,,,,,,143.40349269937724,144.57749059982598,144.57749059982598,144.57749059982598,0.0012483997270464897,148.06380569934845,150.56403850018978,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h53.09.673.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_517.png,cuerda,0,17,17,24,,158.1135992994532,,,,,,151.07103259954602,152.09226300008595,152.09226300008595,152.09226300008595,0.0012786993756890297,155.57822179980576,158.07879280019552,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h53.17.188.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_135.png,traje,0,18,18,1,,165.69007299933583,,,,,,158.5857954993844,159.66256689932197,159.66256689932197,159.66256689932197,0.0010943999513983727,163.1489172000438,165.6483990000561,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h53.24.768.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,19,19,14,,173.30287379957736,,,,,,166.16236949991435,167.2814547996968,167.2814547996968,167.2814547996968,0.0017842995002865791,170.76708649937063,173.26803969964385,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h53.32.377.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,20,20,26,,180.89403049927205,,,,,,173.775028700009,174.87263800017536,174.87263800017536,174.87263800017536,0.0012178998440504074,178.3586269998923,180.85941919963807,C:\Users\Experimental User\Desktop\experiment\data/35_Fam_2023-06-29_14h50.54.011_micFam_recorded\recording_micFam_2023-06-29_14h53.39.968.wav,,,,,35,001,2023-06-29_14h50.54.011,Fam,2022.2.4,143.63729865860404,
