image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank2.started,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,polygonWhiteFam.stopped,imageFam.stopped,textBlank3.started,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,25,25,28,,,,,,,,190.13858240000002,191.27330029999996,191.27330029999996,191.27330029999996,0.004586100000096849,194.76339730000007,197.26263630000005,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.29.769.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_614.png,reina,0,26,26,36,,,,,,,,197.30150330000004,198.33448039999996,198.33448039999996,198.33448039999996,0.0037942999999813765,201.8283368000001,204.36311209999997,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.36.833.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_264.png,mano,0,27,27,12,,,,,,,,204.36311209999997,205.4553591,205.4553591,205.4553591,0.005193000000190295,208.94221100000016,211.44147080000005,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.43.948.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_12.png,sirena,0,28,28,38,,,,,,,,211.48035420000008,212.57797360000006,212.57797360000006,212.57797360000006,0.005272600000125749,216.06815229999995,218.60378030000004,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.51.072.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_391.png,cadena,0,29,29,40,,,,,,,,218.60378030000004,219.74020910000002,219.74020910000002,219.74020910000002,0.004948600000034276,223.2265453000001,225.72907999999995,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h32.58.234.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,30,30,9,,,,,,,,225.76509910000016,226.78517799999997,226.78517799999997,226.78517799999997,0.005408100000067861,230.27772110000012,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.05.278.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_8.png,pierna,0,31,31,31,,,,,,,,232.80965400000002,233.94259990000012,233.94259990000012,233.94259990000012,0.005022699999926772,237.4358959,239.93528730000014,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.12.441.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,32,32,10,,,,,,,,239.97401019999995,241.02131670000006,241.02131670000006,241.02131670000006,0.004916800000046351,244.51751550000006,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.19.517.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,33,33,29,,,,,,,,247.0507589,248.10297660000003,248.10297660000003,248.10297660000003,0.005472000000054322,251.59579540000016,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.26.596.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_110.png,mesa,0,34,34,37,,,,,,,,254.12799900000016,255.25902870000016,255.25902870000016,255.25902870000016,0.005058700000063254,258.7518509,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.33.752.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,35,35,22,,,,,,,,261.28388900000016,262.348558,262.348558,262.348558,0.0052614000001085515,265.8384863,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.40.841.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_30.png,granja,0,36,36,14,,,,,,,,268.37328590000004,269.4368587,269.4368587,269.4368587,0.0052754999999251595,272.92735730000015,275.4298923,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.47.933.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,37,37,6,,,,,,,,275.46619680000015,276.5627410000001,276.5627410000001,276.5627410000001,0.004629999999906431,280.0560861,282.59170500000016,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h33.55.059.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,38,38,0,,,,,,,,282.59170500000016,283.6850726000001,283.6850726000001,283.6850726000001,0.0012732999998661398,287.1811385,289.68380360000003,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.02.193.wav,289.7282314,289.7282314,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,39,39,30,,,,,,,,289.7282314,290.80782120000015,290.80782120000015,290.80782120000015,0.005456900000126552,294.2983150000001,296.7975199000001,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.09.305.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_320.png,iglesia,0,40,40,16,,,,,,,,296.8368819000001,297.9027634,297.9027634,297.9027634,0.004329200000029232,301.39603139999997,303.89528810000013,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.16.401.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,41,41,18,,,,,,,,303.9313717000001,305.0708916,305.0708916,305.0708916,0.0012202000000343105,308.56929530000014,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.23.565.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_242.png,cartero,0,42,42,11,,,,,,,,311.09588829999996,312.1435167000001,312.1435167000001,312.1435167000001,0.0012184999998225976,315.63926619999995,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.30.638.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_590.png,escoba,0,43,43,41,,,,,,,,318.1713020000001,319.2607445,319.2607445,319.2607445,0.005482300000039686,322.7475872000001,325.28911960000016,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.37.754.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,44,44,13,,,,,,,,325.28911960000016,326.3530799000001,326.3530799000001,326.3530799000001,0.005487599999923987,329.84584540000003,,C:\2023\REPSWITCH12092023\REPSWITCH_excgange\REPSWITCH_excgange\data/351780_REPSWITCH1_Fam_2023-09-15_11h29.16.141_micFam_recorded\recording_micFam_2023-09-15_11h34.44.846.wav,,,,,,,,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
,,,,,,,,,,,,,,,,,,,,,,,332.37849029999995,332.88049950000016,332.88049950000016,space,6.492868999999928,351780,001,2023-09-15_11h29.16.141,REPSWITCH1_Fam,2022.2.4,360.14232824819015,
