image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textBlank500.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,micFam.clip,polygonWhiteFam.stopped,imageFam.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_464.png,goma,0,20,20,21,,177.7956581000035,,,,,178.29745949999779,170.49895829999878,171.8479163000011,171.8479163000011,171.8479163000011,0.11932330000854563,175.2304937000008,177.7956581000035,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.45.743.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,21,21,2,,185.47728690000076,,,,,,178.29745949999779,179.49647790000017,179.49647790000017,179.49647790000017,0.08564699999988079,182.912101599999,185.47728690000076,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h41.53.418.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,22,22,26,,193.24179869999352,,,,,193.7438789000007,185.9789288000029,187.2114137000026,187.2114137000026,187.2114137000026,0.04715339999529533,190.67716920000385,193.24179869999352,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.01.188.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_175.png,pintor,0,23,23,6,,200.89021699999284,,,,,,193.7438789000007,194.94262410000374,194.94262410000374,194.94262410000374,0.14224349999858532,198.30847439999343,200.89021699999284,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.08.822.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Practice/PICTURE_599.png,nube,0,24,24,33,,208.63807570000063,,,,,209.1391203999956,201.39159970000037,202.59092760000203,202.59092760000203,202.59092760000203,0.02641859999857843,206.07326750000357,208.63807570000063,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.16.580.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_728.png,pulpo,0,25,25,30,,216.31994639999175,,,,,216.82130399999733,209.1391203999956,210.35483789999853,210.35483789999853,210.35483789999853,0.10708870000962634,213.7382948000013,216.238981100003,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.24.261.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_152.png,caracol,0,26,26,3,,224.10084060000372,,,,,224.60408000000461,216.82130399999733,218.15440220000164,218.15440220000164,218.15440220000164,0.12724940000043716,221.53618789999746,224.10084060000372,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.32.046.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_552.png,manzana,0,27,27,25,,231.8830994000018,,,,,,224.60408000000461,225.93605599999137,225.93605599999137,225.93605599999137,0.14124559999618214,229.30116930000077,231.8830994000018,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.39.815.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_687.png,camisa,0,28,28,28,,239.4976164999971,,,,,,232.38457140000537,233.46703420000267,233.46703420000267,233.46703420000267,0.05735229999118019,236.9158138000057,239.4976164999971,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.47.427.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Practice/PICTURE_12.png,sirena,0,29,29,38,,247.26243149999937,,,,,247.76372750000155,239.99937069999578,241.28166310000233,241.28166310000233,241.28166310000233,0.10215019999304786,244.68068229999335,247.26243149999937,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h42.55.197.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,30,30,10,,254.99408869999752,,,,,255.4959588000056,247.76372750000155,248.94626209999842,248.94626209999842,248.94626209999842,0.033080499997595325,252.42875880000065,254.99408869999752,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.02.933.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_719.png,baño,0,31,31,29,,262.6419878000015,,,,,,255.4959588000056,256.6945878999977,256.6945878999977,256.6945878999977,0.14127369999187067,260.0769663999963,,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.10.575.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_48.png,bombero,0,32,32,22,,270.3734359999944,,,,,,263.1437823000015,264.3092561999947,264.3092561999947,264.3092561999947,0.03258510000887327,267.79185409999627,270.3734359999944,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.18.308.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_178.png,puente,0,33,33,7,,278.27164409999386,,,,,278.7730891999963,270.87478860000556,272.1906611000013,272.1906611000013,272.1906611000013,0.030273600001237355,275.6730979999993,278.27164409999386,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.26.185.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_199.png,falda,0,34,34,9,,286.15237559999514,,,,,286.6547059000004,278.7730891999963,280.18879089999245,280.18879089999245,280.18879089999245,0.11465870001120493,283.5878492000047,286.15237559999514,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.34.097.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_35.png,oreja,0,35,35,18,,293.83447269999306,,,,,294.33630280000216,286.6547059000004,287.903392799999,287.903392799999,287.903392799999,0.13579400000162423,291.2692198000004,293.83447269999306,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.41.775.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_19.png,pavo,0,36,36,8,,301.5828079999919,,,,,,294.33630280000216,295.61853079999855,295.61853079999855,295.61853079999855,0.13028170001052786,299.00089759999537,301.5828079999919,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.49.515.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_16.png,cazador,0,37,37,4,,309.28078590000223,,,,,309.7853860000032,302.0843010999961,303.3332093999925,303.3332093999925,303.3332093999925,0.11907889999565668,306.71566679999523,309.28078590000223,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h43.57.227.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
REPSWITCH1_Fam/PICTURE_128.png,muñeca,0,38,38,0,,316.96232930000406,,,,,317.46415659999184,309.7853860000032,310.91556649999984,310.91556649999984,310.91556649999984,0.025766899998416193,314.39737940000487,316.96232930000406,D:\GitHub\experiment1\data/90_Fam_2023-07-05_15h38.54.771_micFam_recorded\recording_micFam_2023-07-05_15h44.04.905.wav,,,,,,,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
,,,,,,,317.46415659999184,,,,,317.97922349999135,,,,,,,,,,,317.97922349999135,317.97922349999135,space,1.7011818000028143,90,001,2023-07-05_15h38.54.771,Fam,2022.2.4,60.09070090378212,
