image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,trialsPractice.thisRepN,trialsPractice.thisTrialN,trialsPractice.thisN,trialsPractice.thisIndex,respModal,frameColor,repSwitch,sequence,target,textWelcome.started,textBlank500.started,textInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,textBlank500.stopped,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,polygonWhiteFam.stopped,imageFam.stopped,textFam.started,textFam.stopped,textInstrPractice.started,keyInstrPractice.started,keyInstrPractice.keys,keyInstrPractice.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1/PICTURE_242.png,cartero,0,9,9,9,,,,,,,,,,,118.65762030001497,,,,,,110.04277960001491,111.15866529999766,111.15866529999766,111.15866529999766,115.15842039999552,115.15842039999552,115.65645010001026,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_264.png,mano,0,10,10,10,,,,,,,,,,,127.78960859999643,,,,,,119.15760510001564,120.29007690001163,120.29007690001163,120.29007690001163,124.29004389999318,124.29004389999318,124.78769500000635,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_271.png,conejo,0,11,11,11,,,,,,,,,,,137.1513365000137,,,,,,128.28949399999692,129.6539173000201,129.6539173000201,129.6539173000201,133.65280420001363,133.65280420001363,134.15198019999661,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_30.png,granja,0,12,12,12,,,,,,,,,,,146.25153410001076,,,,,,137.65209350001533,138.75238069999614,138.75238069999614,138.75238069999614,142.75176330000977,142.75176330000977,143.24989010000718,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_319.png,vaca,0,13,13,13,,,,,,,,,,,155.39931209999486,,,,,155.89918100001523,146.7492815000005,147.8998499000154,147.8998499000154,147.8998499000154,151.90045290000853,151.90045290000853,152.3993645000155,155.39931209999486,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_320.png,iglesia,0,14,14,14,,,,,,,,,,,164.54699050000636,,,,,,155.89918100001523,157.04785010000342,157.04785010000342,157.04785010000342,161.04782930001966,161.04782930001966,161.5457974000019,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_354.png,cabra,0,15,15,15,,,,,,,,,,,173.76245680000284,,,,,,165.04552260000492,166.26239910000004,166.26239910000004,166.26239910000004,170.26327920000767,170.26327920000767,170.7599320000154,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_377.png,babero,0,16,16,16,,,,,,,,,,,183.00937220000196,,,,,,174.26113800000167,175.5095166999963,175.5095166999963,175.5095166999963,179.51001160001033,179.51001160001033,180.00782020000042,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_381.png,fresa,0,17,17,17,,,,,,,,,,,192.1735272000078,,,,,,183.5095310000179,184.6741898000182,184.6741898000182,184.6741898000182,188.67456260000472,188.67456260000472,189.1727654999995,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_411.png,puño,0,18,18,18,,,,,,,,,,,201.40571640001144,,,,,,192.67351180000696,193.90599950001342,193.90599950001342,193.90599950001342,197.90668159999768,197.90668159999768,198.40376250000554,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_48.png,bombero,0,19,19,19,,,,,,,,,,,210.50363110000035,,,,,,201.9045308000059,203.00350720001734,203.00350720001734,203.00350720001734,207.0030648999964,207.0030648999964,207.5008455000061,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_487.png,cesta,0,20,20,20,,,,,,,,,,,219.68364870001096,,,,,,211.00256960000843,212.18420340001467,212.18420340001467,212.18420340001467,216.1844984999916,216.1844984999916,216.68235849999473,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_517.png,cuerda,0,21,21,21,,,,,,,,,,,228.85034480001195,,,,,,220.1838160000043,221.3494786999945,221.3494786999945,221.3494786999945,225.34856430001673,225.34856430001673,225.84665150000365,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_552.png,manzana,0,22,22,22,,,,,,,,,,,238.0795269999944,,,,,,229.34820279999985,230.57975950001855,230.57975950001855,230.57975950001855,234.58042139999452,234.58042139999452,235.07793749999837,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_576.png,guante,0,23,23,23,,,,,,,,,,,247.26225729999715,,,,,,238.57958069999586,239.76097430000664,239.76097430000664,239.76097430000664,243.76380570000038,243.76380570000038,244.25911280000582,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_610.png,miel,0,24,24,24,,,,,,,,,,,256.37493960000575,,,,,,247.760220199998,248.87542369999574,248.87542369999574,248.87542369999574,252.87718199999654,252.87718199999654,253.37404120000429,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_622.png,tiza,0,25,25,25,,,,,,,,,,,265.6561037999927,,,,,,256.8745664000162,258.1566734999942,258.1566734999942,258.1566734999942,262.156479199999,262.156479199999,262.65472029999364,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
REPSWITCH1/PICTURE_636.png,oveja,0,26,26,26,,,,,,,,,,,274.9048169000016,,,,,,266.1571300000069,267.4038997000025,267.4038997000025,267.4038997000025,271.4055506000004,271.4055506000004,271.9022713000013,,,,,,,001,2023-05-26_12h27.08.360,REPSWITCH_1,2022.2.5,59.773184675537266,
