image,correctAns,famTrials.thisRepN,famTrials.thisTrialN,famTrials.thisN,famTrials.thisIndex,textWelcomeFam.started,textboxInstrFam.started,keyInstrFam.started,keyInstrFam.keys,keyInstrFam.rt,fixationITI.started,fixationITI.stopped,polygonWhiteFam.started,imageFam.started,micFam.started,textFam.started,textFam.stopped,polygonWhiteFam.stopped,imageFam.stopped,micFam.clip,textBlankLoop.started,textBlankLoop.stopped,textboxEndFam.started,keyEndFam.started,keyEndFam.keys,keyEndFam.rt,participant,session,date,expName,psychopyVersion,frameRate,
REPSWITCH1_Fam/PICTURE_576.png,guante,0,19,19,26,,,,,,187.52830200002063,188.660309400002,188.660309400002,188.660309400002,188.660309400002,192.1538093999843,194.6542327000061,194.6888665999868,194.6888665999868,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.37.360.wav,194.6888665999868,195.18891389999771,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_570.png,toro,0,20,20,34,,,,,,195.18891389999771,196.36965309997322,196.36965309997322,196.36965309997322,196.36965309997322,199.86317460000282,202.36349509999854,202.3982069999911,202.3982069999911,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.45.069.wav,202.3982069999911,202.8983189999708,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_733.png,gafas,0,21,21,35,,,,,,202.8983189999708,203.9678762999829,203.9678762999829,203.9678762999829,203.9678762999829,207.46138449996943,209.96171569998842,209.99644859996624,209.99644859996624,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h31.52.667.wav,209.99644859996624,210.4965856000199,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_235.png,aguja,0,22,22,10,,,,,,210.4965856000199,211.5314098999952,211.5314098999952,211.5314098999952,211.5314098999952,215.02486479998333,217.52520620002178,217.55993559997296,217.55993559997296,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.00.231.wav,217.55993559997296,218.06004640000174,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_381.png,fresa,0,23,23,19,,,,,,218.06004640000174,219.20599779998884,219.20599779998884,219.20599779998884,219.20599779998884,222.69948870001826,225.1997969999793,225.23455900000408,225.23455900000408,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.07.905.wav,225.23455900000408,225.73461629997473,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_142.png,vaso,0,24,24,2,,,,,,225.73461629997473,226.838930399972,226.838930399972,226.838930399972,226.838930399972,230.33250899997074,232.83277029998135,232.86757240002044,232.86757240002044,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.15.538.wav,232.86757240002044,233.36755839997204,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_340.png,espejo,0,25,25,39,,,,,,233.36755839997204,234.50658390001627,234.50658390001627,234.50658390001627,234.50658390001627,238.000110199966,240.5004237999674,240.53516799997305,240.53516799997305,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.23.206.wav,240.53516799997305,241.03529759997036,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_614.png,reina,0,26,26,36,,,,,,241.03529759997036,242.08396919997176,242.08396919997176,242.08396919997176,242.08396919997176,245.57750149996718,248.07777919998625,248.11254770000232,248.11254770000232,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.30.783.wav,248.11254770000232,248.61260980000952,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_271.png,conejo,0,27,27,13,,,,,,248.61260980000952,249.6960979999858,249.6960979999858,249.6960979999858,249.6960979999858,253.1896635000012,255.6898996999953,255.72465549997287,255.72465549997287,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.38.396.wav,255.72465549997287,256.22471769998083,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
REPSWITCH1_Fam/PICTURE_169.png,espalda,0,28,28,5,,,,,,256.22471769998083,257.4748625999782,257.4748625999782,257.4748625999782,257.4748625999782,260.9683879999793,263.4686854999745,263.50345030002063,263.50345030002063,C:\2023\REPSWITCH21092023\REPSWITCH_excgange\REPSWITCH_excgange\data/02.02.01_REPSWITCH1_Fam_2023-11-10_15h28.34.979_micFam_recorded\recording_micFam_2023-11-10_15h32.46.174.wav,263.50345030002063,264.00351519999094,,,,,02.02.01,001,2023-11-10_15h28.34.979,REPSWITCH1_Fam,2022.2.4,143.916781596708,
